time = 5	Re = 1	rotation = 0.795616
0.400384	-0.346870	4798	
0.532821	0.085179	2947	
-0.374808	0.733566	4078	
-0.816985	0.194237	4592	
0.081570	-0.091871	1486	
0.363841	-0.320575	8544	
0.398298	0.494618	3186	
0.254654	0.262774	2117	
-0.106884	-0.823039	2722	
0.508837	-0.011629	2071	
-0.813205	0.078600	1211	
-0.816649	0.101371	544	
0.234625	0.057441	2628	
0.307750	-0.392206	5096	
-0.778301	0.070892	1676	
0.553964	-0.452877	5119	
0.302802	0.573261	2919	
0.001899	0.132260	2981	
-0.025387	-0.549091	4808	
0.338161	-0.027198	10651	
0.277018	0.199729	10599	
0.242877	-0.341078	8215	
-0.083800	-0.881563	9491	
-0.757709	0.517666	6598	
0.006664	-0.404100	8549	
-0.763544	-0.263505	6546	
-0.034462	0.259333	4411	
-0.584058	0.639573	8733	
0.624467	-0.330567	7965	
-0.779922	0.361524	7909	
0.542747	0.188123	9828	
0.307886	-0.797493	7659	
-0.939204	-0.286142	10167	
-0.259645	-0.801170	7651	
0.575882	0.348921	5723	
0.715848	-0.053611	1677	
0.274284	0.146857	8592	
0.433645	0.619536	10977	
0.465449	-0.025042	1291	
0.444697	-0.005600	5312	
0.390930	0.643951	3531	
0.367440	0.287386	4433	
0.256347	-0.302185	6037	
0.339176	-0.822943	6135	
-0.328175	0.685104	5785	
-0.725118	0.143764	537	
0.627090	0.156188	6817	
0.344523	0.039763	5488	
-0.501061	-0.768122	10643	
-0.050173	-0.848231	8789	
0.314995	-0.794005	3791	
0.386052	-0.555806	9763	
0.185042	0.033138	9964	
-0.395874	0.615142	4754	
0.142945	0.708784	2704	
-0.759030	0.416968	6447	
-0.752638	0.380905	5559	
-0.595277	0.652249	4948	
-0.544589	-0.507086	5738	
0.642460	-0.035072	6153	
0.277430	0.526367	9121	
-0.839150	-0.221192	6279	
-0.590742	-0.747051	9284	
-0.340386	-0.764094	9735	
0.657157	-0.293872	418	
0.362914	-0.078912	2500	
-0.793663	-0.084963	6446	
-0.684289	-0.537995	5968	
-0.171182	0.748311	6933	
-0.037743	0.802126	8371	
-0.664232	0.436285	4940	
0.187320	-0.496701	2121	
0.334856	-0.287063	4988	
0.301228	0.709159	9202	
0.620009	-0.283632	5594	
0.053968	-0.890562	9515	
-0.044116	-0.572853	4566	
-0.651522	-0.644888	7500	
0.243501	0.341660	6003	
0.273182	-0.215480	10043	
0.094447	0.159457	1143	
0.023377	-0.620837	6488	
-0.901908	0.206994	6594	
0.318055	0.627530	6519	
0.178181	0.031346	9439	
0.221571	0.259777	2224	
0.394474	-0.027360	10059	
-0.724007	0.509671	5178	
0.904060	-0.365324	7263	
0.085980	-0.624117	4767	
0.201872	0.733245	1251	
0.479561	-0.758283	6413	
0.569925	-0.725638	767	
0.184026	-0.310148	5505	
0.359380	-0.223248	4878	
0.525488	-0.191662	7819	
0.240229	0.354098	7344	
0.267064	0.040318	6791	
0.270694	0.185952	8123	
0.197036	-0.185588	7042	
-0.548780	-0.788646	4139	
0.225821	-0.461334	4063	
-0.874140	-0.372613	2147	
0.204299	-0.166595	8310	
-0.256408	-0.825670	10081	
-0.926140	-0.284358	759	
0.139812	-0.596247	5016	
0.278049	-0.169643	8074	
0.111775	-0.020786	4574	
0.348779	-0.009662	6720	
-0.743360	0.186231	2350	
0.855074	-0.419832	9457	
0.102608	0.777350	941	
-0.875893	0.328618	6883	
-0.235018	-0.838353	10231	
-0.528832	0.651926	6183	
0.464427	0.422273	8775	
0.233728	-0.945352	4782	
0.500906	-0.207343	5251	
-0.792118	-0.503092	1276	
0.140706	-0.430411	7172	
0.627213	-0.123090	3517	
0.082165	-0.472188	4046	
0.605750	0.318813	9530	
-0.805510	0.257162	6370	
-0.265066	0.737283	8967	
-0.662481	0.444175	3732	
0.212732	-0.305763	7413	
0.762909	-0.535209	5410	
-0.823910	-0.067322	6493	
0.454235	-0.770809	4178	
0.276178	-0.620115	5497	
0.233581	0.155158	7195	
0.449832	0.395346	8498	
0.494887	0.459072	4718	
0.656288	-0.670509	869	
0.141884	-0.937925	10031	
0.149930	0.699698	7852	
0.229188	-0.007817	4585	
-0.017938	0.319054	6516	
0.400551	-0.262120	2392	
0.190522	-0.460154	1878	
-0.145848	-0.632749	10557	
-0.147241	-0.897154	10738	
0.237163	0.667881	10494	
0.230448	-0.034903	5473	
-0.062241	-0.908623	8679	
0.214981	-0.809402	7549	
-0.589623	0.590004	6371	
0.621374	-0.753436	8766	
0.594695	0.278263	5745	
0.376876	0.282421	3410	
0.192187	0.290520	5154	
-0.056220	-0.845595	8633	
-0.744051	0.298522	4114	
0.145499	-0.381648	8181	
0.348212	-0.149533	699	
0.003541	0.792862	9480	
0.012687	-0.505840	2219	
0.655913	-0.310462	664	
-0.501971	-0.780581	8888	
0.301434	-0.617167	573	
-0.097815	-0.434880	1685	
0.361908	0.225168	5597	
-0.680939	-0.395927	6268	
-0.481820	0.709670	5538	
-0.752211	-0.152016	6503	
0.236597	-0.123050	6711	
-0.706070	0.281870	3250	
0.300575	0.003612	8768	
0.413427	0.190801	5650	
-0.609838	-0.461976	5428	
0.112359	-0.002615	2245	
0.774699	-0.590425	1054	
-0.784021	-0.277712	5685	
0.036708	-0.375204	7318	
0.063397	0.745730	1981	
0.146374	-0.035532	3335	
0.569441	-0.726414	767	
-0.790919	-0.131539	6651	
0.266699	0.563497	9127	
0.403438	-0.054866	2251	
-0.462857	0.625184	9332	
-0.815443	-0.438712	10728	
0.330493	0.211713	2056	
-0.971987	0.079268	7633	
0.570773	-0.229537	1818	
-0.767791	0.242647	2381	
-0.618602	-0.663591	2689	
0.509702	0.394566	3156	
0.442528	-0.214059	5132	
0.251504	-0.844452	8467	
0.717054	0.002013	1447	
-0.889547	-0.358594	2199	
0.210582	0.323709	3800	
0.025418	-0.929374	8570	
0.498440	0.066569	5250	
0.056286	0.105065	1068	
-0.057894	-0.597859	5591	
-0.623600	-0.752826	4273	
0.161309	0.451113	2372	
0.473604	0.280496	3397	
0.062043	0.214158	1496	
0.688239	-0.019989	1279	
0.645853	0.294638	2451	
0.096037	0.138028	4897	
0.476674	-0.008139	9616	
0.598425	-0.050162	2844	
-0.895184	-0.159437	5641	
-0.771488	-0.549568	448	
0.503486	-0.830915	6902	
0.594161	-0.290036	4895	
0.230779	0.478919	3724	
0.686365	0.199668	5533	
-0.537493	0.528423	5957	
-0.148369	0.739170	9995	
-0.511584	-0.801955	1444	
0.571328	-0.707230	1065	
0.308965	0.267637	374	
-0.815237	-0.460295	10360	
0.141515	-0.259483	8740	
-0.831293	-0.297320	7901	
-0.007173	0.689591	2719	
0.412728	-0.783683	5376	
0.274913	0.203931	10599	
0.139874	0.053024	2620	
-0.676421	0.430810	4391	
-0.810724	-0.240888	6858	
0.177349	-0.460333	1878	
0.016009	0.230869	2613	
0.337411	-0.314131	4986	
0.175346	-0.170231	4527	
0.682747	-0.044810	6774	
-0.012241	-0.838368	10836	
-0.736622	-0.034162	4234	
0.696140	-0.003209	1447	
-0.728445	-0.339042	4290	
0.215147	-0.330485	7256	
0.234278	-0.376302	9353	
0.135033	-0.509440	4743	
-0.723083	-0.687892	9174	
-0.570645	-0.601048	3442	
0.320754	-0.351745	6081	
0.366454	0.446110	358	
0.131470	-0.325124	8334	
0.249432	0.230605	7236	
-0.882127	0.320976	6883	
-0.538025	-0.515304	3996	
-0.511967	0.708570	6294	
0.355040	0.096729	1552	
-0.654076	-0.632422	6638	
-0.058059	-0.904269	8679	
-0.049487	0.781289	4739	
0.544601	0.042003	6966	
0.596695	0.023823	6079	
0.510795	-0.287298	1737	
-0.771468	-0.293313	2976	
-0.339842	0.678499	2501	
-0.944540	0.125106	430	
