time = 0.187	Re = 1	rotation = -0.268138
-0.836629	0.354160	9527	
-0.835693	0.356526	9527	
-0.832952	0.363048	6686	
-0.828716	0.372788	6686	
-0.823260	0.384770	5964	
-0.816575	0.398816	6672	
-0.808692	0.414331	6672	
-0.799691	0.431581	6464	
-0.789519	0.449807	9950	
-0.778342	0.468837	2188	
-0.766009	0.488791	7244	
-0.752566	0.509113	982	
-0.738046	0.529747	4874	
-0.722847	0.549936	4874	
-0.706891	0.570192	1221	
-0.690161	0.590148	4970	
-0.672591	0.609958	5926	
-0.654547	0.629238	8255	
-0.636026	0.647988	6320	
