Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
-0.4220790582 	 -0.1712558522 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 241
0.4220790582 	 0.1712558522 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 242
0.3696817427 	 0.0170379812 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 243
-0.3696817427 	 -0.0170379812 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 244
0.0628044478 	 -0.6154058507 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 245
0.4311911084 	 -0.1449665083 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 246
-0.4311911084 	 0.1449665083 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 247
-0.1264912099 	 0.4964899029 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 248
-0.1982288551 	 -0.3017122525 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 249
0.1982288715 	 0.3017122555 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 250
-0.0683622375 	 0.4107031053 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 251
0.0683622294 	 -0.4107036330 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 252
-0.0572266338 	 -0.4225828142 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 253
-0.5871620777 	 0.3465301481 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 254
0.5871621394 	 -0.3465301473 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 255
0.0078946904 	 -0.0943125245 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 256
-0.0078946904 	 0.0943125245 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 257
-0.5724782693 	 -0.1661683939 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 258
0.5724782693 	 0.1661683939 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 259
-0.8223539389 	 -0.2075195011 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 260
0.8223539389 	 0.2075195011 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 261
-0.2633552962 	 0.5686946007 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 262
-0.2994149039 	 0.8543196086 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 263
-0.2492441992 	 -0.6503906007 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 264
-0.7349926222 	 0.3247829679 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 265
0.7349926222 	 -0.3247829679 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 266
0.1190525668 	 0.8391785582 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 267
-0.8755118091 	 0.2981137215 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 268
0.8755118091 	 -0.2981137215 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 269
0.0755429588 	 -0.6229970713 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 270
0.1586852287 	 0.2803988424 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 271
-0.1586852289 	 -0.2803988429 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 272
0.2492826409 	 0.6503516852 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 273
-0.4092114503 	 -0.1618206949 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 274
0.4092114503 	 0.1618206949 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 275
0.0568094638 	 0.4224481143 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 276
-0.0472172575 	 -0.1841858698 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 277
0.0472172575 	 0.1841858698 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 278
0.1623998280 	 -0.6729829482 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 279
0.0358483127 	 0.8748406327 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 280
-0.2470298527 	 0.2700854540 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 281
