time = 5	Re = 1	rotation = 0.795616
-0.336507	-0.134695	5242	
0.073445	-0.162503	3409	
-0.559603	0.628664	8340	
-0.649946	0.162536	7381	
0.416882	0.696135	4503	
-0.300525	-0.094345	3909	
0.213183	0.501962	5424	
-0.797907	0.049451	2179	
-0.186143	0.257799	2452	
-0.057990	-0.122783	6969	
-0.624158	-0.061139	3196	
-0.638858	-0.067807	3196	
-0.391297	-0.239234	345	
-0.415028	0.147784	6774	
-0.541642	-0.098183	8467	
0.274831	0.346716	7114	
0.516014	0.636176	5004	
0.120319	0.850160	4149	
0.001786	0.211679	2993	
-0.086240	0.294468	5737	
-0.110919	-0.425410	6018	
0.180442	-0.645386	1791	
0.118515	0.866675	4149	
-0.480182	-0.298319	4242	
0.250376	0.885864	8929	
-0.841412	-0.317095	7841	
-0.257607	0.841513	5285	
-0.435334	0.504693	579	
0.300640	-0.219599	4097	
-0.848857	0.349486	3483	
0.811232	0.521380	7845	
-0.187018	0.755446	5538	
-0.130103	0.246580	1923	
0.692606	-0.600462	1695	
0.127247	0.924017	919	
0.121423	0.066274	4457	
0.351165	0.020637	3371	
-0.960218	-0.234568	5282	
-0.294813	-0.310708	5858	
0.878970	0.190391	3080	
-0.207195	0.461036	3138	
0.779223	0.381128	7174	
0.319108	0.504570	2925	
0.057329	0.264684	7661	
-0.255542	-0.777722	7294	
0.852045	0.150626	2200	
0.224901	0.697089	1382	
0.727397	-0.080196	7748	
-0.401495	0.252742	4708	
-0.465651	0.548425	3751	
-0.426572	0.462072	7974	
0.524531	0.164219	8138	
0.158253	0.369428	3961	
-0.877636	0.063046	841	
-0.619403	-0.338734	5632	
-0.491468	-0.704205	7830	
0.826173	0.029587	6387	
0.043098	0.175481	2701	
-0.545871	-0.147894	5298	
-0.407154	-0.585170	1228	
-0.105156	0.588915	2422	
-0.519865	0.282882	9237	
0.299371	-0.388080	5714	
-0.269591	-0.046204	4274	
-0.284374	0.700202	3734	
0.960414	0.185845	3440	
0.292451	0.604004	5457	
0.278477	-0.635576	7466	
0.042771	0.882662	513	
-0.428206	-0.694264	5427	
-0.251387	0.247663	8587	
