Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_y	Time: 4.0700	Mesh (Number of cells): 259
-0.2868969450 	 -0.0839094987 	 0.2392986196 	 0.2392976573 	 207
0.2868969450 	 0.0839094987 	 -0.2392986852 	 -0.2392977227 	 208
0.2812615654 	 -0.0885557221 	 -0.1852295682 	 -0.1852294978 	 209
-0.2812615654 	 0.0885557221 	 0.1852294916 	 0.1852294214 	 210
0.7754891441 	 0.3518925872 	 0.8266291991 	 0.8266292043 	 211
-0.7754891441 	 -0.3518925872 	 -0.8266292091 	 -0.8266292142 	 212
0.7734426907 	 -0.4943691947 	 0.8303293047 	 0.8303292966 	 213
-0.7734426907 	 0.4943691947 	 -0.8303293069 	 -0.8303292988 	 214
-0.3558117428 	 0.4988745246 	 0.0804146788 	 0.0804150486 	 215
0.3558117428 	 -0.4988745246 	 -0.0804147999 	 -0.0804151694 	 216
0.4496884662 	 -0.1941625927 	 -0.2314055817 	 -0.2314041630 	 217
-0.4496884662 	 0.1941625927 	 0.2314055430 	 0.2314041245 	 218
-0.4347899041 	 -0.2597716659 	 0.1606028946 	 0.1606032161 	 219
0.4347899041 	 0.2597716659 	 -0.1606028955 	 -0.1606032169 	 220
0.3914395124 	 -0.0957652833 	 -0.3004895830 	 -0.3004886125 	 221
-0.3914395124 	 0.0957652833 	 0.3004896031 	 0.3004886325 	 222
0.5714636199 	 -0.1994828249 	 0.1018184403 	 0.1018185707 	 223
-0.5714636199 	 0.1994828249 	 -0.1018185066 	 -0.1018186368 	 224
-0.2991200797 	 -0.6369050965 	 -0.0387126861 	 -0.0387125902 	 225
0.2991200797 	 0.6369050965 	 0.0387124884 	 0.0387123931 	 226
-0.3188010880 	 -0.2853823891 	 0.3519788196 	 0.3519777426 	 227
0.3188010880 	 0.2853823891 	 -0.3519788373 	 -0.3519777602 	 228
-0.1692309049 	 0.6787502585 	 0.0658866715 	 0.0658867946 	 229
0.1692309049 	 -0.6787502585 	 -0.0658868599 	 -0.0658869825 	 230
0.1691572246 	 0.6786886166 	 -0.0918076224 	 -0.0918075604 	 231
-0.1691572246 	 -0.6786886166 	 0.0918077978 	 0.0918077354 	 232
-0.2704551690 	 0.4233471451 	 0.1476728977 	 0.1476742480 	 233
0.2704551690 	 -0.4233471451 	 -0.1476730507 	 -0.1476744007 	 234
-0.5469280076 	 -0.0095848688 	 0.0626062787 	 0.0626068836 	 235
0.5469280076 	 0.0095848688 	 -0.0626062655 	 -0.0626068704 	 236
0.8814553432 	 0.2696506817 	 0.9447803473 	 0.9447803549 	 237
-0.8814553432 	 -0.2696506817 	 -0.9447803492 	 -0.9447803568 	 238
0.5656187796 	 0.1170826349 	 0.0048961831 	 0.0048945662 	 239
-0.5656187796 	 -0.1170826349 	 -0.0048961576 	 -0.0048945408 	 240
-0.1541178734 	 0.4366664243 	 0.0904065986 	 0.0904067950 	 241
0.1541178734 	 -0.4366664243 	 -0.0904066049 	 -0.0904068013 	 242
-0.1562988781 	 -0.4356794115 	 0.1488104881 	 0.1488101194 	 243
0.1562988781 	 0.4356794115 	 -0.1488103333 	 -0.1488099650 	 244
-0.6541273870 	 -0.2971307270 	 -0.4653141784 	 -0.4653133244 	 245
0.6541273870 	 0.2971307270 	 0.4653141348 	 0.4653132809 	 246
-0.5330361516 	 -0.3378436845 	 -0.1896833688 	 -0.1896823525 	 247
0.5330361516 	 0.3378436845 	 0.1896832912 	 0.1896822751 	 248
0.6259157954 	 -0.3129548071 	 0.3149614504 	 0.3149612940 	 249
-0.6259157954 	 0.3129548071 	 -0.3149615237 	 -0.3149613671 	 250
-0.4657687583 	 -0.1523635954 	 0.2259128822 	 0.2259130495 	 251
0.4657687583 	 0.1523635954 	 -0.2259129026 	 -0.2259130698 	 252
-0.3900117971 	 -0.0836444221 	 0.3040991741 	 0.3040982346 	 253
0.3900117971 	 0.0836444221 	 -0.3040991788 	 -0.3040982393 	 254
-0.4431523757 	 0.0026236803 	 0.2761578982 	 0.2761570499 	 255
0.4431523757 	 -0.0026236803 	 -0.2761578724 	 -0.2761570241 	 256
0.0000000000 	 0.7336929713 	 0.0138131330 	 0.0138131286 	 257
-0.0000000000 	 -0.7336929713 	 -0.0138131065 	 -0.0138131022 	 258
