Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0	0	0	0	0	1
0.0001	-7.515139567e-07	1.200215219e-06	-0.0009877274061	1	1
0.0002	-9.097792856e-06	9.18309567e-06	-0.01599667417	47.46801703	1
0.0003	-2.042112174e-05	1.352542602e-05	-0.03920482241	11.30867609	1
0.0004	-2.610265789e-05	1.190646865e-05	-0.05904506389	65.87877613	1
0.0005	-2.286526871e-05	4.42945591e-06	-0.06837067084	20.75785478	1
0.0006	-1.221956134e-05	-6.274894444e-06	-0.06412185323	8.600769841	1
0.0007	2.703877429e-06	-1.754050906e-05	-0.04681882209	11.2100479	1
0.0008	1.890806809e-05	-2.738346829e-05	-0.01937554828	12.27112792	1
0.0009	3.422195034e-05	-3.477654075e-05	0.01384018967	6.827561038	1
0.001	4.738243401e-05	-3.950790172e-05	0.04796850904	30.28461446	1
0.0011	5.787626539e-05	-4.192587417e-05	0.07852288967	19.83866643	1
0.0012	6.571475229e-05	-4.266806538e-05	0.1020633971	5.527212697	1
0.0013	7.122199498e-05	-4.244310159e-05	0.1165774329	32.34029931	1
0.0014	7.4865749e-05	-4.188244849e-05	0.1215516872	4.782998009	1
0.0015	7.713768841e-05	-4.14605045e-05	0.1177838081	3.621331272	1
0.0016	7.847895436e-05	-4.146935113e-05	0.1070238813	9.105295021	1
0.0017	7.924248639e-05	-4.203148274e-05	0.09154537162	1.87668849	1
0.0018	7.968229258e-05	-4.313449656e-05	0.07373225889	2.49162189	1
0.0019	7.996028904e-05	-4.467462015e-05	0.05574343258	4.603324542	1
0.002	8.016277382e-05	-4.649950399e-05	0.03928628656	1.600567991	1
0.0021	8.032049131e-05	-4.844431473e-05	0.02550555682	1.213569701	1
0.0022	8.042814612e-05	-5.035820765e-05	0.01497410096	0.9085425684	1
0.0023	8.046093882e-05	-5.212061715e-05	0.007760743344	3.876581391	1
0.0024	8.038706144e-05	-5.364840389e-05	0.003545927237	0.6632362383	1
0.0025	8.017606602e-05	-5.489580602e-05	0.001757168057	1.154123521	1
0.0026	7.980362587e-05	-5.584948312e-05	0.001701264053	1.083140121	1
0.0027	7.929783802e-05	-5.655617134e-05	0.002614016906	3.361049087	1
0.0028	7.865388475e-05	-5.703621475e-05	0.003925777715	1.015996762	1
0.0029	7.784312217e-05	-5.730019344e-05	0.005257525176	2.369111026	1
