Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_eps	Time: 1.1050	Mesh (Number of cells): 5013
-0.0177602556 	 -0.7171858216 	 0.3399793283 	 -0.0084166532 	 426
0.6077479111 	 0.5998974660 	 0.6455054610 	 0.4589845242 	 427
-0.0646153236 	 0.7275503053 	 1.3452137110 	 -0.1190036003 	 428
-0.0559941944 	 0.7022759489 	 0.8002131600 	 -0.0636015162 	 429
0.3582377704 	 -0.0493178478 	 -0.0766401264 	 -0.0759239544 	 430
-0.2201463144 	 0.1744404766 	 -0.0707812780 	 0.0554766492 	 431
0.0929974669 	 -0.5921473924 	 -0.0556728569 	 -0.0086372894 	 432
0.1983600329 	 0.4929931383 	 -0.0469001268 	 -0.0175061466 	 433
-0.2207070173 	 -0.9061730787 	 0.9333083159 	 -0.2287317550 	 434
0.0778798961 	 0.4267249509 	 -0.1235386036 	 -0.0221800973 	 435
0.2245434648 	 -0.0641186480 	 -0.0462221820 	 -0.0444459949 	 436
0.2466356850 	 -0.0803324667 	 -0.0665481609 	 -0.0632766467 	 437
-0.1701770805 	 -0.6644253600 	 0.4949490987 	 -0.1228065663 	 438
0.2103224618 	 -0.5061163802 	 -0.0137731936 	 -0.0052850021 	 439
-0.0786021064 	 -0.4364471441 	 -0.1281782499 	 0.0227187015 	 440
-0.1683770545 	 -0.9151207206 	 0.9951545473 	 -0.1839404964 	 441
-0.6126770044 	 0.0649781168 	 0.1915645949 	 -0.1904960719 	 442
-0.5806347038 	 0.0254942493 	 0.1385336990 	 -0.1384003231 	 443
-0.1136788326 	 0.5202633544 	 -0.1350217037 	 0.0288223082 	 444
-0.0854955606 	 -0.6289225693 	 0.0693642669 	 -0.0093439019 	 445
0.2416596926 	 -0.0943882767 	 -0.0655882932 	 -0.0610939107 	 446
0.4947919757 	 -0.3099227884 	 0.1298227367 	 0.1100217344 	 447
-0.1247616422 	 0.5310684535 	 -0.1097803681 	 0.0251063974 	 448
-0.0930102780 	 -0.4372960812 	 -0.1481373743 	 0.0308184010 	 449
-0.1781642376 	 -0.6821962639 	 0.5916434435 	 -0.1495019148 	 450
-0.0833033469 	 -0.2525920445 	 -0.0381861351 	 0.0119600267 	 451
0.4526722940 	 0.7792885754 	 0.7743231032 	 0.3891095556 	 452
0.0890087995 	 -0.4732457719 	 -0.1520888454 	 -0.0281121504 	 453
-0.1381998887 	 -0.3535086439 	 -0.1245447121 	 0.0453470866 	 454
0.1884570411 	 -0.6250380813 	 0.2848151718 	 0.0822202346 	 455
0.0777509687 	 0.7265960440 	 1.3618251370 	 0.1448987106 	 456
0.1443365964 	 0.4863340280 	 -0.1225576496 	 -0.0348695493 	 457
-0.7658278261 	 0.5161981850 	 0.8115937123 	 -0.6711294484 	 458
-0.0600257716 	 0.7412685407 	 1.4165629880 	 -0.1143355064 	 459
0.0748996690 	 0.2852049678 	 -0.0502974914 	 -0.0127758547 	 460
-0.0630106935 	 0.7083673955 	 1.1108266375 	 -0.0984222180 	 461
-0.5940344317 	 0.0022175901 	 0.1576099898 	 -0.1576088120 	 462
0.7143964120 	 0.1355258259 	 0.3872901373 	 0.3805030579 	 463
0.1024245445 	 -0.7501976794 	 1.2965948234 	 0.1753979179 	 464
0.5385943867 	 -0.0106092973 	 0.0792574342 	 0.0792421782 	 465
0.1814366600 	 -0.3625558748 	 -0.1147873642 	 -0.0513704624 	 466
-0.1376201994 	 -0.9018166361 	 1.0738792321 	 -0.1619979444 	 467
-0.3686443311 	 0.2675727661 	 -0.0267157802 	 0.0216206969 	 468
0.4071275264 	 0.8103258476 	 0.8033767582 	 0.3602110711 	 469
-0.1237914618 	 0.2124518014 	 -0.0352676672 	 0.0177556713 	 470
-0.5418544689 	 -0.7289445777 	 0.7720682066 	 -0.4627216354 	 471
0.5614019102 	 -0.1821820824 	 0.1483298968 	 0.1410868531 	 472
-0.0700073405 	 0.4419643747 	 -0.1086584528 	 0.0169996082 	 473
0.0355746272 	 -0.7178074638 	 0.5982765171 	 0.0296144468 	 474
0.4418528303 	 -0.5099994068 	 0.2700959199 	 0.1768607510 	 475
0.4425030646 	 0.8125014745 	 0.8188913608 	 0.3978826381 	 476
-0.4167588309 	 0.2306368751 	 -0.0016853985 	 0.0014744673 	 477
0.3307543357 	 -0.6377944728 	 0.3976635100 	 0.1830720447 	 478
-0.3044378392 	 -0.6945545041 	 0.5352011205 	 -0.2148572790 	 479
0.0728957899 	 -0.3046638823 	 -0.0584133516 	 -0.0135928153 	 480
0.3958861396 	 0.8394162297 	 0.8651768745 	 0.3630517575 	 481
0.2471381676 	 -0.6001724872 	 0.2444974897 	 0.0930957561 	 482
0.0788270851 	 -0.5887939450 	 -0.0881424414 	 -0.0116958409 	 483
0.3432086317 	 -0.1923313180 	 -0.0645950887 	 -0.0563500618 	 484
0.1487930280 	 0.3199806663 	 -0.1083330746 	 -0.0456785443 	 485
0.0592536406 	 -0.7595596866 	 1.4767280673 	 0.1148519312 	 486
-0.6397768316 	 0.0531544573 	 0.2341325699 	 -0.2333283509 	 487
0.1217417930 	 -0.1910330692 	 -0.0209555290 	 -0.0112621844 	 488
0.0644455964 	 0.7257300491 	 1.3708535672 	 0.1212568199 	 489
0.5273110294 	 0.0111479553 	 0.0648360547 	 0.0648217076 	 490
-0.0760011906 	 0.5762309924 	 -0.1014276814 	 0.0132626141 	 491
0.1600494555 	 -0.2910086134 	 -0.0946437328 	 -0.0456096514 	 492
-0.1523839364 	 0.8136370890 	 1.1046700898 	 -0.2033558750 	 493
0.4344688867 	 -0.4439577900 	 0.1753040777 	 0.1226127349 	 494
-0.2027242729 	 -0.6070380533 	 0.2277757725 	 -0.0721509884 	 495
-0.4175882420 	 0.2082150097 	 -0.0095562717 	 0.0085519473 	 496
0.0873326103 	 0.2827672969 	 -0.0615076250 	 -0.0181507682 	 497
0.0049748874 	 0.9295266024 	 2.1252648291 	 0.0061758960 	 498
0.2283022073 	 0.0906990641 	 -0.0560681587 	 -0.0521071024 	 499
0.1915118858 	 0.1189093842 	 -0.0338079589 	 -0.0287221506 	 500
-0.1138167235 	 0.8257780693 	 1.2363740906 	 -0.1688138662 	 501
0.3017985405 	 -0.6956121969 	 0.5400125580 	 0.2149335082 	 502
-0.5481117692 	 -0.2398430359 	 0.1580319540 	 -0.1447780055 	 503
-0.1899539944 	 -0.8915666644 	 0.9976148740 	 -0.2088382262 	 504
-0.0841249917 	 -0.5442329280 	 -0.1275898771 	 0.0194904762 	 505
0.4005307497 	 -0.0019018606 	 -0.0575361269 	 -0.0575352473 	 506
-0.1428599423 	 -0.3685808031 	 -0.1300145164 	 0.0469868671 	 507
-0.8666006475 	 0.2811438228 	 0.7828593030 	 -0.7444738475 	 508
0.0790715605 	 -0.2933547134 	 -0.0601172351 	 -0.0156459217 	 509
-0.3125169536 	 -0.3849925060 	 -0.0146646994 	 0.0092418918 	 510
0.1897516667 	 0.8743694455 	 0.9997692045 	 0.2121613847 	 511
0.5889178928 	 -0.1838058797 	 0.1899754907 	 0.1813477940 	 512
-0.0498110041 	 -0.7097117515 	 0.8075651014 	 -0.0565400316 	 513
0.0599320140 	 0.6992293103 	 0.9104054755 	 0.0777477244 	 514
0.4557511872 	 0.4877593404 	 0.2564144247 	 0.1750612085 	 515
-0.0773976901 	 0.4529931747 	 -0.1313585754 	 0.0221231151 	 516
-0.0236238634 	 -0.7256478594 	 0.7399016134 	 -0.0240752692 	 517
0.1720761391 	 -0.3483332194 	 -0.1153543147 	 -0.0510909779 	 518
-0.2416940803 	 0.0745264306 	 -0.0626875378 	 0.0599046899 	 519
0.0507402719 	 -0.7739682014 	 1.4974212477 	 0.0979590246 	 520
0.3569702271 	 -0.5969256266 	 0.3258565232 	 0.1672438373 	 521
0.1338336017 	 -0.4723951108 	 -0.1419308232 	 -0.0386874370 	 522
-0.1184621693 	 0.2261485344 	 -0.0410586836 	 0.0190521245 	 523
-0.1149821654 	 -0.1970695685 	 -0.0212245920 	 0.0106962697 	 524
-0.1327713518 	 0.3258057832 	 -0.1100388723 	 0.0415270584 	 525
0.4816636673 	 0.7629204271 	 0.7716675541 	 0.4106163658 	 526
0.4906596831 	 -0.1843859555 	 0.0566104840 	 0.0529923692 	 527
-0.0936105417 	 0.3567614458 	 -0.1136872068 	 0.0288537551 	 528
0.0812927262 	 0.4392909839 	 -0.1342989442 	 -0.0244375873 	 529
0.7575133216 	 0.1782237143 	 0.4890187049 	 0.4760204094 	 530
0.6212296515 	 0.6280455630 	 0.7096636989 	 0.5011938712 	 531
-0.3192809382 	 -0.5882561455 	 0.2722907264 	 -0.1298901477 	 532
-0.1148213789 	 0.6518208503 	 0.3476945347 	 -0.0603200811 	 533
0.8955473587 	 -0.1683210433 	 0.7858864332 	 0.7704899063 	 534
-0.2316988843 	 0.6171666767 	 0.2861104132 	 -0.1005603243 	 535
-0.1046120620 	 0.9517291422 	 0.7679128142 	 -0.1136450386 	 536
0.2782058887 	 0.3798368698 	 -0.0480311242 	 -0.0283808202 	 537
-0.0821511007 	 0.5401666216 	 -0.1346502320 	 0.0202452852 	 538
-0.2349977143 	 0.1684437727 	 -0.0750504088 	 0.0609989855 	 539
-0.0746746914 	 -0.2627214067 	 -0.0372134165 	 0.0101744249 	 540
-0.2050168421 	 0.2199936600 	 -0.0765574567 	 0.0521944904 	 541
0.2929739600 	 0.3922644533 	 -0.0282838055 	 -0.0169245364 	 542
0.5013458632 	 -0.3358207531 	 0.1581318139 	 0.1313809955 	 543
-0.0987338255 	 -0.5509309704 	 -0.1131289175 	 0.0199558061 	 544
-0.3424437890 	 -0.2124034363 	 -0.0606088467 	 0.0515053859 	 545
0.4501600563 	 -0.4648697751 	 0.2201205242 	 0.1531269426 	 546
-0.4739518643 	 -0.2420578175 	 0.0630681230 	 -0.0561672093 	 547
0.3171339208 	 -0.3866479575 	 -0.0089169252 	 -0.0056546727 	 548
-0.2454179903 	 0.0148430527 	 -0.0590430783 	 0.0589357307 	 549
0.3462697011 	 0.2905377060 	 -0.0345899123 	 -0.0264976469 	 550
-0.1583279298 	 0.3100397755 	 -0.1032527866 	 0.0469594649 	 551
-0.0565079731 	 -0.6887255785 	 0.3860258841 	 -0.0315664987 	 552
0.8951951894 	 0.1181539004 	 0.7667897431 	 0.7581528327 	 553
-0.5668390541 	 -0.0868719792 	 0.1264130749 	 -0.1249542161 	 554
0.3074458863 	 -0.3697600818 	 -0.0278940749 	 -0.0178335977 	 555
