time = 1.6	Re = 10
0.137279	0.145885	0
0.170168	0.148058	1
0.202322	0.151852	2
0.231750	0.162217	3
0.261142	0.172833	4
0.314139	0.200468	5
0.354473	0.235911	6
0.375802	0.281947	7
0.376831	0.339422	8
0.367973	0.373208	9
0.357587	0.408112	10
0.339729	0.446565	11
0.319484	0.486767	12
0.292349	0.530317	13
0.261129	0.577131	14
0.241638	0.602819	15
0.221659	0.628927	16
0.197620	0.657840	17
0.171205	0.688365	18
0.136457	0.721085	19
0.093143	0.753058	20
0.064894	0.765222	21
0.036694	0.777083	22
-0.021277	0.788398	23
-0.076215	0.789892	24
-0.125588	0.787933	25
-0.170539	0.784259	26
-0.213352	0.781803	27
-0.252962	0.778105	28
-0.292805	0.775482	29
-0.330225	0.771228	30
-0.368801	0.767338	31
-0.404182	0.762008	32
-0.441203	0.755627	33
-0.475997	0.748828	34
-0.511237	0.740791	35
-0.544915	0.731643	36
-0.578545	0.721892	37
-0.610474	0.711099	38
-0.642748	0.699481	39
-0.674204	0.686405	40
-0.705260	0.673392	41
-0.759321	0.648981	42
