time = 0.001	Re = 1	rotation = 0
0.434136	-0.625331	7394	
0.715253	0.045298	1063	
0.597601	0.297559	2060	
0.006130	0.940438	2219	
0.663452	-0.414375	7069	
0.201216	0.851204	8537	
0.309058	-0.193873	8900	
0.433463	0.856004	1898	
0.591944	-0.137022	453	
0.592489	-0.291581	5356	
0.657324	0.303961	8040	
0.821524	-0.195288	4497	
0.038534	0.969225	2716	
0.449018	0.874822	7910	
0.671574	-0.467278	5960	
0.113030	-0.455655	1104	
0.082588	0.530459	8699	
0.020963	-0.725519	1778	
0.261371	0.741904	2073	
0.179277	-0.133622	7868	
0.325285	0.166483	858	
0.052701	0.192370	8647	
0.212064	0.529777	8503	
0.189860	0.797330	5509	
0.008112	-0.819543	6256	
0.618947	-0.235739	1124	
0.473149	-0.040965	2335	
0.099038	-0.920799	8176	
0.483623	-0.083966	6479	
0.234380	-0.882494	7197	
0.124558	0.713386	2054	
0.399430	-0.237605	6584	
0.661858	0.250055	5447	
0.323715	-0.367884	4065	
0.281581	0.427573	4234	
0.561376	-0.201241	909	
0.889651	0.363348	8269	
0.355922	0.696325	2557	
0.771115	0.440284	6567	
0.633029	-0.385881	4753	
0.536828	-0.451387	2037	
0.007740	-0.950119	1790	
0.144314	0.027375	4788	
0.222397	-0.261243	8920	
0.055930	0.822339	6533	
0.332617	0.425521	2361	
0.426547	-0.397042	8627	
0.070254	-0.156381	2821	
0.387640	-0.679601	7405	
0.349398	-0.809110	7510	
0.871437	0.334315	6428	
0.193554	0.835991	7717	
0.579592	-0.088783	495	
0.641859	-0.492592	6285	
0.550343	-0.736744	1203	
0.200544	0.027908	1881	
0.098197	0.703610	8623	
0.395010	-0.534240	8092	
0.585925	0.493087	6207	
0.609146	0.157413	2199	
0.170472	0.372554	3016	
0.328984	0.605056	6210	
0.836194	-0.170276	5043	
0.416481	0.872818	8266	
0.425134	-0.812637	335	
0.643407	-0.271718	3922	
0.667858	0.143019	6566	
0.405097	0.790286	6052	
0.065453	0.370889	7903	
0.231148	0.077506	714	
0.773528	0.492395	5904	
0.721396	-0.034938	9207	
0.193434	-0.589061	3002	
0.535344	-0.124907	3949	
0.079424	0.453677	2840	
0.246118	-0.927125	1582	
0.407677	0.755094	6455	
0.431562	-0.432260	7189	
0.223516	-0.950718	3388	
0.008323	0.854797	8290	
0.693563	0.409602	2271	
0.596139	0.073875	1242	
0.455779	0.199931	717	
0.653828	-0.254574	3573	
0.668147	-0.086899	4375	
0.084533	-0.533737	1635	
0.081016	-0.356047	2878	
0.611062	-0.265359	1387	
0.726583	0.355392	3811	
0.144027	-0.664059	2181	
0.063964	-0.471399	352	
0.347533	-0.823851	6266	
0.602658	0.428149	4996	
0.156906	-0.315882	1905	
0.727576	0.325908	3287	
0.854569	0.108352	6245	
0.024871	-0.885384	5370	
0.080095	0.034194	2863	
0.457337	0.649138	5767	
0.668697	0.091167	5649	
0.589604	0.792371	7584	
0.574921	-0.156937	6086	
0.702666	-0.286288	7271	
0.157022	0.368095	3016	
0.034841	0.770380	8271	
0.844873	0.019411	6381	
0.127932	0.242818	589	
0.239599	0.261503	2932	
0.477117	0.170710	6575	
0.253028	-0.598233	7279	
0.638377	0.520849	3377	
0.359528	0.417436	4335	
0.587994	0.618599	7206	
0.204665	0.592589	5133	
0.266004	-0.403737	9224	
0.189795	0.041560	3068	
0.375478	-0.516176	6363	
0.684891	0.337789	3293	
0.044885	-0.349451	1479	
0.496259	-0.656105	7036	
0.084981	-0.094627	1717	
0.312263	0.776919	3063	
0.697201	-0.074009	7327	
0.264770	0.150803	3946	
0.195383	0.482268	7060	
0.937246	0.317599	4054	
0.748218	-0.006035	3638	
0.087156	-0.227192	2979	
0.729604	0.155691	2187	
0.559903	0.128773	6772	
0.050379	-0.791893	1776	
0.614901	0.462653	7671	
0.244960	0.927707	1518	
0.740714	-0.524718	6805	
0.644099	-0.321131	5259	
0.727650	0.168458	2187	
0.756156	-0.497829	6709	
0.164558	0.025646	4940	
0.863171	-0.305467	6720	
0.243099	0.461888	1427	
0.392214	-0.216527	5063	
0.794918	0.411327	5612	
0.891982	0.400964	5586	
0.440192	-0.585849	2573	
0.665472	0.507115	3789	
0.604068	-0.009371	1316	
0.118611	0.569343	2439	
0.492299	0.707738	8946	
0.135749	0.930043	8308	
0.490345	-0.855790	4878	
0.280919	0.804880	2078	
0.443855	-0.266352	3806	
0.789703	-0.066551	2210	
0.076224	0.657606	9234	
0.790492	0.029195	3522	
0.008956	-0.727295	9187	
0.712172	0.181003	1179	
0.699766	-0.278831	6441	
0.629246	-0.130976	5238	
0.413631	-0.170348	5061	
0.031178	-0.878042	8207	
0.849710	0.390202	1330	
0.229648	-0.763977	4015	
0.588763	0.795324	7584	
0.920004	-0.268431	8971	
0.930931	0.090628	856	
0.573449	-0.643302	5846	
0.115350	-0.511363	2544	
0.123735	-0.553541	5234	
0.540550	0.735970	5992	
0.231362	-0.020011	5232	
0.228125	-0.732331	6241	
0.128397	-0.299478	382	
0.251845	-0.854744	7041	
0.643981	-0.498220	3884	
0.449801	-0.423849	2748	
0.921092	-0.100503	8592	
0.535707	-0.095075	3804	
0.325718	-0.399947	2163	
0.266187	-0.601207	3394	
0.492322	-0.310217	5893	
0.329733	-0.867916	6778	
0.014688	0.823299	4924	
0.414112	0.353675	1439	
0.451800	-0.599177	2653	
0.480558	-0.817025	8865	
0.229647	0.370600	8004	
0.526512	0.099583	4168	
0.905129	0.301550	8531	
0.186240	0.791637	5509	
0.126524	-0.204150	1046	
0.760175	0.125135	3659	
0.729863	-0.615038	4278	
0.412049	-0.003636	7285	
0.393816	0.849286	1426	
0.250942	-0.684484	8936	
0.061236	-0.800056	2448	
0.317950	0.051584	5881	
0.117532	-0.287488	9048	
0.266899	0.614570	2520	
0.164312	0.753515	3985	
0.458382	-0.030397	4319	
0.375633	0.281890	4169	
0.205678	-0.385860	6842	
0.244680	-0.598053	2670	
0.074622	-0.273647	4174	
0.823304	-0.449973	4520	
0.369014	0.522505	5828	
0.695771	-0.175829	5740	
0.165107	0.787381	7819	
0.574575	-0.487039	4257	
0.236687	-0.103465	7293	
0.402285	-0.862642	8525	
0.496202	-0.346691	698	
0.180809	-0.667602	5674	
0.239931	-0.559184	4772	
0.710239	0.538558	6096	
0.362800	-0.681576	7427	
0.644400	-0.334983	4659	
0.004436	-0.879334	1654	
0.595293	-0.290953	5356	
0.032937	-0.834281	5629	
0.362717	-0.506818	6877	
0.492895	-0.695927	7591	
0.617419	0.478398	7671	
0.601904	0.189793	3408	
0.737436	0.450830	6072	
0.279766	0.594228	4128	
0.248272	0.653854	5414	
0.718627	-0.353988	5851	
0.675029	0.345706	9112	
0.647555	0.345131	660	
0.577968	0.554178	5573	
0.143131	-0.397525	1708	
0.755553	-0.314914	6439	
0.603892	0.242181	3506	
0.298535	-0.078480	5974	
0.685346	0.546633	5596	
0.646989	-0.229169	3367	
0.032377	0.801984	2218	
0.008580	-0.795229	7797	
0.056883	0.901855	8310	
0.523126	-0.239332	3689	
0.445736	-0.811052	4440	
0.770797	-0.444113	8395	
0.139536	0.402742	1256	
0.388280	0.110970	3228	
0.356703	0.263080	3310	
0.462875	0.292196	8341	
0.608938	-0.598708	4618	
0.337447	-0.393832	2357	
0.229420	-0.885289	1950	
0.948395	-0.048942	8501	
0.034837	0.591056	8080	
0.265221	-0.709394	8480	
0.642912	-0.507489	3884	
0.315828	0.805642	6523	
0.922369	0.274758	9181	
0.097418	-0.478276	1547	
0.178170	0.239929	2923	
0.154271	-0.118459	1927	
0.551896	-0.544811	5015	
0.226690	-0.466335	4490	
0.897186	0.128357	5748	
0.125221	-0.590103	4516	
0.936590	-0.254725	5470	
0.350327	-0.060363	4422	
0.393837	-0.323831	6784	
0.367213	0.732550	1813	
0.127580	0.493249	465	
0.242551	0.019798	4960	
0.252771	0.297811	4192	
0.549523	0.285848	8832	
0.569970	-0.453215	2531	
0.220131	-0.693055	1720	
0.760458	0.584677	460	
0.550402	0.064101	4773	
0.360258	-0.848660	8617	
0.205349	-0.150500	5287	
0.652619	0.104639	4027	
0.250848	-0.352146	957	
0.081607	0.026288	7637	
0.220794	-0.535588	2708	
0.525913	-0.003459	4706	
0.927965	0.005971	684	
0.195428	-0.946039	2333	
0.084018	-0.160369	3037	
0.517414	0.292464	5046	
0.471523	0.315927	7326	
-0.000253	-0.970438	1703	
0.802961	0.226601	4525	
0.755494	-0.243949	4738	
0.600872	-0.062261	2478	
0.118118	0.626329	8444	
0.106301	0.928916	916	
0.712687	0.047276	1063	
0.776021	0.593810	6920	
0.781630	0.138631	3363	
0.726765	-0.086428	559	
0.802702	0.486260	9216	
0.039083	-0.139748	2234	
0.431315	0.061959	5746	
0.471043	0.395517	4202	
0.541907	0.084139	4797	
0.667258	0.044113	4751	
0.062753	0.622455	1618	
0.287257	0.803014	2078	
0.642761	0.527095	3377	
0.311823	-0.688116	3184	
0.651141	-0.326489	5259	
0.430934	0.698242	7212	
0.924304	0.011576	684	
0.143971	-0.207675	520	
0.148220	-0.754659	507	
0.267222	0.541917	5156	
0.529066	0.745452	8824	
0.143965	0.886063	8446	
0.210391	-0.910351	6830	
0.403552	-0.870167	8525	
0.711754	0.138957	1109	
0.151640	0.254531	1009	
0.457860	0.024519	3629	
0.264207	0.859958	6142	
0.373992	0.542891	6422	
0.339279	-0.564084	8387	
0.308833	0.013623	4761	
0.222241	0.459783	4979	
0.075028	0.106556	8025	
0.576288	-0.369235	3052	
0.064521	0.696062	7616	
0.100947	-0.426649	2678	
0.303168	0.289351	5011	
0.749188	0.214499	2045	
0.370110	0.168910	3152	
0.156357	-0.924629	2434	
0.392061	-0.692133	8644	
0.152702	-0.040492	986	
0.176335	-0.600418	497	
0.575053	-0.086449	495	
0.718045	-0.074618	528	
0.307578	0.271428	7317	
0.248117	0.349868	5588	
0.253006	0.438685	2984	
0.387057	0.518593	6155	
0.126653	0.946065	8308	
0.149898	0.398922	1984	
0.344888	-0.626471	4624	
0.113833	-0.933927	2214	
0.627899	0.181368	3095	
0.196274	-0.425913	6353	
0.445984	-0.752855	8754	
0.860155	0.430384	1522	
0.500701	-0.761050	8257	
0.274882	0.840821	4622	
0.773171	0.543341	696	
0.752895	-0.191466	8043	
0.087817	0.861667	8776	
0.694950	0.555789	6048	
0.383211	0.869180	1250	
0.469020	-0.568550	766	
0.514913	0.287479	5046	
0.318633	-0.786706	7291	
0.456840	-0.024858	3331	
0.669726	-0.704691	7581	
0.680798	-0.316715	5790	
0.844998	-0.088103	6432	
0.234233	0.524815	2848	
0.133837	-0.591387	6822	
0.379654	-0.007224	2876	
0.474756	-0.128709	3758	
0.309572	0.913574	1042	
0.666580	0.574591	6945	
0.515327	-0.268222	918	
0.370760	-0.453604	6292	
0.547671	0.707727	5965	
0.039705	0.502557	6727	
0.783553	-0.211336	8273	
0.743572	-0.222170	5955	
0.314858	-0.529350	5316	
0.238700	-0.397518	8019	
0.607482	-0.148972	549	
0.662347	-0.714540	7581	
0.343512	0.058277	955	
0.622104	-0.461421	4982	
0.260263	-0.907493	1331	
0.359994	-0.640548	4810	
0.421156	0.170835	5863	
0.721690	0.552121	6738	
0.453674	-0.206134	4755	
0.384896	-0.863800	9230	
0.163657	0.393491	2954	
0.228125	0.693807	5730	
0.602132	0.505919	6225	
0.226311	0.502536	8912	
0.836137	0.083199	6161	
0.027061	-0.340081	8148	
0.216591	-0.912786	6830	
0.596067	0.081422	1242	
0.085190	0.902120	580	
0.035067	0.077854	586	
0.945559	-0.077438	6594	
0.111185	0.937265	1623	
0.452220	0.630770	4903	
0.681389	-0.189104	5157	
0.241514	-0.499646	4767	
0.371646	0.351139	4391	
0.485503	0.561092	2865	
0.647750	-0.747624	7029	
0.860262	0.235286	7894	
0.950863	0.202654	5600	
0.787434	-0.018027	3486	
0.588619	0.145905	8763	
0.049227	-0.229466	367	
0.421535	-0.741159	1391	
0.040316	-0.990546	2090	
0.356290	-0.515293	6230	
0.038918	-0.129507	2234	
0.611708	-0.262414	1387	
0.764765	-0.505535	8567	
0.122709	-0.786038	688	
0.494889	0.123636	3345	
0.218885	0.101380	4488	
0.717352	-0.501112	6817	
0.843433	-0.245482	8353	
0.317570	0.196068	4183	
0.403355	-0.766669	889	
0.413169	0.686904	7267	
0.523325	0.216280	4326	
0.359225	-0.648754	4810	
0.570142	0.102985	806	
0.239715	-0.908886	1582	
0.396790	-0.094000	3612	
0.324852	-0.147270	6998	
0.311297	0.050135	5881	
0.040199	0.181898	1994	
0.153840	0.952652	8066	
0.038609	-0.460576	6402	
0.662170	0.102489	4683	
0.435887	-0.645762	7916	
0.642298	-0.277900	3922	
0.481225	-0.082308	6479	
0.697603	0.011793	6649	
0.369445	-0.607376	5890	
0.029333	-0.547668	7037	
0.621326	-0.484340	5458	
0.257115	0.547409	5156	
0.655957	-0.201485	2400	
0.705887	-0.441359	7883	
0.299180	-0.199315	8900	
0.423806	0.104151	6858	
0.384092	0.710584	5336	
0.711846	0.535775	6096	
0.578839	0.757807	1023	
0.098482	0.559547	2853	
0.652773	0.681331	963	
0.879137	-0.071122	6496	
0.630150	-0.087432	3358	
0.611953	0.161425	2199	
0.771392	0.102326	2171	
0.560121	0.182988	6814	
0.218780	0.366760	8806	
0.235919	0.955046	8133	
0.626208	-0.468047	4982	
0.208536	-0.103395	4671	
0.251327	0.704968	7812	
0.058042	-0.421752	8282	
0.176849	-0.803021	1854	
0.510508	0.709088	6600	
0.435243	-0.469830	2195	
0.506115	0.315744	540	
0.061181	-0.317251	5854	
0.389641	0.010556	4161	
0.377185	0.023658	3665	
0.606278	-0.711811	1183	
0.223797	0.079547	714	
0.093801	0.546617	7025	
0.507097	-0.776478	7921	
0.515663	0.509964	1542	
0.116854	-0.287605	9048	
0.081699	-0.697088	7160	
0.051949	-0.547766	1690	
0.454815	0.582387	7027	
0.686476	0.174391	2235	
0.914818	-0.327635	7939	
0.426276	-0.205890	6159	
0.114841	0.628680	8444	
0.398484	-0.363498	7175	
0.102813	-0.380398	4522	
0.812415	0.511335	7338	
0.820186	0.428850	8696	
0.849999	-0.406200	9206	
0.271720	-0.915970	1331	
