Time	U_x	U_y	P	Max.Res.
0.076	-0.00172634248	-8.196499931e-05	-0.001559842342	0.8516597992
0.077	-0.001767081047	-8.36754867e-05	-0.001586535424	0.4516746091
0.078	-0.001808091639	-8.533446936e-05	-0.001622655448	0.8561489074
0.079	-0.001849443107	-8.697698437e-05	-0.00166955562	1.215681951
0.08	-0.00189111735	-8.859048563e-05	-0.001727634192	0.6120868709
0.081	-0.001933003598	-9.015557719e-05	-0.001794978472	0.4670908847
0.082	-0.001975067202	-9.168155491e-05	-0.001870625799	0.3349893064
0.083	-0.002017345271	-9.317870861e-05	-0.001955912728	0.3036871179
0.084	-0.002059800471	-9.463226043e-05	-0.002050084027	0.45785745
0.085	-0.002102331695	-9.60288516e-05	-0.002149538144	0.8261634146
0.086	-0.00214496989	-9.738666477e-05	-0.002256192959	1.280387279
0.087	-0.002187623188	-9.86866074e-05	-0.002366420521	0.5461805855
0.088	-0.002230317305	-9.994316371e-05	-0.002482726398	0.4860686042
0.089	-0.002272971442	-0.0001011398624	-0.00260156586	0.3468276495
0.09	-0.002315609646	-0.0001022893928	-0.002725859569	0.2908136951
0.091	-0.002358162132	-0.0001033777474	-0.002852132947	0.3888513104
0.092	-0.002400611369	-0.0001044124839	-0.002980239376	0.5985060452
0.093	-0.002443018616	-0.0001054010887	-0.003116778075	0.6129328677
0.094	-0.0024852882	-0.0001063199241	-0.00325484623	0.321685513
0.095	-0.002527450179	-0.0001071867454	-0.003397809466	0.4202993178
0.096	-0.00256946179	-0.0001079934494	-0.00354194446	0.3261670145
0.097	-0.002611349833	-0.0001087494194	-0.003690446217	0.2659159262
0.098	-0.002653080499	-0.0001094480436	-0.003839290552	0.3020788491
0.099	-0.002694659774	-0.000110097969	-0.00398799851	0.4612400552
0.1	-0.002736095706	-0.0001107025389	-0.004136014399	0.9272098311
0.101	-0.002777400737	-0.0001112648253	-0.004282801116	15.58078145
0.102	-0.00281859358	-0.0001117885117	-0.004427863205	0.9382017933
