time = 500	Re = 1	rotation = 79.5774
-0.530541	-0.610209	7079	
0.828637	-0.007639	3725	
-0.399199	0.222128	6339	
-0.418862	0.432198	5057	
-0.373336	0.097382	2857	
-0.577105	0.042716	5911	
0.454556	-0.843091	377	
0.776976	-0.157164	2020	
-0.399456	0.519996	3090	
-0.045053	0.510130	2130	
-0.373236	0.051166	721	
-0.428151	-0.166010	1934	
-0.438786	-0.453277	746	
-0.001551	0.203413	440	
-0.174813	-0.797522	3618	
0.761429	-0.153656	2020	
-0.619599	0.358695	5370	
-0.316573	-0.603797	507	
-0.615014	-0.707128	1228	
0.674338	-0.417701	2381	
0.799892	-0.353883	6121	
0.164490	0.150410	4890	
-0.574438	0.768947	806	
-0.067334	0.510547	1824	
0.481918	0.419704	1099	
0.553309	0.462183	8248	
-0.693350	-0.469431	3348	
0.831750	0.495271	3347	
0.973963	0.124515	4526	
0.679683	0.461503	6791	
0.067134	0.514794	1917	
0.168311	0.521086	7585	
-0.420760	-0.552754	6470	
0.779833	0.140764	6639	
0.392698	-0.174925	4815	
0.263330	-0.340259	2418	
-0.138916	0.294359	4082	
-0.639273	0.179153	6355	
0.057277	0.811581	6346	
-0.800234	-0.051295	9036	
-0.586076	-0.226321	9307	
0.178903	-0.395604	3409	
0.169159	0.911219	8000	
0.465224	-0.227779	5979	
-0.776535	0.491461	7760	
0.169454	0.694981	2570	
0.222387	-0.439669	7082	
0.316909	0.177562	4656	
-0.028094	0.670872	8091	
0.545324	0.133844	7309	
-0.555897	0.263376	4150	
-0.109910	0.512474	6150	
-0.798659	0.538282	1905	
0.499340	-0.616808	9046	
0.746244	0.477535	8759	
0.715689	-0.236496	6894	
-0.003586	0.685502	5473	
0.928659	0.192264	9518	
-0.138804	0.118535	3237	
-0.067761	0.331726	5632	
0.734120	0.337068	753	
-0.389480	0.463891	3616	
0.278376	-0.552903	6238	
0.075079	0.143793	4311	
-0.697966	-0.350945	6480	
-0.858698	-0.204118	5990	
0.078714	0.931256	9238	
0.218196	0.829075	6001	
0.058337	0.373492	4326	
0.506578	-0.634111	9046	
0.589297	0.718998	8692	
-0.168406	0.116483	2293	
0.544014	-0.471090	1272	
-0.618448	0.331788	5206	
0.741573	0.209114	5902	
0.016845	-0.585374	3558	
-0.576497	0.102538	3747	
0.259440	0.676073	1493	
-0.805346	0.276719	6643	
0.808193	-0.531441	6887	
0.712336	-0.589280	1031	
-0.139227	0.657961	2125	
0.637026	-0.255195	7246	
-0.881216	0.120703	7174	
-0.458319	-0.222464	2712	
0.006863	-0.094104	748	
0.864559	0.321697	414	
0.418198	-0.588223	4336	
-0.559532	0.387933	1919	
-0.540117	0.102027	2067	
0.309943	0.419990	4189	
0.736941	-0.613192	4518	
0.353917	-0.786605	6936	
0.169344	-0.611123	8008	
0.758959	0.610681	2665	
-0.760183	-0.344402	611	
-0.468401	-0.669977	3413	
-0.324552	0.485315	8094	
0.215394	0.212305	2553	
0.543180	-0.455867	1481	
0.254141	0.576180	7415	
0.160442	0.533881	8045	
0.495826	0.226670	2587	
0.277946	0.581305	566	
0.579654	-0.569009	9281	
0.400196	-0.579999	2883	
-0.131358	-0.598520	3740	
0.617306	-0.655440	5101	
0.656204	-0.367411	1805	
-0.161185	0.450500	2460	
-0.446650	0.658572	3139	
-0.424546	0.744998	5960	
-0.051648	-0.875484	7112	
-0.057333	0.030745	4729	
-0.806799	0.022401	3151	
-0.237314	0.607989	8828	
-0.310035	0.936448	7561	
-0.145811	0.517836	5662	
0.154909	0.737526	6686	
-0.576547	0.098582	3747	
-0.392215	-0.661997	7119	
-0.311089	-0.800863	2696	
0.133791	0.209614	9266	
-0.357671	0.334545	2493	
0.077272	0.259559	3926	
0.698225	-0.061803	2408	
0.738096	-0.378361	3427	
-0.352274	0.486603	8997	
0.617132	0.601068	8487	
0.149056	0.615330	4452	
0.152547	0.344224	8482	
-0.193085	0.144389	6126	
-0.378256	-0.495865	1565	
0.127825	-0.748594	9448	
0.576826	0.060851	3576	
0.571775	-0.601218	4692	
0.207392	0.041618	2055	
-0.030157	-0.843613	7729	
-0.625391	-0.244733	855	
-0.149715	-0.086576	899	
-0.143382	-0.525115	4331	
0.069095	-0.736465	6527	
0.190364	0.182019	1116	
-0.548911	-0.472118	393	
0.394895	0.267301	7513	
0.567401	-0.530509	3682	
0.339608	0.717020	8235	
-0.497586	0.819667	8800	
0.834410	0.370991	6991	
-0.084695	-0.717401	5306	
0.148660	-0.725062	8140	
0.689043	-0.596432	4791	
-0.174135	0.132350	3446	
0.110567	-0.913907	6938	
0.397239	-0.494771	2560	
0.401255	-0.321021	8379	
0.821037	0.366133	6991	
-0.975630	-0.008229	527	
-0.667805	0.347100	8370	
0.300432	0.790590	6370	
-0.259491	0.508990	3329	
-0.658932	0.129671	5693	
0.679562	0.538572	745	
-0.524402	-0.778765	8162	
0.758980	-0.628054	6350	
0.593585	-0.612246	7357	
-0.463105	0.309465	1606	
-0.209011	0.752526	5226	
-0.314647	0.585904	8126	
0.002607	0.777046	1600	
-0.210296	-0.690685	7948	
-0.692495	-0.192793	2896	
-0.522820	-0.537437	6685	
0.244862	-0.584580	8654	
0.468554	-0.182088	2877	
0.076264	0.866509	662	
-0.375034	0.856466	3556	
0.762783	-0.272514	3497	
-0.893440	0.422949	6231	
0.957956	0.014256	7573	
-0.095581	0.929649	8172	
-0.099887	-0.862109	5046	
0.493663	-0.451722	6622	
0.265565	0.482931	2968	
0.759236	-0.520363	7348	
-0.148644	0.072320	2653	
0.685195	-0.367906	3333	
0.538851	-0.145771	4652	
0.563400	0.698028	7442	
-0.125959	-0.815535	1734	
-0.258642	-0.378069	2970	
-0.900573	-0.218379	7300	
0.204446	0.249523	3000	
0.092064	0.377077	4429	
0.235804	0.649271	757	
-0.001865	0.465536	409	
-0.859297	-0.353000	5749	
-0.267702	-0.783015	518	
-0.444135	0.387636	6119	
-0.464660	-0.611587	742	
0.620093	0.719845	934	
-0.236385	0.487070	6792	
0.540382	-0.116459	3908	
0.325133	-0.897386	8772	
0.315967	0.759486	1646	
0.068918	-0.325990	317	
0.664717	0.371387	1879	
-0.387608	-0.874750	597	
-0.121652	0.243010	5367	
-0.921488	-0.163547	555	
0.566774	0.493016	7284	
0.674037	-0.418494	2381	
-0.187471	0.192831	7108	
-0.376829	-0.147615	5561	
-0.641460	0.307505	7974	
0.430202	0.674747	7831	
0.203337	-0.379074	2811	
0.060413	-0.429496	3583	
0.318556	0.305820	7938	
-0.688626	-0.021588	8316	
-0.040748	0.348359	2785	
-0.510206	0.785624	8774	
0.435264	0.511840	2311	
-0.705908	0.139473	7989	
-0.783088	0.201484	4304	
-0.665279	0.380990	8794	
0.172751	0.061782	5219	
-0.915552	0.265554	6317	
-0.180706	-0.393705	7523	
-0.116778	0.683039	5242	
-0.649506	-0.120392	5338	
-0.880451	-0.127862	8716	
0.395802	-0.683532	7338	
0.717781	0.129264	4758	
0.253691	0.837866	6888	
0.658706	0.094019	593	
0.112526	-0.811327	4967	
0.464556	0.449589	7371	
0.768306	-0.383342	5018	
0.266362	0.751958	6821	
-0.468407	-0.283913	6533	
0.842313	-0.201368	6520	
-0.687136	0.143447	8402	
0.727348	-0.102581	1080	
0.625824	0.514160	7072	
-0.644882	0.412471	3699	
0.520711	0.530952	8734	
-0.408068	-0.717430	1680	
0.398399	0.329756	8029	
0.337961	-0.745444	4713	
0.378373	0.442379	1929	
-0.217758	0.203121	2671	
0.084978	0.870621	662	
-0.545136	-0.336379	7034	
0.554908	-0.561130	2859	
-0.569483	-0.502145	2094	
-0.780968	0.449012	4090	
0.064544	0.373503	2321	
-0.719702	0.585009	5416	
0.525659	0.726062	6082	
-0.600557	0.105989	4325	
-0.290679	0.278126	9213	
0.493531	0.061036	7990	
0.238691	0.286223	1113	
0.799255	-0.313132	6145	
0.083953	0.381957	2139	
-0.919374	-0.005822	9062	
-0.800218	0.512855	4261	
-0.716169	-0.258603	1006	
0.077050	0.812639	6183	
-0.554266	0.667231	6874	
-0.959555	0.101383	4260	
0.020781	0.571652	8983	
0.046704	-0.347511	2486	
-0.054014	-0.117612	7351	
-0.685344	-0.362546	7208	
-0.168110	0.565796	8447	
0.909878	0.046085	6443	
0.633161	0.205259	675	
0.880002	-0.409351	434	
-0.343163	0.099527	982	
0.093959	-0.505067	2993	
0.824128	-0.084507	4414	
0.141870	0.472802	1956	
-0.150688	0.099727	1806	
-0.060619	-0.309050	3985	
0.016599	-0.585794	3558	
0.621589	0.379748	7088	
-0.622824	0.414595	5294	
0.110926	0.952299	7264	
-0.534214	0.014722	4612	
0.064963	0.923650	9425	
-0.375262	0.098855	2857	
-0.032120	-0.624750	8436	
0.011703	-0.466989	663	
-0.265731	0.097315	7941	
-0.093059	0.608825	7407	
-0.457294	0.266891	3909	
-0.656603	-0.655249	8042	
-0.935719	0.243340	7689	
-0.326514	0.243217	4020	
-0.335357	0.491200	501	
-0.492411	0.340903	3365	
-0.683419	-0.686752	2375	
0.142361	-0.822569	646	
-0.767194	-0.165838	4913	
-0.217242	0.517190	1629	
-0.641711	0.227873	5301	
-0.735878	0.577264	562	
0.556406	0.430729	7406	
-0.968867	0.107415	5351	
-0.668516	0.424674	4141	
0.732559	-0.042879	1933	
-0.928924	-0.120364	2317	
0.230648	0.073696	3930	
-0.345987	0.259473	4945	
-0.087255	-0.581453	8301	
-0.039737	0.375710	5870	
-0.108005	-0.624733	6427	
0.281621	-0.608325	3540	
0.848161	0.090404	3917	
0.649706	-0.530201	5568	
-0.513992	-0.570031	7134	
0.078065	0.700986	886	
0.819014	0.114620	7384	
-0.921543	0.100782	579	
0.305360	-0.356709	4122	
0.161229	-0.744108	2490	
0.194152	0.561888	444	
0.911576	-0.132347	8343	
0.464319	0.778585	7161	
0.926303	-0.130865	8343	
0.906937	-0.312273	1870	
-0.071985	-0.717271	5347	
-0.420560	-0.066295	8170	
0.022951	-0.279141	5437	
-0.888001	0.152625	6384	
0.326933	-0.612017	6249	
-0.656141	0.247959	5726	
0.068550	-0.136585	947	
0.350203	-0.525389	8382	
-0.323619	0.078848	6165	
-0.652074	-0.177371	6446	
0.470527	-0.521836	5920	
-0.252573	0.552478	2802	
-0.487412	-0.022324	3488	
-0.498363	-0.594547	5324	
0.079254	0.177333	8998	
0.761759	0.544746	1657	
-0.455675	0.665662	3800	
-0.131029	0.117063	3237	
0.032497	-0.657405	6927	
0.264573	0.292141	8359	
0.348119	-0.629319	8278	
0.418056	-0.326313	8379	
0.548884	0.083107	7015	
-0.098230	0.539396	4966	
0.346966	0.609006	8413	
0.922191	-0.245780	1040	
-0.585688	-0.050775	1488	
0.591419	-0.458702	1898	
0.145985	0.925352	826	
0.144775	0.451126	326	
0.622723	-0.053918	1471	
0.871659	-0.107679	7919	
-0.951564	0.153910	5362	
-0.881077	0.260748	8277	
0.793318	0.391480	6166	
0.930201	0.147887	2183	
0.621640	0.458531	403	
-0.797475	0.318377	5584	
-0.831011	0.319602	5384	
-0.442755	-0.844140	1405	
-0.656182	0.388925	6300	
-0.459239	0.395282	1216	
-0.170276	0.828696	5488	
-0.054397	-0.210697	4538	
0.825505	-0.511221	5593	
-0.663375	0.376055	8794	
0.845389	0.031924	4536	
-0.195770	-0.532826	553	
-0.331669	-0.590545	502	
0.034241	-0.193093	1446	
-0.069294	0.328582	6221	
0.607553	-0.752154	9254	
-0.804065	-0.352318	665	
-0.060923	0.494086	3940	
0.112071	-0.607738	2301	
-0.137964	0.887413	647	
0.157495	0.512545	8247	
0.220836	-0.777271	3082	
0.715855	0.283135	2648	
0.570752	0.323244	2834	
0.192051	0.330250	4544	
0.446880	-0.449132	4138	
0.945761	0.224470	5841	
-0.258215	0.216366	3933	
0.675114	0.391787	9233	
-0.766545	-0.543862	1326	
-0.483159	-0.585750	3438	
-0.089413	0.314583	8593	
-0.647756	0.646454	7427	
-0.330866	0.386734	5829	
0.630075	-0.703260	6503	
-0.536902	-0.142027	8507	
-0.746674	0.044609	4929	
-0.778578	0.138104	9078	
0.631400	-0.190251	3405	
0.669604	0.505356	262	
0.309572	-0.483881	6053	
0.403925	0.848172	7345	
-0.333230	0.481603	8094	
-0.726122	-0.531228	7239	
-0.097093	-0.025858	8586	
-0.292861	0.901791	3269	
0.827382	-0.445435	1132	
-0.515305	0.598181	658	
0.551487	0.428329	7406	
-0.152577	-0.533212	4331	
0.148860	0.306589	3266	
0.625211	0.429396	815	
0.714657	0.682712	6027	
-0.763740	0.458458	5169	
0.881014	0.407842	5192	
0.786880	-0.089323	2828	
-0.324080	0.491511	8094	
0.032875	0.243048	4229	
0.726896	-0.456992	5304	
0.676683	0.722859	7957	
-0.194166	-0.641279	6131	
-0.300257	0.009321	7869	
0.618870	-0.281194	4108	
0.591267	-0.708518	6536	
0.791205	-0.005541	2835	
0.512711	0.001686	1900	
-0.037502	-0.095535	370	
0.463315	-0.742945	9487	
-0.216190	-0.643789	8036	
0.756185	0.444112	6421	
-0.320784	0.294068	4109	
-0.633251	0.601531	6067	
0.805114	0.090735	6751	
0.270780	0.284822	8543	
0.310849	0.715257	8490	
0.243299	0.291671	1113	
-0.168437	0.921248	9190	
-0.097513	0.244783	3491	
-0.318022	-0.014695	4460	
-0.228681	0.191753	8825	
-0.362693	-0.010805	7029	
0.706237	-0.660420	5567	
-0.594211	0.273918	3384	
0.314880	0.486758	6277	
0.391335	0.712577	1496	
0.028261	-0.688568	8163	
0.238063	-0.414592	6287	
0.348127	-0.597107	9018	
0.122422	-0.717141	6549	
-0.600150	0.515973	2100	
0.497329	0.422481	1161	
-0.671218	0.151016	7084	
