Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
0.6476177172 	 0.7180218747 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 193
-0.6476177172 	 -0.7180218747 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 194
-0.7863410901 	 0.3269479054 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 195
0.7863410901 	 -0.3269479054 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 196
-0.3757182072 	 0.0089222699 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 197
0.3757182072 	 -0.0089222699 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 198
-0.7982141917 	 0.2702645324 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 199
0.7982141917 	 -0.2702645324 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 200
-0.1901616512 	 -0.1772004974 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 201
0.1901616512 	 0.1772004974 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 202
-0.2556014599 	 -0.2439201373 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 203
0.2556014599 	 0.2439201373 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 204
0.2639940739 	 -0.1277111813 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 205
-0.2639940739 	 0.1277111813 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 206
0.3541509385 	 -0.1295035839 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 207
-0.3541509385 	 0.1295035839 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 208
-0.4045033764 	 0.0494303419 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 209
0.4045033764 	 -0.0494303419 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 210
-0.2484260166 	 -0.1871536426 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 211
0.2484260166 	 0.1871536426 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 212
0.4005159598 	 -0.0994426416 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 213
-0.4005159598 	 0.0994426416 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 214
-0.1838234268 	 -0.1232123219 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 215
0.1838234268 	 0.1232123219 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 216
0.8944289736 	 -0.0171051508 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 217
-0.8944289736 	 0.0171051507 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 218
0.2204729060 	 -0.1024837730 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 219
-0.2204729060 	 0.1024837730 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 220
0.8531648407 	 0.0221252006 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 221
-0.8531648407 	 -0.0221252006 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 222
0.1389104927 	 -0.2174670496 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 223
-0.1389104927 	 0.2174670496 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 224
0.1830673397 	 -0.1839424223 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 225
-0.1830673397 	 0.1839424223 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 226
0.8479431726 	 0.1145685667 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 227
-0.8479431726 	 -0.1145685667 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 228
0.8833176565 	 0.0738192598 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 229
-0.8833176565 	 -0.0738192598 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 230
0.6590066612 	 0.6545531808 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 231
-0.6590066612 	 -0.6545531808 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 232
0.5845068966 	 0.7267622328 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 233
-0.5845068966 	 -0.7267622328 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 234
-0.3959927275 	 0.4205519906 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 235
0.3959927275 	 -0.4205519906 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 236
-0.6910828153 	 0.5608228237 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 237
0.6910828153 	 -0.5608228237 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 238
0.8912931910 	 -0.0739515593 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 239
-0.8912931910 	 0.0739515593 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 240
0.5372223263 	 -0.6688263724 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 241
-0.5372223263 	 0.6688263724 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 242
0.4279957372 	 0.1402865898 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 243
-0.4279957372 	 -0.1402865899 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 244
-0.8358568529 	 0.1992638457 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 245
0.8358568529 	 -0.1992638457 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 246
0.1829781805 	 0.8339585788 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 247
-0.1829781805 	 -0.8339585788 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 248
-0.8739778255 	 0.1625161498 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 249
0.8739778255 	 -0.1625161498 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 250
0.5789122777 	 -0.6298767707 	 0.0000000000 	 0.0000000000 	 0.0000000000 	 251
