time = 0.187	Re = 4	rotation = -0.268138
-0.824026	0.407480	5964	
-0.823217	0.409154	5964	
-0.821020	0.413602	6672	
-0.817620	0.420480	6464	
-0.813027	0.429659	6464	
-0.807471	0.440220	1336	
-0.800964	0.452158	2292	
-0.793360	0.465325	2188	
-0.784815	0.479797	7244	
-0.775537	0.494767	6594	
-0.765365	0.510308	982	
-0.754199	0.526560	950	
-0.742260	0.543047	4874	
-0.729662	0.559702	5904	
-0.716539	0.576331	1221	
-0.702681	0.593073	1183	
-0.688096	0.609692	4970	
-0.673095	0.626099	8255	
-0.657746	0.642139	2059	
