time = 50.002	Re = 4	rotation = 0.0208417
0.538592	0.090173	8312	
0.232464	0.114063	4715	
0.126166	0.114744	4445	
0.093280	0.228487	8662	
0.096617	0.244844	8658	
0.055416	0.363712	5554	
0.054439	0.415657	4765	
0.081883	0.457032	4819	
0.151388	0.475142	3987	
0.281520	0.582777	4821	
0.180986	0.672964	4965	
-0.293057	0.729582	4450	
-0.221410	0.743929	3171	
-0.184784	0.748355	3399	
-0.189437	0.747884	3399	
-0.417456	0.686515	5221	
-0.415432	0.687066	5221	
-0.436278	0.679626	5876	
-0.475703	0.660930	5532	
-0.475676	0.660980	5532	
-0.521740	0.633500	2310	
-0.547741	0.617579	2826	
-0.413272	0.688173	7995	
-0.227851	0.742957	3171	
-0.287953	0.729597	4450	
-0.324799	0.719665	5830	
0.044453	0.730385	10903	
0.215796	0.649480	4994	
0.284962	0.578504	4821	
0.263442	0.506085	2670	
0.156145	0.474754	3987	
0.074618	0.460947	4819	
0.057255	0.425238	5701	
0.061515	0.369125	5554	
0.057610	0.352214	9270	
0.092042	0.250399	8114	
0.110088	0.175963	886	
0.104992	0.184186	7322	
0.399870	0.098213	8956	
0.529328	0.076368	3456	
-0.014307	0.827829	4683	
0.716485	0.319444	3858	
0.658626	0.568401	5288	
0.580323	0.317496	8694	
0.890725	0.233561	2939	
0.688528	0.312306	8085	
-0.049143	0.922121	6594	
0.742718	0.129884	1521	
0.372866	0.584873	9778	
0.287209	0.300567	10079	
-0.036508	0.759230	2350	
0.298028	0.426644	8109	
0.832677	0.215062	10746	
0.229886	0.301732	6101	
0.739323	-0.278716	8832	
-0.627913	0.714815	10713	
0.372543	0.843515	2126	
0.745714	-0.143400	2504	
0.109597	-0.103904	4792	
0.681449	-0.325181	9946	
0.595867	0.601803	10976	
0.806389	-0.261909	8445	
-0.465244	0.682855	6873	
0.282949	0.894344	5409	
0.735499	0.600169	697	
0.488489	-0.324917	8091	
0.061045	-0.274679	3897	
0.163500	0.014048	5173	
0.167454	0.025686	5769	
0.177579	-0.003794	4853	
0.170343	0.025701	5769	
0.165778	0.024795	5769	
0.119753	-0.077044	5072	
0.107536	-0.326893	5470	
0.115531	-0.324185	5470	
0.787489	-0.354077	10276	
0.338960	0.868254	8523	
-0.131482	0.928354	676	
0.218642	0.417486	5977	
0.364962	0.616542	10211	
0.432520	-0.191600	3847	
0.577937	0.743708	1764	
0.167622	0.008099	5811	
0.494206	-0.322224	8091	
-0.443987	0.831791	535	
0.887623	0.352134	2389	
-0.188860	0.792190	5032	
0.085261	0.888981	9630	
0.197885	0.904572	2758	
0.580385	0.493472	5808	
0.769502	0.283011	8278	
0.548334	0.327748	8713	
0.546693	0.554623	5732	
0.472082	-0.167005	7313	
0.844723	-0.028855	7652	
0.241298	0.830067	5034	
0.585815	0.347780	7246	
0.067313	0.821710	4825	
0.540264	0.296834	6451	
0.042313	0.793762	1927	
0.484373	0.100619	6917	
0.150521	0.106142	2303	
0.114448	0.153856	8839	
0.081463	0.270739	4462	
0.080367	0.293465	6794	
0.057318	0.376728	2810	
0.064393	0.431710	6816	
0.107407	0.467889	4437	
0.184252	0.487246	3229	
0.170484	0.679017	1489	
0.064369	0.724397	8565	
-0.286160	0.731253	4450	
-0.350999	0.712929	6651	
-0.308547	0.725849	6446	
-0.304930	0.726729	6446	
-0.487743	0.652129	5532	
-0.473232	0.662198	6546	
-0.508333	0.642539	2976	
-0.540130	0.624927	2826	
-0.538109	0.626403	2826	
-0.573395	0.602206	8532	
-0.601732	0.582846	4211	
-0.473856	0.659212	6546	
-0.393787	0.695956	7995	
-0.382771	0.700720	7870	
-0.414705	0.687642	5221	
-0.145504	0.750477	1676	
0.028725	0.734821	10903	
0.179776	0.673618	4965	
0.291685	0.541579	7628	
0.208207	0.486544	4797	
0.106127	0.471469	2833	
0.073608	0.437878	8032	
0.061248	0.395356	1950	
0.052499	0.388733	2814	
0.079745	0.295534	6794	
0.097658	0.216072	5240	
0.087270	0.244134	8658	
0.346778	0.090602	6416	
0.474647	0.087106	4664	
0.475476	0.606107	10543	
0.534980	0.323899	7620	
-0.141527	0.865252	6819	
0.266565	0.709299	4957	
0.536333	-0.244465	1972	
0.722445	-0.147124	10125	
0.517182	0.761890	1066	
0.816071	-0.152738	8933	
0.242813	-0.321610	6852	
0.312753	0.311828	10532	
-0.273647	0.753224	3315	
0.324645	0.420736	6955	
0.852678	-0.113534	9902	
0.255431	0.329678	8264	
0.760808	-0.228647	2587	
-0.571914	0.754264	10495	
0.372557	0.841208	2126	
0.645279	0.412907	8441	
0.073126	-0.181447	10461	
0.597806	-0.317610	7721	
0.185811	-0.091083	1250	
0.306632	-0.240453	527	
-0.573055	0.625923	8532	
0.277715	0.894006	5902	
0.719412	0.615011	809	
0.551208	-0.323260	8775	
0.094096	-0.304111	3553	
0.109369	-0.104031	4792	
0.113558	-0.090289	3448	
0.137313	-0.043478	5450	
0.115874	-0.086779	3860	
0.107894	-0.101665	3448	
0.063845	-0.170851	8533	
0.146340	-0.338172	7948	
0.203317	-0.345588	4707	
0.815135	-0.327835	7208	
0.372922	0.845635	2126	
-0.109082	0.928374	2292	
0.262628	0.432713	8450	
0.027735	0.770525	1977	
0.441467	-0.286793	2532	
0.603373	0.722301	1060	
0.115770	-0.099446	3448	
0.629356	-0.321992	5998	
-0.408599	0.846368	1733	
0.904408	0.301973	7908	
-0.367670	0.771689	1555	
-0.507486	0.694727	6366	
0.176841	0.905351	10998	
0.656232	-0.204976	3026	
0.625723	0.412649	6840	
0.904370	0.274764	8009	
0.521186	0.207885	2786	
0.770571	0.174140	9340	
0.001864	0.837833	5384	
-0.449273	0.758676	5573	
0.190626	0.756560	1379	
0.510929	0.552923	4828	
0.455277	0.500691	1289	
0.321813	0.714117	10203	
0.427480	0.106455	2685	
0.122271	0.138310	8276	
0.104451	0.184178	7322	
0.068827	0.311769	8242	
0.064451	0.346705	9270	
0.057326	0.403886	2814	
0.079063	0.448822	8032	
0.135174	0.476323	3192	
0.242103	0.496598	3840	
0.004955	0.738951	3054	
-0.135982	0.750703	5392	
-0.489113	0.650155	5532	
-0.439907	0.677792	5876	
-0.369706	0.707679	7870	
-0.380233	0.703389	7870	
-0.545221	0.619146	2826	
-0.547988	0.620278	2826	
-0.600827	0.586234	4211	
-0.590601	0.593958	3283	
-0.599557	0.587391	4211	
-0.622172	0.567680	1547	
-0.641928	0.550980	7875	
-0.535497	0.624662	2826	
-0.464111	0.664668	6301	
-0.461455	0.666271	6301	
-0.484197	0.654303	5532	
-0.290753	0.730019	4450	
-0.108163	0.751171	6615	
-0.011989	0.741770	3300	
0.268332	0.603738	2069	
0.253923	0.498783	2670	
0.132267	0.475728	1574	
0.090996	0.451556	4819	
0.067770	0.415459	5701	
0.050413	0.406272	4765	
0.065794	0.342462	1254	
0.084391	0.258930	4830	
0.082264	0.268171	4462	
0.253500	0.116533	6227	
0.419732	0.092504	2369	
0.730803	0.033961	903	
0.472822	0.498877	1367	
0.699977	-0.116861	2713	
0.561913	0.198481	3357	
0.817504	0.371734	8168	
0.769992	0.046740	1695	
0.564915	0.728748	4805	
0.556979	0.349193	9398	
0.899184	0.296165	8569	
0.343781	0.313984	3085	
-0.443917	0.703177	6694	
0.371831	0.448348	5431	
0.828684	0.292280	9718	
0.278712	0.347673	485	
0.826722	-0.177115	9425	
-0.530100	0.779627	585	
0.361205	0.844429	2210	
0.937884	0.014308	1804	
0.070699	-0.228429	5441	
0.683556	-0.317858	10261	
0.141016	-0.098896	3434	
0.773179	0.246250	10304	
-0.652442	0.571623	10017	
0.275840	0.892042	5902	
0.701006	0.632659	1957	
0.667264	-0.320350	9549	
0.135226	-0.321079	5488	
0.072483	-0.182922	10461	
0.065946	-0.176928	10461	
0.075274	-0.156205	9439	
0.064960	-0.176195	10461	
0.066547	-0.181863	10461	
0.061139	-0.221769	4585	
0.206041	-0.341957	4505	
0.267966	-0.339818	9559	
0.862517	-0.268290	10644	
0.385344	0.836247	2126	
-0.082112	0.928642	2292	
0.307247	0.447965	6182	
0.212704	0.855495	7731	
0.206526	0.316445	4381	
0.537896	0.766774	9968	
0.080086	-0.176162	9589	
0.684376	-0.318808	10261	
-0.320281	0.879527	6582	
0.838371	0.442229	2423	
-0.147956	0.881488	6672	
0.481389	-0.217608	630	
0.205282	0.897847	2758	
0.484382	0.508855	1367	
0.713990	-0.151648	10314	
0.795964	0.482193	1475	
0.462804	0.264455	4744	
0.574070	-0.127299	10645	
0.756685	0.181385	4109	
0.545506	0.514932	2501	
0.552071	0.248391	712	
0.692548	-0.126705	6519	
0.031895	0.786029	1927	
0.638768	0.062634	5000	
0.354717	0.082798	5768	
0.112993	0.171521	886	
0.092596	0.228605	8662	
0.062220	0.342980	8068	
0.041397	0.418339	5673	
0.064969	0.419688	5701	
0.103673	0.458188	4437	
0.187981	0.486132	3229	
0.283664	0.517863	4952	
-0.189122	0.746540	3399	
-0.307906	0.724960	6446	
-0.534178	0.624938	2826	
-0.517903	0.636401	2976	
-0.472804	0.662687	6546	
-0.490036	0.653644	5532	
-0.597432	0.585867	4211	
-0.603260	0.584559	4211	
-0.614323	0.575244	1547	
-0.641415	0.556140	7875	
-0.646551	0.552534	7875	
-0.667794	0.531657	3710	
-0.691387	0.510092	5085	
-0.583023	0.595378	3283	
-0.503760	0.645583	2976	
-0.522265	0.633327	2310	
-0.540540	0.621448	2826	
-0.393780	0.697629	8919	
-0.291539	0.730137	4450	
