time = 7.8,Re = 90
0.107032,0.88685,252
0.071496,0.894903,253
0.035487,0.900734,254
-0.001421,0.905657,255
-0.058534,0.908724,256
-0.088556,0.908515,257
-0.118583,0.908252,258
-0.148859,0.905623,259
-0.178864,0.903157,260
-0.211204,0.898725,261
-0.243104,0.894176,262
-0.275249,0.887404,263
-0.307188,0.880594,264
-0.337355,0.872465,265
-0.367144,0.864482,266
-0.415207,0.84845,267
-0.465189,0.829333,268
-0.507662,0.809488,269
-0.559366,0.782263,270
-0.590446,0.762342,271
-0.62508,0.739591,272
-0.672005,0.70594,273
-0.698141,0.687933,274
-0.723898,0.67036,275
-0.758749,0.649847,276
