time = 0.001	Re = 1	rotation = 0
0.189063	0.797519	6072	
0.008931	-0.819534	4243	
0.619183	-0.235120	1212	
0.096563	0.969867	6546	
0.099959	-0.920699	608	
0.483706	-0.083482	453	
0.235263	-0.882259	6066	
0.123844	0.713510	6275	
0.399667	-0.237206	3936	
0.661607	0.250716	5688	
0.324083	-0.367560	4326	
0.281153	0.427854	2496	
0.561577	-0.200680	6408	
0.889287	0.364238	770	
0.355225	0.696680	6558	
0.770674	0.441055	3494	
0.633415	-0.385248	4998	
0.537279	-0.450850	4010	
0.008690	-0.950111	1361	
0.222658	-0.261021	1726	
0.055107	0.822394	1238	
0.332191	0.425854	2560	
0.426943	-0.396615	5592	
0.388320	-0.679213	4722	
0.350207	-0.808760	6002	
0.871103	0.335187	958	
0.192718	0.836184	6454	
0.579681	-0.088203	1657	
0.642352	-0.491950	3296	
0.551079	-0.736194	714	
0.097493	0.703707	5167	
0.395544	-0.533844	1818	
0.585432	0.493673	3274	
0.608989	0.158022	4267	
0.170100	0.372724	2724	
0.328379	0.605384	4230	
0.836364	-0.169440	6162	
0.415608	0.873234	1916	
0.425946	-0.812211	5684	
0.643678	-0.271075	3214	
0.667715	0.143687	1802	
0.404307	0.790690	5178	
0.065082	0.370955	3793	
0.231070	0.077737	2749	
0.773035	0.493169	940	
0.721430	-0.034217	6097	
0.194023	-0.588867	1478	
0.535468	-0.124371	1275	
0.078970	0.453756	5783	
0.247045	-0.926878	4442	
0.406922	0.755502	6716	
0.431994	-0.431828	6234	
0.007468	0.854805	5252	
0.693153	0.410295	5466	
0.596065	0.074471	741	
0.455579	0.200386	6772	
0.654082	-0.253920	2284	
0.668234	-0.086231	451	
0.085067	-0.533652	1074	
0.081372	-0.355965	642	
0.611327	-0.264748	1664	
0.726227	0.356119	4308	
0.144691	-0.663915	1838	
0.064435	-0.471334	5574	
0.348357	-0.823504	6002	
0.602229	0.428751	2010	
0.157222	-0.315725	1220	
0.727250	0.326636	1304	
0.854460	0.109207	5444	
0.025756	-0.885359	4358	
0.456688	0.649595	2362	
