time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
21.799,3.46942,0.502627,858,284,0.6281324016463
21.999,3.50125,0.493805,844,286,0.62687734762984
22.199,3.53308,0.48285,843,294,0.62554662415354
22.399,3.56491,0.461067,835,308,0.62411965791201
22.599,3.59675,0.434483,832,328,0.62248913133289
22.799,3.62858,0.418118,814,334,0.62060907001956
22.999,3.66041,0.408127,797,335,0.61858415931936
23.199,3.69224,0.406613,787,332,0.61647958772617
23.399,3.72407,0.382431,779,348,0.61438092184891
23.599,3.7559,0.361778,766,359,0.61206142263042
23.799,3.78773,0.363475,769,359,0.60955858840411
23.999,3.81956,0.353304,768,367,0.60709775252007
24.199,3.85139,0.33045,769,387,0.60455981499487
24.399,3.88322,0.321149,759,390,0.60181871684492
24.599,3.91506,0.314035,749,391,0.59901201967647
24.799,3.94689,0.32102,751,386,0.59616224947971
24.999,3.97872,0.342037,771,378,0.59341082698491
25.199,4.01055,0.35689,768,364,0.59089708871506
25.399,4.04238,0.356201,771,366,0.58855701782791
25.599,4.07421,0.360771,777,365,0.58623345764963
25.799,4.10604,0.377739,786,355,0.58397883307314
25.999,4.13787,0.402985,799,340,0.58191643474241
26.199,4.1697,0.41331,807,335,0.58012712039498
26.399,4.20153,0.413216,802,333,0.57845894919103
26.599,4.23337,0.43383,818,323,0.57680651969912
26.799,4.2652,0.465487,828,302,0.57537675450213
26.999,4.29703,0.4625,819,301,0.57427785695711
27.199,4.32886,0.475468,827,294,0.57316007838754
27.399,4.36069,0.48181,835,292,0.57218315760366
27.599,4.39252,0.472489,843,302,0.57127942602763
27.799,4.42435,0.469104,844,305,0.57029152176735
27.999,4.45618,0.480384,849,298,0.56927964654968
28.199,4.48801,0.479259,838,295,0.56839069008418
28.399,4.51985,0.47007,835,301,0.56749937318334
28.599,4.55168,0.465608,831,303,0.5665250794515
28.799,4.58351,0.456446,836,312,0.56551590865699
28.999,4.61534,0.443388,835,322,0.56442520957042
29.199,4.64717,0.430568,819,326,0.56321483747472
29.399,4.679,0.428821,818,327,0.56188836909997
29.599,4.71083,0.411765,804,335,0.56055769540897
29.799,4.74266,0.401396,803,343,0.55906976845488
29.999,4.77449,0.393673,793,345,0.55749303077033
30.199,4.80632,0.378472,794,358,0.55585483046263
30.399,4.83816,0.373578,785,358,0.554081002158
30.599,4.86999,0.36,782,368,0.55227597213642
30.799,4.90182,0.36497,791,368,0.55035321241506
30.999,4.93365,0.35924,787,371,0.54849938029091
31.199,4.96548,0.356522,780,370,0.546606786488
31.399,4.99731,0.35958,777,366,0.54470593862312
31.599,5.02914,0.374126,786,358,0.54285467923689
31.799,5.06097,0.386503,791,350,0.54116739244452
