time = 23.077	Re = 13	rotation = -16.4521
-0.201248	0.475565	3073	
0.569110	-0.390462	1333	
-0.108349	0.544432	505	
0.744864	0.576649	2459	
-0.956373	0.168452	3689	
0.333520	-0.272490	553	
0.921514	0.253771	5693	
-0.625683	-0.339108	6106	
0.669856	0.196968	3021	
-0.880911	0.183047	6163	
0.441231	0.136129	9116	
0.423480	-0.334972	5471	
-0.284757	0.829316	7271	
0.583336	0.079128	5743	
-0.414719	0.319925	3890	
-0.800565	0.344530	7866	
-0.254300	0.712686	496	
0.536115	0.020855	4931	
0.297828	0.466394	9010	
0.659500	0.373924	2298	
-0.681963	0.600207	4012	
0.915578	0.035518	8713	
0.220713	-0.157796	9061	
-0.658866	0.203292	7268	
0.341508	-0.745607	3834	
-0.339099	0.059921	4603	
-0.216649	0.013059	5396	
-0.577225	0.084693	1353	
-0.189185	-0.140899	9680	
0.288174	0.195767	356	
0.046320	0.647456	3381	
-0.158698	-0.663707	4038	
0.804029	-0.204686	8600	
0.128835	-0.287812	4041	
0.065389	0.843693	4867	
0.816924	0.062450	8248	
-0.834857	-0.406441	637	
-0.826078	0.537743	8321	
0.446083	-0.225979	6601	
-0.109463	0.002480	400	
-0.185019	0.821238	5136	
0.595924	-0.448364	9336	
-0.785888	0.485434	9317	
0.592288	0.064352	10239	
0.127585	0.618429	4730	
-0.238221	0.494474	2166	
0.256014	-0.271841	6437	
0.553079	0.800199	6910	
0.287522	-0.341284	1973	
0.425315	-0.003396	2037	
-0.781980	0.522776	659	
-0.738837	0.529656	6542	
-0.427794	0.757346	7703	
0.271897	0.530532	9879	
0.601879	0.011229	1895	
-0.664354	0.500508	5071	
0.177522	0.644988	2588	
0.555762	0.683342	6696	
-0.639907	0.744943	9081	
-0.240603	-0.812834	7787	
0.257112	0.362568	2983	
0.960016	0.258135	1762	
-0.068921	-0.205716	3724	
0.076100	-0.296971	4172	
0.566222	0.163638	9718	
-0.434962	0.737503	1439	
0.419181	-0.180922	5600	
0.412328	0.335307	2233	
-0.350109	0.921968	7398	
0.168957	0.870670	6432	
-0.171863	0.882571	7950	
0.711836	-0.191641	7181	
0.202687	0.848637	6245	
0.762658	0.072077	9321	
0.139844	0.351784	2820	
-0.334451	0.717702	3195	
0.392985	-0.313395	3349	
0.619009	0.420927	2596	
0.851598	0.375456	5570	
-0.079095	0.813683	7279	
-0.293918	0.913064	2110	
0.184230	0.383627	7543	
0.775307	0.443880	989	
0.620723	-0.308655	967	
0.650971	0.065020	1534	
0.707656	0.681438	4503	
-0.746312	0.084250	7801	
0.093841	0.592145	8907	
-0.273626	0.845871	8151	
0.322429	0.237243	1830	
-0.149855	0.744052	4141	
0.504835	0.713550	5090	
0.874288	0.324007	9341	
-0.166408	0.558548	8180	
0.118067	0.815934	4835	
0.574589	0.118019	7039	
0.452130	0.868061	8146	
0.339255	0.629149	7511	
0.659375	0.726671	3966	
0.038439	0.747743	920	
-0.224641	0.495381	3384	
-0.780551	0.467430	8368	
-0.648832	0.645907	8351	
-0.183610	0.705102	4186	
0.475863	0.635024	3998	
0.414809	0.313701	3457	
0.768889	-0.119626	8644	
-0.708248	0.032878	2519	
0.386317	-0.460370	1972	
-0.577292	-0.510791	8854	
0.264291	0.275019	7459	
0.667290	-0.150215	4268	
0.220329	0.747978	6227	
0.769388	0.127920	8399	
-0.160903	-0.546730	7538	
0.385121	0.831879	1063	
0.396761	-0.083160	7687	
0.151843	0.671930	4037	
-0.183249	0.806251	5136	
0.556868	0.608289	6916	
0.178812	0.654063	2814	
0.069358	0.540440	5759	
0.620205	0.708796	9016	
-0.211597	-0.247470	848	
-0.769217	-0.125702	444	
0.010643	-0.827640	6160	
-0.871575	-0.260605	8856	
0.885343	-0.408315	6088	
-0.084276	-0.723992	6985	
-0.091729	0.477324	5101	
-0.678716	0.638759	791	
-0.530159	0.373859	9961	
0.780891	-0.208527	8103	
-0.500211	0.670659	6288	
0.443708	0.851413	5096	
0.190487	-0.119932	3617	
-0.828186	-0.381447	9121	
-0.599396	0.496034	5241	
0.455099	0.401109	8741	
-0.118034	-0.219984	2475	
-0.911954	0.203279	10089	
0.810689	-0.288915	7112	
0.533993	-0.107571	5245	
0.119461	0.866125	7712	
0.752505	0.505488	7241	
-0.394809	-0.208145	8389	
0.174883	0.388690	7543	
0.300113	-0.262684	829	
0.315208	0.443952	7526	
0.196712	0.137452	5002	
-0.724578	0.579025	1632	
0.769228	0.127948	8399	
0.427658	0.478247	1634	
0.829929	-0.001502	1198	
0.150051	0.708205	6995	
-0.685821	0.483326	5158	
-0.788857	0.461529	8368	
-0.842631	0.430402	3673	
0.661496	0.523813	5277	
0.266605	-0.272845	7669	
-0.134450	0.561247	739	
0.945615	0.307866	7839	
0.155978	-0.335732	7893	
-0.061203	0.641422	4423	
0.243008	0.094707	5062	
0.857969	0.319448	9481	
0.942819	-0.045286	888	
-0.023538	-0.196927	800	
-0.216080	0.066819	1027	
0.351677	0.597193	9911	
0.362753	0.618263	3125	
-0.305276	0.685056	1131	
0.253979	0.905712	1395	
0.582415	0.291898	1513	
0.100221	0.749710	1089	
0.744829	-0.162491	7761	
0.380541	0.164325	4855	
-0.016002	0.593093	1433	
-0.333347	0.654394	9024	
0.836336	-0.009807	341	
0.104965	-0.006427	399	
0.460204	-0.291258	3491	
-0.662207	0.501651	5071	
-0.046858	0.757839	4802	
0.377026	-0.031444	2254	
0.964763	-0.047514	1839	
0.134171	-0.868885	6830	
0.258308	0.254666	6730	
0.529053	0.754806	6395	
0.448545	0.759202	8901	
0.785462	0.367429	7803	
-0.425536	0.549516	4562	
0.202288	0.410541	9267	
0.574266	0.139114	778	
0.849953	-0.207631	2906	
0.325964	-0.472229	4077	
0.729034	-0.286675	5457	
-0.522645	0.743929	8233	
0.559546	0.801542	6910	
0.568882	0.354982	2424	
-0.362833	0.535852	1646	
0.708341	0.157081	7245	
0.050253	0.844171	4867	
-0.334485	0.662527	8278	
-0.279616	0.531589	9561	
-0.214877	0.551720	7608	
0.293321	0.799415	6183	
-0.208805	-0.147088	5712	
0.555294	-0.427865	9612	
-0.483110	-0.163772	3062	
-0.275079	0.594519	2241	
0.489581	0.606551	1307	
0.278064	-0.307948	5610	
-0.873329	0.300299	7589	
0.267083	-0.743447	8605	
0.379659	0.558019	7392	
-0.130199	0.743759	4141	
-0.358878	0.714409	5493	
0.002683	0.438986	4952	
0.264180	-0.356992	9279	
0.085133	0.456183	6334	
0.136047	0.694636	5799	
0.208731	-0.300966	8406	
-0.164551	-0.340299	4324	
-0.181693	0.311472	7420	
0.496616	-0.572033	5456	
-0.141221	0.065183	2116	
0.398236	-0.623504	5466	
0.613266	-0.711621	7082	
-0.083405	0.489449	8933	
0.214517	0.264524	7812	
-0.584807	-0.563880	9965	
0.591521	-0.041758	3734	
0.249940	-0.174268	4227	
0.548243	0.116438	6039	
0.150021	-0.229001	6642	
-0.408657	-0.605736	9544	
-0.737529	0.396875	8463	
0.302295	0.345519	3494	
0.145884	-0.402359	5354	
-0.544375	0.512697	5050	
0.870744	-0.204365	7178	
0.647278	0.519020	9616	
0.474137	0.558167	6037	
0.455073	0.561010	6019	
0.102588	0.085749	8740	
0.202545	0.634708	2962	
-0.080014	0.875875	4790	
0.132483	0.667807	4678	
0.174605	0.304724	3950	
0.567436	-0.108118	9990	
0.769235	0.127581	8399	
0.460617	0.398892	8741	
0.478609	0.265696	4159	
0.358503	-0.156682	6566	
0.610683	-0.162651	7470	
0.154366	0.603381	2998	
0.240852	0.422857	3323	
0.396870	0.511222	2437	
0.449606	-0.130929	5047	
0.767673	0.137654	8113	
0.915099	0.385357	2118	
0.299656	-0.371802	4785	
0.191170	0.098068	936	
0.105840	0.018142	3500	
0.503306	0.354339	1866	
0.382454	0.834865	1063	
-0.547494	0.649760	3742	
-0.122003	0.846381	6194	
0.438832	0.605039	466	
0.318989	0.664446	7294	
0.049911	0.491958	8380	
0.635806	0.585077	1049	
0.208617	-0.030717	8936	
-0.547141	0.540036	7992	
0.541647	-0.019046	3346	
0.035275	0.618470	5013	
0.401059	0.219407	7612	
0.689902	0.419914	2633	
0.387613	0.190351	5761	
-0.019106	-0.325630	9736	
-0.269533	0.665713	6075	
0.037188	-0.194254	542	
0.391463	0.306309	5344	
0.788981	0.279433	10113	
-0.601993	0.762995	4087	
-0.324210	0.023516	3516	
0.223679	0.197681	5506	
0.043705	0.736062	920	
0.385858	0.421825	6344	
0.591164	-0.222875	6337	
0.536544	0.171013	4328	
-0.117395	0.857373	6194	
0.169314	0.696622	6705	
0.729323	0.146770	3448	
0.385914	0.888877	9779	
0.486598	0.041989	9441	
0.584061	0.225947	2603	
-0.117104	0.964259	5858	
0.640925	0.412672	2501	
-0.301945	0.531357	5896	
0.515984	0.719493	5803	
-0.258446	0.723660	4356	
0.574809	0.423454	6935	
-0.420708	0.559076	4562	
-0.701072	0.453725	9810	
-0.613468	0.585493	4064	
-0.279391	0.017407	9563	
0.703900	-0.357838	7667	
-0.204828	-0.297234	4201	
0.740731	0.329081	4224	
0.219674	0.012365	5012	
0.626695	-0.275199	5613	
0.787211	0.528639	951	
-0.218192	0.656009	5239	
0.894890	0.142176	9710	
0.361130	0.425492	5941	
0.851687	0.181351	2000	
-0.721270	0.624135	2385	
0.758076	-0.213032	7507	
-0.140982	0.706378	7088	
0.241078	0.379638	1995	
-0.719949	0.516233	6488	
0.100808	-0.527759	8093	
-0.573529	0.018359	4988	
-0.922060	0.093209	9972	
0.014772	-0.598687	1434	
0.238642	-0.649878	4627	
