time = 0.187	Re = 13	rotation = -0.268138
-0.788186	0.452621	8173	
-0.787587	0.453624	8173	
-0.785981	0.456313	6014	
-0.783299	0.460892	6014	
-0.779722	0.467049	6014	
-0.775101	0.474687	6014	
-0.769625	0.483509	6014	
-0.763177	0.493255	8127	
-0.755781	0.504276	8185	
-0.747463	0.516588	9784	
-0.738260	0.529818	9784	
-0.728202	0.543398	9784	
-0.717486	0.557394	5619	
-0.705852	0.571931	5619	
-0.693355	0.586771	5911	
-0.679925	0.602005	8311	
-0.665442	0.617724	1242	
-0.650359	0.633351	960	
-0.634583	0.649229	6818	
