time = 7.437	Re = 13	rotation = -4.63928
-0.625259	0.310088	1318	
0.305031	0.661450	6985	
-0.098972	0.935802	881	
0.055119	0.715448	7087	
-0.290796	0.247184	6566	
-0.556715	-0.042418	2332	
-0.252292	-0.246459	3950	
-0.004509	0.852430	6827	
0.125679	0.774222	5700	
-0.312270	0.782795	3741	
-0.796344	0.346931	1230	
-0.468498	0.701942	6271	
-0.636739	0.182979	2745	
-0.475974	0.010807	8756	
-0.471659	0.010072	8756	
-0.683341	0.513624	9380	
-0.368623	0.752370	6748	
-0.566600	0.465885	6888	
-0.360387	0.655434	5553	
-0.539347	0.657172	9809	
-0.529183	0.237929	6898	
0.026142	-0.212792	1892	
-0.068632	-0.271618	9859	
-0.030192	-0.248213	7633	
0.003239	-0.218755	3113	
-0.162123	-0.302856	4764	
-0.303928	-0.374033	3809	
-0.370546	-0.412672	7017	
-0.403948	-0.425728	7361	
-0.408120	-0.421538	6397	
-0.439662	-0.441955	7210	
-0.484424	-0.479600	5980	
-0.491392	-0.473670	5984	
-0.482933	-0.468212	5297	
-0.476218	-0.461465	5297	
-0.475558	-0.461504	5297	
-0.476601	-0.462090	5297	
-0.476820	-0.461380	5297	
-0.479003	-0.461890	5297	
-0.477812	-0.461810	5297	
-0.478905	-0.461965	5297	
-0.475953	-0.458277	5297	
-0.477184	-0.461386	5297	
-0.473185	-0.458750	5297	
-0.472868	-0.460709	5297	
-0.469048	-0.460757	5297	
-0.464072	-0.455681	4112	
-0.445531	-0.441410	7210	
-0.416088	-0.422451	9879	
-0.355155	-0.379453	3336	
-0.335627	-0.370078	3041	
-0.349467	-0.382731	3336	
-0.363396	-0.400265	4183	
-0.305718	-0.369876	3000	
-0.181027	-0.307988	1845	
0.014053	-0.187741	1127	
-0.308231	0.190966	4080	
-0.360965	0.201594	7687	
-0.482767	0.218977	2796	
-0.387240	0.206756	4781	
0.002926	-0.149838	4582	
-0.015512	-0.134480	9425	
-0.483566	0.243171	5245	
-0.749546	-0.018061	5394	
-0.604358	0.575089	9196	
-0.121668	-0.176504	3723	
-0.121764	-0.170546	3723	
-0.608044	0.699492	9318	
-0.099511	0.442745	5514	
-0.788492	0.172327	9394	
-0.091451	0.704494	5338	
-0.180325	-0.205409	4919	
-0.336963	-0.055045	4106	
-0.191048	-0.213047	8183	
-0.642971	-0.308969	8357	
-0.495414	-0.106976	1110	
0.205486	0.453699	8379	
0.075017	0.947469	9632	
-0.953809	0.011033	1582	
-0.919607	-0.181843	2629	
-0.732138	0.614425	8844	
-0.219975	-0.268120	10074	
-0.551381	-0.173961	9282	
-0.321200	0.574752	1616	
0.297910	0.814196	5478	
-0.554923	0.312486	3051	
-0.627885	-0.033083	3220	
-0.293178	-0.220472	5409	
-0.212651	-0.073091	9376	
0.198510	0.577226	3702	
-0.027490	0.414708	3294	
-0.216431	0.279741	6365	
-0.266352	0.249677	7850	
-0.392890	0.281843	8833	
-0.409804	0.295579	7759	
-0.264254	0.249434	7850	
-0.216731	0.279791	6365	
-0.151150	0.058550	3644	
0.128554	0.513474	3198	
-0.191147	-0.072141	9546	
-0.334088	-0.237921	5433	
-0.528188	-0.136161	4359	
-0.709622	0.168695	4543	
-0.721649	0.176928	6096	
-0.533085	-0.152941	8946	
-0.042801	0.591085	7607	
-0.215716	0.708137	5482	
-0.407871	-0.246129	5672	
-0.696893	0.509878	3850	
-0.720442	0.414561	4476	
-0.601424	-0.132898	4828	
-0.760330	-0.111509	5864	
-0.402902	0.779790	5107	
-0.511965	0.516716	4020	
-0.416257	0.218192	3407	
-0.116748	0.026674	6917	
-0.088024	-0.074665	530	
-0.278634	0.184587	725	
-0.493593	0.223490	3560	
-0.426398	0.181536	9581	
-0.454439	0.212617	3148	
0.004450	-0.159708	4582	
-0.297596	-0.365197	473	
-0.356544	-0.390490	4183	
-0.296451	-0.347663	439	
-0.406492	-0.413651	6397	
-0.465382	-0.452486	4112	
-0.494376	-0.467242	9911	
-0.518926	-0.460642	9012	
-0.543290	-0.481497	7567	
-0.586685	-0.495957	3665	
-0.603673	-0.500152	2500	
-0.621068	-0.505511	2500	
-0.614302	-0.500377	2500	
-0.607928	-0.485154	2326	
-0.602404	-0.484714	2326	
-0.601875	-0.480932	2326	
-0.604712	-0.484660	2326	
-0.603891	-0.484568	2326	
-0.603133	-0.483373	2326	
-0.601194	-0.478321	2478	
-0.598989	-0.478268	2478	
-0.592707	-0.478318	2478	
-0.584587	-0.484727	2478	
-0.577584	-0.478504	3665	
-0.570556	-0.482671	3665	
-0.563813	-0.479526	3507	
-0.559772	-0.483427	3507	
-0.548687	-0.477844	3507	
-0.526661	-0.453739	8211	
-0.491657	-0.419142	5370	
-0.486123	-0.423276	5320	
-0.487992	-0.439265	5320	
-0.473054	-0.436704	4118	
-0.416330	-0.411802	9879	
-0.302255	-0.344469	439	
-0.143575	-0.270252	6347	
-0.118305	-0.259822	6328	
-0.042930	-0.221380	5271	
-0.092489	-0.252435	9295	
-0.209857	-0.308329	3259	
-0.183297	-0.302366	1496	
0.009723	-0.176089	6929	
-0.539665	0.610407	9094	
-0.680550	0.241689	4586	
