time = 4	Re = 0.1
0.196153	0.041480	0
0.236638	0.003139	1
0.272733	0.026260	2
0.286076	0.056217	3
0.298029	0.087755	4
0.302118	0.130855	5
0.301581	0.175644	6
0.292498	0.226406	7
0.278422	0.278439	8
0.257244	0.334325	9
0.244547	0.363714	10
0.231647	0.393378	11
0.215651	0.425897	12
0.199562	0.459524	13
0.180836	0.497564	14
0.160717	0.539242	15
0.135535	0.588567	16
0.120125	0.618558	17
0.103602	0.650077	18
0.074341	0.695887	19
0.031439	0.712036	20
-0.001369	0.717104	21
-0.036838	0.713860	22
-0.076164	0.706334	23
-0.096478	0.691587	24
-0.117035	0.679507	25
-0.129104	0.667258	26
-0.153653	0.656717	27
-0.187513	0.638455	28
-0.217440	0.621279	29
-0.255467	0.604119	30
-0.283125	0.588622	31
-0.321710	0.571346	32
-0.340626	0.558412	33
-0.380521	0.539124	34
-0.402235	0.524666	35
-0.433051	0.506343	36
-0.460000	0.488566	37
-0.486890	0.470324	38
-0.530931	0.435058	39
-0.553910	0.414931	40
-0.576904	0.394714	41
-0.612465	0.357656	42
-0.650868	0.314379	43
-0.679656	0.275682	44
-0.712816	0.227835	45
-0.737372	0.185430	46
-0.759526	0.141169	47
-0.779143	0.096115	48
-0.796622	0.049451	49
-0.810013	0.005909	50
-0.821779	-0.039009	51
-0.830767	-0.083417	52
-0.838205	-0.129405	53
-0.842649	-0.172850	54
-0.845699	-0.217307	55
-0.846377	-0.261311	56
-0.845657	-0.306477	57
-0.842295	-0.347673	58
-0.837950	-0.389787	59
-0.830931	-0.432183	60
-0.822142	-0.476838	61
-0.816787	-0.532938	62
-0.822538	-0.570280	63
