time = 2	Re = 0.1
0.174494	0.098202	0
0.217896	0.099897	1
0.249680	0.128754	2
0.272641	0.175588	3
0.279580	0.206198	4
0.286098	0.236927	5
0.288004	0.273237	6
0.288745	0.310378	7
0.284838	0.352352	8
0.278937	0.395723	9
0.267879	0.443054	10
0.253329	0.493316	11
0.232324	0.547600	12
0.218464	0.576895	13
0.204306	0.606506	14
0.184836	0.638167	15
0.163087	0.670926	16
0.133790	0.705477	17
0.094193	0.738472	18
0.042811	0.759964	19
-0.008338	0.770411	20
-0.058123	0.772410	21
-0.103036	0.769642	22
-0.141241	0.762441	23
-0.177029	0.757144	24
-0.208153	0.751098	25
-0.240922	0.747710	26
-0.298278	0.740255	27
-0.353409	0.735083	28
-0.403889	0.730364	29
-0.453166	0.726523	30
-0.499286	0.722770	31
-0.545083	0.719421	32
-0.586808	0.716243	33
-0.629635	0.712385	34
-0.686799	0.727358	35
