time = 3	Re = 0.1
0.188477	0.068566	0
0.231452	0.053164	1
0.264616	0.079414	2
0.286433	0.133685	3
0.290719	0.170539	4
0.292759	0.208155	5
0.288455	0.251862	6
0.281229	0.297065	7
0.268215	0.347000	8
0.251703	0.399484	9
0.240204	0.428503	10
0.228672	0.457685	11
0.214686	0.489725	12
0.200150	0.522648	13
0.181470	0.559491	14
0.160804	0.599201	15
0.132970	0.645388	16
0.113410	0.673057	17
0.091139	0.701516	18
0.044847	0.726828	19
-0.002017	0.733318	20
-0.050215	0.732794	21
-0.092044	0.722363	22
-0.122629	0.706060	23
-0.153042	0.694117	24
-0.173484	0.681261	25
-0.203819	0.671603	26
-0.224372	0.661092	27
-0.250313	0.651696	28
-0.297857	0.634036	29
-0.339908	0.616561	30
-0.384581	0.599125	31
-0.422246	0.581944	32
-0.463634	0.563763	33
-0.497805	0.545850	34
-0.537981	0.525585	35
-0.571128	0.506248	36
-0.603813	0.485467	37
-0.635414	0.464201	38
-0.666526	0.441824	39
-0.694087	0.419895	40
-0.721483	0.397229	41
-0.747438	0.373962	42
-0.773397	0.350070	43
-0.796745	0.326403	44
-0.819957	0.302387	45
-0.842041	0.277453	46
-0.863840	0.252114	47
-0.882697	0.227680	48
-0.901563	0.203186	49
-0.919820	0.176385	50
-0.938071	0.149249	51
-0.967602	0.118429	52
-0.994788	0.098739	53
