time = 1.5	Re = 0.1
0.166755	0.110943	0
0.208653	0.121411	1
0.240538	0.151443	2
0.265625	0.195009	3
0.283855	0.250034	4
0.289289	0.282279	5
0.294280	0.314892	6
0.295348	0.351885	7
0.295346	0.389639	8
0.291005	0.430671	9
0.284561	0.473284	10
0.273285	0.518464	11
0.258442	0.565573	12
0.237163	0.614663	13
0.209199	0.665489	14
0.190342	0.690786	15
0.170920	0.716076	16
0.146032	0.740132	17
0.119539	0.762975	18
0.088406	0.780626	19
0.057218	0.796008	20
0.025806	0.806326	21
-0.005012	0.816536	22
-0.062494	0.828048	23
-0.114186	0.836377	24
-0.159549	0.842952	25
-0.201465	0.850587	26
-0.239154	0.859018	27
-0.275524	0.869097	28
-0.307419	0.879888	29
-0.338426	0.892069	30
-0.383013	0.924623	31
