time = 6.5	Re = 0.1
0.194446	-0.046849	0
0.201410	-0.084221	1
0.210215	-0.116929	2
0.256209	-0.107184	3
0.281909	-0.076352	4
0.304859	-0.037586	5
0.319399	0.017811	6
0.321491	0.048158	7
0.323421	0.078722	8
0.318721	0.112362	9
0.312424	0.146731	10
0.301527	0.180069	11
0.288819	0.213406	12
0.271297	0.246751	13
0.252454	0.279107	14
0.231221	0.311755	15
0.209832	0.344520	16
0.185665	0.380540	17
0.162289	0.420083	18
0.136539	0.470018	19
0.123170	0.501316	20
0.109625	0.534482	21
0.092726	0.580657	22
0.073744	0.637232	23
0.064740	0.666508	24
0.053697	0.697340	25
0.003708	0.695561	26
-0.028634	0.698663	27
-0.062885	0.694473	28
-0.042794	0.691483	29
-0.068155	0.675340	30
-0.093516	0.659196	31
-0.107048	0.647435	32
-0.117066	0.637766	33
-0.139391	0.625119	34
-0.091670	0.647149	35
-0.066635	0.666523	36
-0.043000	0.691597	37
-0.065834	0.664425	38
-0.089364	0.643842	39
-0.135689	0.620041	40
-0.170325	0.602327	41
-0.199997	0.584317	42
-0.210717	0.574260	43
-0.237769	0.560122	44
-0.264729	0.545972	45
-0.258567	0.544491	46
-0.295324	0.524311	47
-0.330213	0.503941	48
-0.357004	0.484895	49
-0.394286	0.457931	50
-0.401107	0.449348	51
-0.446440	0.412551	52
-0.468433	0.390083	53
-0.490437	0.367174	54
-0.521518	0.327900	55
-0.541482	0.300497	56
-0.561427	0.272011	57
-0.582549	0.233372	58
-0.597882	0.203405	59
-0.612924	0.172378	60
-0.621075	0.146381	61
-0.632351	0.113602	62
-0.643209	0.079604	63
-0.649749	0.045732	64
-0.658542	-0.007013	65
-0.662726	-0.053992	66
-0.664022	-0.102427	67
-0.661772	-0.141857	68
-0.657868	-0.183351	69
-0.650819	-0.227166	70
-0.641249	-0.272794	71
-0.630743	-0.307773	72
-0.618872	-0.344052	73
-0.603022	-0.383950	74
-0.584632	-0.425303	75
-0.567601	-0.456306	76
-0.549376	-0.488265	77
-0.524862	-0.526032	78
-0.497329	-0.565086	79
-0.472984	-0.594642	80
-0.446681	-0.625340	81
-0.418621	-0.653990	82
-0.388143	-0.683520	83
-0.356220	-0.710808	84
-0.321223	-0.739047	85
-0.283855	-0.765200	86
-0.242102	-0.791668	87
-0.201813	-0.812939	88
-0.157257	-0.833281	89
-0.108933	-0.849771	90
-0.057012	-0.862666	91
-0.006188	-0.869410	92
0.045384	-0.872307	93
0.096379	-0.870493	94
0.145978	-0.865785	95
0.189085	-0.858550	96
0.230852	-0.850552	97
0.271040	-0.840863	98
0.310193	-0.830812	99
0.346344	-0.819800	100
0.382372	-0.808741	101
0.418027	-0.796028	102
0.453806	-0.783291	103
0.483886	-0.769867	104
0.514457	-0.756325	105
0.544149	-0.741527	106
0.574335	-0.726618	107
0.601820	-0.710591	108
0.630384	-0.694348	109
0.659380	-0.675358	110
0.689374	-0.654914	111
0.725027	-0.632892	112
0.758120	-0.613215	113
0.799340	-0.600521	114
