time = 1.15	Re = 0.1
0.161435	0.118495	0
0.201523	0.135555	1
0.233861	0.166564	2
0.260914	0.208003	3
0.282826	0.258554	4
0.290860	0.287841	5
0.298836	0.317180	6
0.303564	0.350235	7
0.307825	0.383638	8
0.308470	0.419862	9
0.307910	0.456960	10
0.303522	0.496049	11
0.297275	0.536100	12
0.286666	0.577303	13
0.273168	0.619201	14
0.254742	0.661030	15
0.232303	0.702595	16
0.204541	0.742124	17
0.172854	0.779095	18
0.137144	0.810971	19
0.100579	0.838850	20
0.064794	0.861836	21
0.030410	0.882822	22
-0.000829	0.901322	23
-0.030359	0.919791	24
-0.056373	0.937209	25
-0.081392	0.955256	26
-0.113055	0.995021	27
