time = 1.6	Re = 0.1
0.168228	0.108689	0
0.210593	0.117242	1
0.242417	0.147028	2
0.267003	0.191226	3
0.284237	0.247501	4
0.288941	0.280574	5
0.293080	0.314106	6
0.293129	0.352156	7
0.291922	0.391095	8
0.286189	0.433433	9
0.278126	0.477586	10
0.264844	0.524545	11
0.247483	0.573807	12
0.222803	0.625452	13
0.206587	0.652319	14
0.189644	0.679333	15
0.167243	0.706051	16
0.142837	0.732510	17
0.111572	0.756220	18
0.078003	0.776416	19
0.041787	0.789565	20
0.006875	0.800331	21
-0.026735	0.806387	22
-0.059681	0.812461	23
-0.118239	0.816934	24
-0.170119	0.820611	25
-0.215829	0.824360	26
-0.258809	0.829901	27
-0.297984	0.836500	28
-0.336161	0.844594	29
-0.370087	0.853486	30
-0.403695	0.863373	31
-0.452056	0.892532	32
