time = 1.3	Re = 0.1
0.163744	0.115326	0
0.204633	0.129594	1
0.236743	0.160146	2
0.262911	0.202482	3
0.283209	0.254969	4
0.290119	0.285535	5
0.296816	0.316288	6
0.299957	0.351076	7
0.302398	0.386374	8
0.300879	0.424707	9
0.297766	0.464199	10
0.290414	0.505889	11
0.280563	0.548903	12
0.265567	0.593313	13
0.246361	0.638768	14
0.220674	0.684131	15
0.188468	0.728778	16
0.148217	0.769317	17
0.102451	0.803531	18
0.054521	0.828814	19
0.008480	0.848995	20
-0.033907	0.864735	21
-0.073409	0.879376	22
-0.108336	0.892816	23
-0.141274	0.906991	24
-0.169871	0.921023	25
-0.196862	0.936390	26
-0.234482	0.973276	27
