time = 5	Re = 0.1
0.199817	0.006587	0
0.216199	-0.021052	1
0.232440	-0.047304	2
0.272385	-0.028362	3
0.290083	0.003130	4
0.305197	0.038633	5
0.311765	0.087658	6
0.311101	0.139379	7
0.299364	0.197305	8
0.289725	0.226260	9
0.279950	0.255251	10
0.266027	0.285537	11
0.251652	0.315684	12
0.235225	0.346873	13
0.218469	0.378697	14
0.198972	0.413336	15
0.179322	0.450375	16
0.157318	0.493703	17
0.133942	0.544192	18
0.118766	0.576618	19
0.103472	0.610652	20
0.082501	0.658011	21
0.062051	0.697363	22
0.006151	0.710960	23
-0.001844	0.693615	24
-0.034105	0.701685	25
-0.065705	0.701555	26
-0.090078	0.678740	27
-0.103390	0.661338	28
-0.131600	0.646734	29
-0.134716	0.636752	30
-0.177580	0.618448	31
-0.198186	0.606446	32
-0.226451	0.592507	33
-0.235403	0.583977	34
-0.271845	0.567248	35
-0.314513	0.543224	36
-0.349176	0.520698	37
-0.394968	0.492003	38
-0.424421	0.469175	39
-0.467611	0.436860	40
-0.484693	0.418918	41
-0.526189	0.381496	42
-0.545441	0.358792	43
-0.573811	0.325879	44
-0.597147	0.295094	45
-0.619598	0.262856	46
-0.636158	0.234246	47
-0.652609	0.204790	48
-0.668351	0.172124	49
-0.683614	0.138200	50
-0.693458	0.109435	51
-0.703360	0.080559	52
-0.712698	0.047183	53
-0.721571	0.012927	54
-0.731035	-0.043909	55
-0.735049	-0.078907	56
-0.738485	-0.114790	57
-0.739211	-0.174396	58
-0.737397	-0.204549	59
-0.735570	-0.234726	60
-0.731640	-0.264597	61
-0.727711	-0.294491	62
-0.721632	-0.324504	63
-0.715433	-0.354617	64
-0.700158	-0.408673	65
-0.681026	-0.463264	66
-0.658598	-0.515189	67
-0.632126	-0.567804	68
-0.603892	-0.615590	69
-0.572022	-0.663273	70
-0.537317	-0.708301	71
-0.498283	-0.753455	72
-0.459458	-0.791919	73
-0.416787	-0.830043	74
-0.371753	-0.865265	75
-0.345469	-0.882927	76
-0.318100	-0.900136	77
-0.286443	-0.921969	78
-0.256283	-0.943138	79
-0.226274	-0.974680	80
