time = 1.7	Re = 0.1
0.169684	0.106387	0
0.212489	0.113025	1
0.244288	0.142534	2
0.268395	0.187412	3
0.284657	0.244923	4
0.288639	0.278819	5
0.291927	0.313261	6
0.290967	0.352338	7
0.288567	0.392432	8
0.281501	0.436034	9
0.271754	0.481745	10
0.256531	0.530495	11
0.236585	0.581989	12
0.222516	0.609150	13
0.208326	0.636389	14
0.189547	0.664842	15
0.169098	0.693619	16
0.142198	0.721738	17
0.110965	0.748485	18
0.072102	0.769044	19
0.032721	0.783996	20
-0.006369	0.791948	21
-0.043797	0.798051	22
-0.078247	0.799591	23
-0.111684	0.801545	24
-0.169381	0.800691	25
-0.221361	0.801457	26
-0.267725	0.803176	27
-0.312116	0.806759	28
-0.352943	0.811403	29
-0.393021	0.817226	30
-0.429131	0.823717	31
-0.465481	0.830651	32
-0.515535	0.857125	33
