time = 1.55	Re = 0.1
0.167495	0.109821	0
0.209629	0.119332	1
0.241479	0.149241	2
0.266312	0.193121	3
0.284041	0.248773	4
0.289109	0.281433	5
0.293674	0.314506	6
0.294231	0.352031	7
0.293625	0.390382	8
0.288587	0.432071	9
0.281332	0.475454	10
0.269051	0.521522	11
0.252954	0.569698	12
0.229993	0.620040	13
0.214810	0.646181	14
0.199518	0.672356	15
0.178999	0.698364	16
0.157269	0.724281	17
0.129420	0.748404	18
0.099387	0.770292	19
0.065476	0.785923	20
0.032209	0.799007	21
-0.000482	0.807205	22
-0.032505	0.815394	23
-0.090849	0.823288	24
-0.142761	0.829067	25
-0.188294	0.834077	26
-0.230689	0.840601	27
-0.269074	0.848100	28
-0.306317	0.857230	29
-0.339235	0.867115	30
-0.371423	0.878266	31
-0.418436	0.908974	32
