time = 6	Re = 0.1
0.197675	-0.029674	0
0.208208	-0.063999	1
0.219306	-0.094999	2
0.263447	-0.081803	3
0.286470	-0.050270	4
0.306539	-0.012149	5
0.317999	0.041558	6
0.319836	0.099759	7
0.314395	0.131845	8
0.307933	0.164550	9
0.297108	0.196420	10
0.285127	0.228271	11
0.268567	0.260604	12
0.250993	0.292350	13
0.231259	0.324611	14
0.211480	0.357057	15
0.188637	0.393096	16
0.166493	0.431984	17
0.141916	0.479982	18
0.129035	0.509388	19
0.115980	0.539761	20
0.099630	0.580952	21
0.081765	0.628602	22
0.067331	0.669348	23
0.052917	0.690058	24
0.006997	0.701546	25
-0.027168	0.696185	26
-0.066872	0.693493	27
-0.082188	0.677340	28
-0.091796	0.665208	29
-0.107967	0.653429	30
-0.074803	0.668248	31
-0.042864	0.691518	32
-0.074411	0.662042	33
-0.108438	0.644093	34
-0.135386	0.630030	35
-0.160705	0.613491	36
-0.171399	0.602602	37
-0.217287	0.580122	38
-0.213704	0.576308	39
-0.246076	0.560480	40
-0.277504	0.544626	41
-0.302942	0.528752	42
-0.338558	0.507223	43
-0.346304	0.498921	44
-0.390693	0.470087	45
-0.436540	0.432820	46
-0.470518	0.399643	47
-0.492699	0.376695	48
-0.514974	0.353275	49
-0.540376	0.319810	50
-0.559143	0.294234	51
-0.577735	0.268135	52
-0.589662	0.244449	53
-0.605445	0.215893	54
-0.621082	0.186634	55
-0.632845	0.155826	56
-0.650006	0.108601	57
-0.661990	0.065847	58
-0.671829	0.021437	59
-0.676823	-0.015671	60
-0.680914	-0.054563	61
-0.682558	-0.096263	62
-0.682511	-0.139807	63
-0.679517	-0.174213	64
-0.675759	-0.209646	65
-0.669149	-0.249229	66
-0.660823	-0.290232	67
-0.651482	-0.321990	68
-0.641557	-0.354348	69
-0.627193	-0.393137	70
-0.610757	-0.433090	71
-0.595030	-0.464144	72
-0.578263	-0.495984	73
-0.559489	-0.526392	74
-0.539450	-0.557455	75
-0.517970	-0.586615	76
-0.495216	-0.616509	77
-0.470487	-0.644818	78
-0.444073	-0.673803	79
-0.418422	-0.698278	80
-0.391520	-0.723247	81
-0.362193	-0.747225	82
-0.331132	-0.771438	83
-0.299090	-0.793093	84
-0.264994	-0.814653	85
-0.227469	-0.834832	86
-0.187353	-0.854202	87
-0.147863	-0.869302	88
-0.106692	-0.882787	89
-0.063384	-0.893047	90
-0.019221	-0.900909	91
0.023619	-0.905126	92
0.066184	-0.907466	93
0.109245	-0.906814	94
0.151284	-0.905113	95
0.187381	-0.901238	96
0.222542	-0.897296	97
0.257149	-0.891746	98
0.291265	-0.886341	99
0.323115	-0.879278	100
0.354858	-0.872655	101
0.388583	-0.863905	102
0.421931	-0.854880	103
0.460803	-0.846977	104
0.496334	-0.840472	105
0.536359	-0.843172	106
