time = 1	Re = 0.1
0.159089	0.121553	0
0.198344	0.141363	1
0.230963	0.172863	2
0.258964	0.213430	3
0.282531	0.262038	4
0.300957	0.317939	5
0.307311	0.349179	6
0.313395	0.380631	7
0.316171	0.414714	8
0.318150	0.449381	9
0.316716	0.485857	10
0.314041	0.522995	11
0.307662	0.561141	12
0.299347	0.599730	13
0.287120	0.638319	14
0.272471	0.676785	15
0.254008	0.714010	16
0.233244	0.750154	17
0.209296	0.783593	18
0.183980	0.815029	19
0.157771	0.842974	20
0.131529	0.869233	21
0.106655	0.892682	22
0.082617	0.915686	23
0.060974	0.936886	24
0.039484	0.958086	25
0.014180	1.001348	26
