time = 7.8	Re = 0.1
0.179801	-0.087221	0
0.177798	-0.130939	1
0.182743	-0.167097	2
0.232336	-0.167494	3
0.263582	-0.140070	4
0.293738	-0.101671	5
0.305375	-0.073460	6
0.317114	-0.044455	7
0.323390	-0.012396	8
0.328863	0.021520	9
0.327429	0.058043	10
0.323306	0.096556	11
0.313611	0.133260	12
0.300765	0.170394	13
0.282216	0.206354	14
0.260943	0.241063	15
0.236563	0.274513	16
0.211445	0.307402	17
0.183450	0.343211	18
0.156496	0.383498	19
0.141953	0.410316	20
0.127656	0.437164	21
0.112959	0.473020	22
0.098631	0.513067	23
0.089415	0.543258	24
0.080281	0.573594	25
0.069887	0.614293	26
0.058334	0.665625	27
0.042127	0.698927	28
0.000744	0.690189	29
-0.035444	0.697497	30
-0.044519	0.693216	31
-0.043087	0.691640	32
-0.042983	0.691583	33
-0.040018	0.663877	34
-0.077095	0.644567	35
-0.106390	0.632202	36
-0.136028	0.619857	37
-0.089450	0.643714	38
-0.065651	0.664192	39
-0.043067	0.691632	40
-0.074256	0.649477	41
-0.104712	0.628108	42
-0.134700	0.612445	43
-0.164020	0.597120	44
-0.187468	0.582991	45
-0.201231	0.573434	46
-0.237702	0.553183	47
-0.195652	0.574994	48
-0.149444	0.598466	49
-0.100039	0.627129	50
-0.072385	0.648510	51
-0.042790	0.691481	52
-0.070810	0.649112	53
-0.096302	0.627922	54
-0.141454	0.600538	55
-0.185075	0.577400	56
-0.224767	0.555970	57
-0.251634	0.540721	58
-0.278488	0.525399	59
-0.317481	0.499014	60
-0.327611	0.488858	61
-0.361803	0.464503	62
-0.394021	0.439549	63
-0.382914	0.444468	64
-0.424590	0.408953	65
-0.461404	0.373103	66
-0.486252	0.343433	67
-0.519689	0.299575	68
-0.523334	0.290380	69
-0.541814	0.261294	70
-0.560026	0.230910	71
-0.574781	0.198782	72
-0.589042	0.164917	73
-0.605196	0.111732	74
-0.614216	0.074541	75
-0.622169	0.035071	76
-0.626613	-0.013239	77
-0.628595	-0.051508	78
-0.629132	-0.091771	79
-0.625745	-0.120440	80
-0.621419	-0.159719	81
-0.615346	-0.201160	82
-0.605763	-0.237923	83
-0.596905	-0.267089	84
-0.587915	-0.296480	85
-0.567945	-0.346454	86
-0.543562	-0.396754	87
-0.520790	-0.435556	88
-0.494310	-0.476309	89
-0.463265	-0.517992	90
-0.427455	-0.561436	91
-0.397407	-0.593067	92
-0.363341	-0.626748	93
-0.322088	-0.663501	94
-0.298128	-0.683061	95
-0.273840	-0.702740	96
-0.233041	-0.731374	97
-0.184081	-0.761990	98
-0.150445	-0.778982	99
-0.114534	-0.794486	100
-0.071831	-0.807182	101
-0.027519	-0.815458	102
0.007786	-0.817381	103
0.042003	-0.817955	104
0.078310	-0.814265	105
0.112628	-0.809522	106
0.143856	-0.801398	107
0.173513	-0.793751	108
0.202752	-0.783613	109
0.231121	-0.774602	110
0.255911	-0.763906	111
0.281323	-0.754765	112
0.305947	-0.743675	113
0.331336	-0.733890	114
0.353135	-0.722672	115
0.376707	-0.712608	116
0.398791	-0.700699	117
0.422770	-0.689583	118
0.460776	-0.668000	119
0.500386	-0.644850	120
0.537141	-0.620151	121
0.574805	-0.593534	122
0.607602	-0.566890	123
0.641230	-0.538237	124
0.672540	-0.507935	125
0.704451	-0.475236	126
0.730885	-0.444217	127
0.757546	-0.410986	128
0.781909	-0.376585	129
0.805912	-0.340258	130
0.825867	-0.305135	131
0.845970	-0.267643	132
0.863607	-0.228858	133
0.881450	-0.186971	134
0.893876	-0.150853	135
0.906022	-0.112424	136
0.915657	-0.074072	137
0.924876	-0.033557	138
0.930705	0.003959	139
0.936610	0.044404	140
0.939909	0.087044	141
0.941516	0.135121	142
0.943703	0.188308	143
0.946027	0.234224	144
0.959546	0.280685	145
