time = 2.5	Re = 0.1
0.181889	0.083653	0
0.225610	0.077078	1
0.257822	0.104724	2
0.279677	0.155197	3
0.285012	0.188851	4
0.289087	0.223027	5
0.287757	0.263032	6
0.284389	0.304427	7
0.275806	0.350693	8
0.264457	0.398855	9
0.247070	0.452005	10
0.236078	0.480812	11
0.225045	0.509690	12
0.210190	0.541455	13
0.194698	0.574171	14
0.174372	0.610428	15
0.151150	0.649266	16
0.117046	0.692822	17
0.090641	0.716094	18
0.059403	0.735308	19
0.020122	0.742626	20
-0.015007	0.748475	21
-0.048865	0.746249	22
-0.083756	0.743153	23
-0.110917	0.733747	24
-0.136958	0.725714	25
-0.182426	0.710755	26
-0.222299	0.696720	27
-0.262661	0.685381	28
-0.297900	0.674063	29
-0.335570	0.664307	30
-0.367914	0.654010	31
-0.405111	0.644446	32
-0.436898	0.634683	33
-0.468730	0.624243	34
-0.499738	0.613972	35
-0.530657	0.603308	36
-0.558831	0.592371	37
-0.586990	0.581390	38
-0.641654	0.558291	39
-0.692406	0.534392	40
-0.742270	0.509066	41
-0.787121	0.484256	42
-0.832928	0.456424	43
-0.866479	0.445440	44
-0.896291	0.440045	45
