time = 1.1	Re = 0.1
0.160657	0.119527	0
0.200472	0.137506	1
0.232895	0.168678	2
0.260258	0.209823	3
0.282718	0.259726	4
0.291129	0.288583	5
0.299532	0.317448	6
0.304798	0.349907	7
0.309666	0.382666	8
0.311020	0.418182	9
0.311305	0.454475	10
0.307925	0.492690	11
0.302873	0.531767	12
0.293698	0.571934	13
0.281926	0.612709	14
0.265709	0.653433	15
0.246029	0.693947	16
0.221623	0.732767	17
0.193924	0.769697	18
0.162387	0.802527	19
0.129609	0.832105	20
0.096799	0.857084	21
0.064865	0.880105	22
0.035479	0.900370	23
0.007520	0.920367	24
-0.017227	0.939022	25
-0.041216	0.957978	26
-0.071780	0.998338	27
