time = 0.187	Re = 10	rotation = -0.268138
-0.795666	0.439539	8173	
-0.795046	0.440651	8173	
-0.793289	0.443643	8173	
-0.790436	0.448718	8173	
-0.786540	0.455670	6978	
-0.781529	0.464068	6014	
-0.775571	0.473857	6014	
-0.768853	0.484295	6014	
-0.761027	0.496201	8127	
-0.752216	0.509548	8185	
-0.742517	0.523704	9784	
-0.731980	0.538184	9784	
-0.720738	0.553054	5619	
-0.708548	0.568453	5619	
-0.695519	0.584161	5911	
-0.681546	0.600158	8311	
-0.666561	0.616500	1242	
-0.651036	0.632664	960	
-0.634803	0.649037	6818	
