time = 4.95	Re = 10
0.124806	0.162020	0
0.154078	0.138633	1
0.181157	0.118499	2
0.197777	0.091736	3
0.213668	0.066739	4
0.225401	0.035448	5
0.236812	0.006987	6
0.241475	-0.049752	7
0.238581	-0.106793	8
0.240712	-0.161565	9
0.280185	-0.182833	10
0.305852	-0.167995	11
0.333200	-0.146408	12
0.357634	-0.105805	13
0.376892	-0.057311	14
0.385141	0.001501	15
0.383806	0.032668	16
0.381777	0.064546	17
0.373425	0.095476	18
0.362934	0.127374	19
0.346678	0.161014	20
0.328179	0.194315	21
0.304955	0.226783	22
0.277726	0.260262	23
0.247443	0.296227	24
0.213878	0.336986	25
0.195065	0.364489	26
0.176515	0.394920	27
0.159635	0.431205	28
0.142248	0.474412	29
0.132414	0.504323	30
0.123293	0.533063	31
0.109433	0.586654	32
0.105417	0.628356	33
0.088619	0.659994	34
0.060560	0.683420	35
0.038791	0.703397	36
0.015034	0.723254	37
-0.006529	0.718554	38
-0.047185	0.707906	39
-0.033776	0.701975	40
-0.089208	0.682264	41
-0.118047	0.667899	42
-0.146572	0.652160	43
-0.170801	0.637681	44
-0.217844	0.612912	45
-0.250187	0.596794	46
-0.292893	0.577525	47
-0.308575	0.567772	48
-0.356916	0.543521	49
-0.400522	0.517796	50
-0.423207	0.500852	51
-0.457787	0.475851	52
-0.490895	0.449056	53
-0.506669	0.432556	54
-0.538236	0.401277	55
-0.567679	0.368586	56
-0.595147	0.330549	57
-0.619950	0.291031	58
-0.642826	0.248112	59
-0.662877	0.204052	60
-0.675415	0.168622	61
-0.687181	0.131481	62
-0.697545	0.090184	63
-0.706561	0.046447	64
-0.712089	-0.009387	65
-0.713699	-0.047494	66
-0.714249	-0.087564	67
-0.710398	-0.135221	68
-0.705768	-0.172939	69
-0.699782	-0.212737	70
-0.686835	-0.263419	71
-0.669696	-0.316346	72
-0.648238	-0.368996	73
-0.622467	-0.422344	74
-0.598223	-0.463190	75
-0.570212	-0.505890	76
-0.538554	-0.547999	77
-0.502538	-0.590821	78
-0.469781	-0.623864	79
-0.432698	-0.658687	80
-0.392922	-0.690859	81
-0.348050	-0.723935	82
-0.310627	-0.747800	83
-0.268346	-0.773284	84
-0.219125	-0.798828	85
-0.190389	-0.811940	86
-0.161232	-0.824945	87
-0.106115	-0.843642	88
-0.074670	-0.851562	89
-0.042773	-0.858580	90
-0.009769	-0.862117	91
0.022423	-0.864911	92
0.057088	-0.864772	93
0.089838	-0.863904	94
0.144590	-0.858213	95
0.198790	-0.850104	96
0.249341	-0.839860	97
0.299925	-0.827928	98
0.343102	-0.815278	99
0.387438	-0.801568	100
0.430716	-0.785899	101
0.474403	-0.768495	102
0.512260	-0.750797	103
0.550617	-0.731271	104
0.587110	-0.710027	105
0.623778	-0.687223	106
0.655939	-0.664332	107
0.689560	-0.638952	108
0.724624	-0.607971	109
0.762853	-0.571393	110
0.787904	-0.545593	111
0.812762	-0.519687	112
0.853464	-0.476403	113
0.896822	-0.447923	114
