time = 4.3	Re = 0.1
0.178722	0.090177	0
0.221134	0.102464	1
0.232204	0.131146	2
0.242728	0.160519	3
0.243435	0.203361	4
0.239996	0.249062	5
0.229038	0.301298	6
0.213485	0.358402	7
0.202495	0.390886	8
0.191396	0.424233	9
0.177509	0.462491	10
0.163036	0.503363	11
0.143954	0.551978	12
0.132430	0.580674	13
0.120580	0.609741	14
0.102865	0.648523	15
0.075463	0.696243	16
0.027790	0.715094	17
-0.012664	0.717114	18
-0.055053	0.709245	19
-0.084845	0.690088	20
-0.095459	0.667923	21
-0.117839	0.651644	22
-0.109971	0.642075	23
-0.145372	0.623866	24
-0.132780	0.618451	25
-0.171035	0.598554	26
-0.197969	0.576164	27
-0.205993	0.566425	28
-0.225385	0.553366	29
-0.251941	0.532755	30
-0.271598	0.514891	31
-0.301212	0.494269	32
-0.318673	0.478018	33
-0.348242	0.456804	34
-0.361045	0.443156	35
-0.395924	0.418133	36
-0.404085	0.406749	37
-0.437541	0.380575	38
-0.446203	0.369150	39
-0.479276	0.340484	40
-0.514240	0.301732	41
-0.549770	0.259136	42
-0.577197	0.219650	43
-0.608454	0.171768	44
-0.627479	0.134318	45
-0.652081	0.083615	46
-0.665956	0.045233	47
-0.683596	-0.007430	48
-0.694630	-0.051710	49
-0.703340	-0.097253	50
-0.709256	-0.142409	51
-0.713014	-0.188763	52
-0.713873	-0.231329	53
-0.712953	-0.274672	54
-0.709591	-0.317929	55
-0.704441	-0.361697	56
-0.697558	-0.400454	57
-0.689349	-0.439612	58
-0.678479	-0.479640	59
-0.666181	-0.519940	60
-0.653391	-0.555677	61
-0.639652	-0.591532	62
-0.624265	-0.625452	63
-0.608079	-0.659459	64
-0.591783	-0.690802	65
-0.574915	-0.722252	66
-0.556393	-0.752430	67
-0.536898	-0.782730	68
-0.509148	-0.832096	69
-0.487634	-0.875197	70
