time = 1	Re = 0.1
0.151034	0.131336	0
0.187979	0.161072	1
0.219130	0.200437	2
0.245368	0.248596	3
0.266479	0.304430	4
0.274119	0.335910	5
0.281263	0.367889	6
0.285277	0.402630	7
0.288233	0.438252	8
0.287480	0.476068	9
0.285049	0.514851	10
0.278348	0.554977	11
0.269059	0.595963	12
0.254894	0.637042	13
0.237009	0.678243	14
0.213838	0.717501	15
0.186171	0.754999	16
0.154690	0.787557	17
0.121142	0.816125	18
0.088534	0.838805	19
0.057398	0.859260	20
0.031099	0.876297	21
0.005722	0.893603	22
-0.032427	0.926131	23
-0.057386	0.960283	24
-0.065692	1.000971	25
