time = 4.1	Re = 0.1
0.177262	0.092996	0
0.219457	0.106291	1
0.230508	0.134507	2
0.241338	0.163002	3
0.242669	0.204729	4
0.240248	0.249166	5
0.230550	0.300247	6
0.216458	0.356035	7
0.206174	0.387823	8
0.195834	0.420227	9
0.182817	0.457178	10
0.169215	0.496308	11
0.151260	0.542311	12
0.129775	0.595627	13
0.114358	0.629942	14
0.095667	0.668062	15
0.075356	0.695431	16
0.043383	0.716454	17
0.000834	0.715120	18
-0.036373	0.718299	19
-0.072774	0.697907	20
-0.096234	0.679708	21
-0.095145	0.664412	22
-0.125842	0.648818	23
-0.117990	0.639211	24
-0.151924	0.621873	25
-0.178120	0.599380	26
-0.186557	0.589011	27
-0.204948	0.576528	28
-0.230749	0.556381	29
-0.250294	0.538582	30
-0.278923	0.519218	31
-0.296469	0.503244	32
-0.325354	0.483575	33
-0.338491	0.470198	34
-0.372705	0.447542	35
-0.381429	0.436231	36
-0.414616	0.412691	37
-0.423747	0.401619	38
-0.456953	0.375955	39
-0.493055	0.340382	40
-0.530134	0.301649	41
-0.559474	0.265442	42
-0.593267	0.221930	43
-0.614663	0.187373	44
-0.642778	0.141106	45
-0.659618	0.105499	46
-0.681613	0.056988	47
-0.696584	0.015862	48
-0.709575	-0.026622	49
-0.720054	-0.068935	50
-0.728724	-0.112554	51
-0.734334	-0.152923	52
-0.738539	-0.194132	53
-0.740579	-0.235539	54
-0.741198	-0.277569	55
-0.739647	-0.315129	56
-0.737139	-0.353173	57
-0.732369	-0.392424	58
-0.726418	-0.432006	59
-0.719422	-0.467334	60
-0.711630	-0.502854	61
-0.701954	-0.536894	62
-0.691699	-0.571111	63
-0.681008	-0.602791	64
-0.669991	-0.634644	65
-0.657204	-0.665650	66
-0.643975	-0.696899	67
-0.627304	-0.747067	68
-0.615048	-0.791438	69
