time = 5	Re = 0.1
0.183501	0.080061	0
0.226533	0.088835	1
0.237883	0.119177	2
0.247514	0.151779	3
0.246136	0.198570	4
0.239206	0.248562	5
0.223920	0.304483	6
0.213728	0.334923	7
0.203561	0.365556	8
0.190219	0.400353	9
0.176747	0.436838	10
0.160286	0.479625	11
0.142927	0.527225	12
0.131539	0.556751	13
0.119912	0.586756	14
0.104635	0.624927	15
0.085195	0.669242	16
0.053175	0.709070	17
-0.002172	0.712996	18
-0.061116	0.702318	19
-0.085924	0.676585	20
-0.099244	0.653542	21
-0.116497	0.636030	22
-0.118298	0.624129	23
-0.149342	0.604456	24
-0.145950	0.596015	25
-0.176333	0.576111	26
-0.154007	0.579715	27
-0.205783	0.550321	28
-0.180449	0.556335	29
-0.206784	0.541066	30
-0.233077	0.525817	31
-0.263166	0.501625	32
-0.270415	0.492856	33
-0.292951	0.476640	34
-0.321701	0.452834	35
-0.341253	0.433512	36
-0.372922	0.407347	37
-0.389536	0.389175	38
-0.419922	0.361389	39
-0.431152	0.346331	40
-0.466047	0.311764	41
-0.472100	0.299929	42
-0.503952	0.263469	43
-0.510519	0.250671	44
-0.540207	0.210557	45
-0.568112	0.160183	46
-0.581404	0.132252	47
-0.594532	0.104063	48
-0.612154	0.053679	49
-0.621302	0.022747	50
-0.630130	-0.008635	51
-0.637853	-0.054883	52
-0.642014	-0.086691	53
-0.645871	-0.118838	54
-0.646687	-0.164882	55
-0.645826	-0.196654	56
-0.644671	-0.228674	57
-0.638417	-0.280511	58
-0.628444	-0.332724	59
-0.614952	-0.383230	60
-0.597739	-0.433998	61
-0.578674	-0.479221	62
-0.556640	-0.524429	63
-0.531678	-0.568183	64
-0.503907	-0.611571	65
-0.476717	-0.648562	66
-0.447306	-0.685204	67
-0.414553	-0.721039	68
-0.379411	-0.756081	69
-0.346067	-0.785844	70
-0.311118	-0.814843	71
-0.275682	-0.840371	72
-0.238563	-0.865094	73
-0.202504	-0.886881	74
-0.165351	-0.908390	75
-0.127967	-0.927158	76
-0.089452	-0.944798	77
-0.058888	-0.960023	78
-0.028508	-0.974929	79
0.018813	-1.001156	80
