time = 1.3	Re = 0.1
0.153819	0.128086	0
0.191311	0.156178	1
0.221265	0.196932	2
0.244773	0.248841	3
0.253332	0.279426	4
0.261493	0.310518	5
0.266177	0.345763	6
0.269845	0.382071	7
0.269619	0.421744	8
0.267452	0.463074	9
0.260574	0.507292	10
0.250082	0.553603	11
0.233424	0.602167	12
0.210251	0.652719	13
0.193591	0.678136	14
0.176802	0.703539	15
0.154085	0.728048	16
0.130169	0.751785	17
0.100474	0.770376	18
0.070473	0.786742	19
0.038819	0.796796	20
0.008264	0.806467	21
-0.047347	0.816111	22
-0.096417	0.821782	23
-0.137602	0.825684	24
-0.174558	0.831371	25
-0.204820	0.838306	26
-0.234389	0.847804	27
-0.280996	0.871717	28
-0.315415	0.903082	29
-0.333314	0.945743	30
