time = 2	Re = 0.1
0.160150	0.120118	0
0.198939	0.144426	1
0.226301	0.188642	2
0.235097	0.218685	3
0.243465	0.249249	4
0.247448	0.285597	5
0.249880	0.323908	6
0.247692	0.367399	7
0.243156	0.413679	8
0.232934	0.465074	9
0.218081	0.521130	10
0.206502	0.552266	11
0.194288	0.583992	12
0.177152	0.619289	13
0.157220	0.656270	14
0.126439	0.696678	15
0.103390	0.716243	16
0.080159	0.735665	17
0.045610	0.745575	18
0.014081	0.753321	19
-0.015718	0.753083	20
-0.047582	0.754368	21
-0.101953	0.741012	22
-0.143954	0.724761	23
-0.179010	0.708171	24
-0.212371	0.695921	25
-0.240071	0.683316	26
-0.270902	0.674242	27
-0.295958	0.664445	28
-0.325544	0.657195	29
-0.376083	0.643802	30
-0.425077	0.633113	31
-0.470040	0.624222	32
-0.514560	0.617149	33
-0.554167	0.611896	34
-0.595114	0.607515	35
-0.631323	0.605866	36
-0.666823	0.603619	37
-0.698957	0.605159	38
-0.731232	0.606302	39
-0.780360	0.629073	40
