time = 2.15	Re = 0.1
0.161474	0.118345	0
0.200552	0.141809	1
0.227384	0.186847	2
0.235605	0.217712	3
0.243200	0.249306	4
0.246202	0.286834	5
0.247392	0.326634	6
0.243750	0.371801	7
0.237478	0.420186	8
0.225109	0.474201	9
0.216323	0.503940	10
0.207419	0.533846	11
0.193935	0.567276	12
0.179248	0.601904	13
0.158315	0.641102	14
0.131301	0.683210	15
0.108816	0.705926	16
0.084107	0.727613	17
0.047537	0.740497	18
0.013882	0.748424	19
-0.021474	0.747320	20
-0.055958	0.746854	21
-0.083810	0.737410	22
-0.112424	0.728703	23
-0.154693	0.707244	24
-0.191028	0.690010	25
-0.223288	0.673639	26
-0.256440	0.661060	27
-0.283535	0.648268	28
-0.315154	0.638237	29
-0.340345	0.627780	30
-0.371088	0.619115	31
-0.423153	0.602946	32
-0.473929	0.588734	33
-0.520492	0.576038	34
-0.566701	0.564455	35
-0.607808	0.554691	36
-0.650305	0.545108	37
-0.688127	0.538247	38
-0.724954	0.530586	39
-0.758858	0.526671	40
-0.792815	0.522031	41
-0.846631	0.534828	42
