time = 3	Re = 0.1
0.168675	0.107785	0
0.209282	0.126786	1
0.233483	0.176643	2
0.238583	0.212125	3
0.241811	0.249430	4
0.239173	0.293416	5
0.233525	0.340846	6
0.222006	0.394942	7
0.214120	0.424999	8
0.206154	0.455236	9
0.194496	0.489608	10
0.182077	0.525462	11
0.165681	0.566739	12
0.145676	0.612002	13
0.130622	0.639466	14
0.115078	0.667287	15
0.088031	0.701766	16
0.040968	0.727088	17
-0.017730	0.730154	18
-0.071138	0.720856	19
-0.106886	0.695393	20
-0.133767	0.676256	21
-0.154811	0.656891	22
-0.178759	0.641240	23
-0.194522	0.626207	24
-0.221141	0.612445	25
-0.233336	0.599621	26
-0.260228	0.586621	27
-0.271662	0.576033	28
-0.299883	0.563054	29
-0.336100	0.540859	30
-0.373777	0.519556	31
-0.406594	0.498916	32
-0.444526	0.477492	33
-0.472257	0.458347	34
-0.508417	0.436369	35
-0.534097	0.417309	36
-0.568244	0.394133	37
-0.595394	0.373324	38
-0.622293	0.351798	39
-0.647912	0.330025	40
-0.673353	0.307674	41
-0.695826	0.286109	42
-0.718200	0.264373	43
-0.739746	0.241816	44
-0.761197	0.219117	45
-0.797956	0.176920	46
-0.834458	0.131431	47
-0.866275	0.090103	48
-0.895334	0.048029	49
-0.922531	0.009414	50
-0.948217	-0.030887	51
-0.973766	-0.055352	52
-0.999003	-0.078546	53
