time = 6.45	Re = 0.1
0.191648	0.058620	0
0.235334	0.059511	1
0.248178	0.093546	2
0.256769	0.133251	3
0.251847	0.188540	4
0.238020	0.246861	5
0.226329	0.277705	6
0.214373	0.308521	7
0.199911	0.341319	8
0.185470	0.375177	9
0.168213	0.413684	10
0.151113	0.456004	11
0.130891	0.508790	12
0.119592	0.541298	13
0.108215	0.574768	14
0.092280	0.621024	15
0.081657	0.650666	16
0.069899	0.681581	17
0.034526	0.700775	18
-0.010045	0.707561	19
-0.009972	0.693933	20
-0.049549	0.697810	21
-0.066656	0.681523	22
-0.036589	0.687067	23
-0.081131	0.651702	24
-0.094625	0.632048	25
-0.064245	0.653967	26
-0.036587	0.687059	27
-0.070126	0.638029	28
-0.110692	0.609369	29
-0.136001	0.585983	30
-0.146672	0.571074	31
-0.177719	0.546941	32
-0.184424	0.535716	33
-0.209561	0.515364	34
-0.201372	0.515104	35
-0.227931	0.496622	36
-0.254272	0.478155	37
-0.238961	0.482472	38
-0.284839	0.448353	39
-0.242046	0.473149	40
-0.282347	0.444151	41
-0.319843	0.415862	42
-0.276513	0.442864	43
-0.314171	0.414026	44
-0.349249	0.385537	45
-0.381722	0.351710	46
-0.387079	0.342980	47
-0.411268	0.317059	48
-0.438580	0.282369	49
-0.454425	0.257191	50
-0.482267	0.215653	51
-0.493734	0.191746	52
-0.516833	0.147272	53
-0.522526	0.128690	54
-0.533813	0.100351	55
-0.545032	0.071851	56
-0.546008	0.059386	57
-0.553785	0.030155	58
-0.561523	0.000843	59
-0.562115	-0.014136	60
-0.566362	-0.045149	61
-0.570417	-0.076471	62
-0.570377	-0.110735	63
-0.569546	-0.146089	64
-0.565820	-0.183456	65
-0.560478	-0.222186	66
-0.552872	-0.253613	67
-0.544689	-0.285538	68
-0.532110	-0.323469	69
-0.517382	-0.362332	70
-0.491086	-0.413510	71
-0.470604	-0.448035	72
-0.447956	-0.483044	73
-0.412086	-0.527723	74
-0.385119	-0.557133	75
-0.356078	-0.586533	76
-0.331061	-0.607786	77
-0.305372	-0.629108	78
-0.277966	-0.648399	79
-0.249722	-0.667673	80
-0.220981	-0.684028	81
-0.191491	-0.700347	82
-0.160516	-0.714633	83
-0.128665	-0.728688	84
-0.099099	-0.739047	85
-0.069264	-0.749344	86
-0.038105	-0.757659	87
-0.006485	-0.765825	88
0.025296	-0.771510	89
0.057526	-0.776986	90
0.090625	-0.780438	91
0.124233	-0.783499	92
0.183636	-0.784436	93
0.214361	-0.782994	94
0.245184	-0.781451	95
0.276471	-0.777557	96
0.307914	-0.773393	97
0.339549	-0.767027	98
0.371525	-0.760309	99
0.428196	-0.744431	100
0.456798	-0.734500	101
0.485411	-0.724531	102
0.538437	-0.701707	103
0.591169	-0.675384	104
0.639681	-0.647315	105
0.688649	-0.615374	106
0.733162	-0.582008	107
0.777503	-0.544481	108
0.812793	-0.514204	109
0.846282	-0.484820	110
0.872471	-0.463711	111
0.897661	-0.443937	112
