time = 2.9	Re = 0.1
0.167859	0.109060	0
0.208289	0.128588	1
0.232769	0.177846	2
0.238225	0.212788	3
0.241965	0.249434	4
0.239985	0.292701	5
0.235138	0.339275	6
0.224512	0.392376	7
0.217150	0.421789	8
0.209765	0.451254	9
0.198656	0.484769	10
0.187027	0.519398	11
0.171599	0.559044	12
0.153197	0.601949	13
0.126085	0.653162	14
0.105002	0.684029	15
0.074931	0.715844	16
0.017340	0.730654	17
-0.033984	0.731708	18
-0.082901	0.715065	19
-0.114290	0.695132	20
-0.137794	0.674422	21
-0.162022	0.658391	22
-0.178668	0.642632	23
-0.204604	0.629150	24
-0.217433	0.615854	25
-0.243535	0.603380	26
-0.255259	0.592601	27
-0.282672	0.580339	28
-0.318503	0.558812	29
-0.355716	0.538550	30
-0.388370	0.518916	31
-0.425937	0.499058	32
-0.453721	0.481048	33
-0.489713	0.460957	34
-0.515578	0.443220	35
-0.549846	0.422188	36
-0.577281	0.403187	37
-0.604544	0.383596	38
-0.630643	0.363789	39
-0.656635	0.343533	40
-0.679739	0.323911	41
-0.702806	0.304231	42
-0.725146	0.283748	43
-0.747441	0.263229	44
-0.785988	0.224997	45
-0.824679	0.183788	46
-0.858687	0.146517	47
-0.890190	0.108382	48
-0.919755	0.073694	49
-0.948076	0.037330	50
-0.975186	0.016691	51
-1.001983	-0.002571	52
