time = 6	Re = 0.1
0.189386	0.065273	0
0.232981	0.068720	1
0.245227	0.101643	2
0.254019	0.139023	3
0.250059	0.191690	4
0.238321	0.247482	5
0.227828	0.277561	6
0.217165	0.307649	7
0.203969	0.339855	8
0.190670	0.372988	9
0.174548	0.410433	10
0.158436	0.450972	11
0.139172	0.500536	12
0.128585	0.530190	13
0.118101	0.560015	14
0.103668	0.599877	15
0.087111	0.645012	16
0.071747	0.681881	17
0.044254	0.694685	18
0.017252	0.708525	19
-0.001316	0.699083	20
-0.058611	0.697998	21
-0.076067	0.668234	22
-0.036343	0.686823	23
-0.063412	0.660650	24
-0.092169	0.641297	25
-0.113954	0.618933	26
-0.124716	0.602171	27
-0.151290	0.580779	28
-0.158750	0.567920	29
-0.181210	0.549450	30
-0.175514	0.546370	31
-0.222291	0.515338	32
-0.210163	0.516162	33
-0.251950	0.487011	34
-0.214552	0.505270	35
-0.251085	0.481025	36
-0.285920	0.457345	37
-0.246971	0.477688	38
-0.281989	0.453397	39
-0.315290	0.429417	40
-0.347942	0.399093	41
-0.353996	0.390470	42
-0.378473	0.367903	43
-0.407172	0.336969	44
-0.424690	0.313808	45
-0.454965	0.277357	46
-0.468526	0.255309	47
-0.495216	0.216167	48
-0.502924	0.198618	49
-0.531058	0.148594	50
-0.533662	0.136185	51
-0.556129	0.084115	52
-0.558770	0.069616	53
-0.575664	0.013357	54
-0.580794	-0.018802	55
-0.585537	-0.051709	56
-0.587991	-0.087044	57
-0.589550	-0.123596	58
-0.587709	-0.154234	59
-0.585739	-0.185047	60
-0.580916	-0.222269	61
-0.574653	-0.260495	62
-0.559992	-0.312647	63
-0.547871	-0.348207	64
-0.534230	-0.384440	65
-0.510219	-0.432503	66
-0.491545	-0.464860	67
-0.471365	-0.497580	68
-0.452958	-0.522378	69
-0.434357	-0.547218	70
-0.413571	-0.570853	71
-0.392449	-0.594610	72
-0.369968	-0.616022	73
-0.347260	-0.637439	74
-0.322499	-0.657522	75
-0.297295	-0.677588	76
-0.248713	-0.710207	77
-0.222545	-0.725167	78
-0.196354	-0.740137	79
-0.169045	-0.753029	80
-0.141701	-0.765944	81
-0.112846	-0.777303	82
-0.083829	-0.788603	83
-0.031061	-0.804658	84
0.024383	-0.818087	85
0.082357	-0.827670	86
0.112327	-0.830760	87
0.142319	-0.833818	88
0.196760	-0.835867	89
0.252690	-0.835022	90
0.305896	-0.830596	91
0.359622	-0.822945	92
0.410317	-0.812515	93
0.462569	-0.799383	94
0.511523	-0.783905	95
0.561580	-0.765063	96
0.601071	-0.750675	97
0.639057	-0.736787	98
0.668506	-0.727859	99
0.697632	-0.719281	100
