time = 3.15	Re = 0.1
0.169886	0.105854	0
0.210755	0.124057	1
0.234561	0.174808	2
0.239125	0.211127	3
0.241586	0.249416	4
0.237965	0.294459	5
0.231123	0.343144	6
0.218270	0.398721	7
0.209643	0.429706	8
0.200837	0.461091	9
0.188289	0.496858	10
0.174697	0.534608	11
0.156848	0.578509	12
0.134190	0.627811	13
0.116735	0.658399	14
0.095136	0.691071	15
0.045567	0.723865	16
-0.010086	0.728036	17
-0.040918	0.725326	18
-0.071327	0.717589	19
-0.108390	0.691935	20
-0.133628	0.668293	21
-0.158456	0.650443	22
-0.177680	0.632550	23
-0.201900	0.617096	24
-0.216844	0.602810	25
-0.244635	0.588392	26
-0.256126	0.576123	27
-0.284230	0.562149	28
-0.295291	0.551737	29
-0.324664	0.537526	30
-0.361355	0.514114	31
-0.399643	0.491011	32
-0.432616	0.468699	33
-0.470868	0.444743	34
-0.498393	0.423766	35
-0.534534	0.398790	36
-0.559752	0.377590	37
-0.593439	0.351067	38
-0.619918	0.327467	39
-0.645977	0.302977	40
-0.670605	0.278218	41
-0.694919	0.252694	42
-0.716144	0.228214	43
-0.737164	0.203408	44
-0.757200	0.177784	45
-0.777019	0.151863	46
-0.810429	0.103832	47
-0.826664	0.077998	48
-0.842867	0.052112	49
-0.870695	0.004947	50
-0.895403	-0.042707	51
-0.918307	-0.086843	52
-0.939459	-0.132285	53
-0.961786	-0.163027	54
-0.983503	-0.193604	55
