time = 7	Re = 0.1
0.194049	0.050442	0
0.237755	0.048009	1
0.251412	0.083633	2
0.260035	0.126124	3
0.254044	0.184656	4
0.246137	0.215189	5
0.237734	0.245991	6
0.224644	0.277617	7
0.211200	0.309106	8
0.195239	0.342489	9
0.179531	0.376962	10
0.161180	0.416472	11
0.143005	0.460995	12
0.132397	0.489432	13
0.121819	0.517924	14
0.109626	0.554405	15
0.097017	0.593372	16
0.087608	0.622237	17
0.078038	0.651391	18
0.055956	0.701029	19
0.023589	0.698369	20
-0.031053	0.706915	21
-0.044368	0.687303	22
-0.073146	0.661808	23
-0.036773	0.687426	24
-0.036258	0.686914	25
-0.060848	0.658463	26
-0.086357	0.637224	27
-0.060720	0.658506	28
-0.036505	0.687046	29
-0.065968	0.641809	30
-0.099826	0.615439	31
-0.114999	0.597179	32
-0.071924	0.629411	33
-0.053721	0.654105	34
-0.036486	0.687042	35
-0.055625	0.641569	36
-0.078584	0.616267	37
-0.105948	0.595582	38
-0.132816	0.575803	39
-0.163098	0.549811	40
-0.174079	0.535885	41
-0.210356	0.507739	42
-0.216266	0.497810	43
-0.244328	0.474701	44
-0.233352	0.477605	45
-0.263353	0.455161	46
-0.292505	0.432739	47
-0.273918	0.441312	48
-0.298736	0.420987	49
-0.323392	0.400517	50
-0.275449	0.433627	51
-0.319145	0.398389	52
-0.358544	0.364066	53
-0.311473	0.399555	54
-0.351083	0.364812	55
-0.386960	0.330414	56
-0.418133	0.291924	57
-0.422557	0.283026	58
-0.445331	0.252792	59
-0.469829	0.213260	60
-0.482974	0.185614	61
-0.506378	0.137808	62
-0.514735	0.111754	63
-0.531923	0.061045	64
-0.534838	0.041432	65
-0.541789	0.009591	66
-0.548326	-0.023018	67
-0.547263	-0.035306	68
-0.549891	-0.067572	69
-0.552225	-0.100524	70
-0.550166	-0.115706	71
-0.548387	-0.149264	72
-0.545880	-0.183570	73
-0.538725	-0.219247	74
-0.530036	-0.256227	75
-0.517786	-0.294447	76
-0.503011	-0.333954	77
-0.487781	-0.364845	78
-0.471295	-0.396372	79
-0.448699	-0.432952	80
-0.423086	-0.470099	81
-0.402933	-0.493318	82
-0.382563	-0.516621	83
-0.352008	-0.547231	84
-0.318515	-0.577625	85
-0.293788	-0.595787	86
-0.268869	-0.613970	87
-0.232451	-0.636689	88
-0.193326	-0.658756	89
-0.161201	-0.673367	90
-0.127816	-0.687726	91
-0.093651	-0.699375	92
-0.058110	-0.710624	93
-0.023409	-0.718616	94
0.012542	-0.726139	95
0.049028	-0.731035	96
0.086770	-0.735186	97
0.120471	-0.736212	98
0.154910	-0.736826	99
0.189666	-0.735022	100
0.225232	-0.732552	101
0.259688	-0.727574	102
0.294840	-0.721818	103
0.329816	-0.713616	104
0.365503	-0.704416	105
0.395880	-0.694156	106
0.426529	-0.683516	107
0.457233	-0.670616	108
0.488297	-0.657122	109
0.518613	-0.641345	110
0.549235	-0.624839	111
0.579066	-0.606322	112
0.609277	-0.586915	113
0.634961	-0.567893	114
0.660736	-0.548474	115
0.685824	-0.527118	116
0.711044	-0.505235	117
0.733251	-0.483004	118
0.755510	-0.460499	119
0.776786	-0.436388	120
0.798028	-0.411832	121
0.816634	-0.387350	122
0.835255	-0.362732	123
0.853111	-0.336042	124
0.870885	-0.308936	125
0.885860	-0.282262	126
0.900891	-0.255481	127
0.914662	-0.226789	128
0.928504	-0.197520	129
0.950440	-0.148554	130
0.969697	-0.105945	131
0.985235	-0.076374	132
1.000425	-0.049982	133
