time = 4.7	Re = 0.1
0.181507	0.084454	0
0.224311	0.094716	1
0.235499	0.124367	2
0.245471	0.155535	3
0.244974	0.200623	4
0.239528	0.248802	5
0.226078	0.303212	6
0.216884	0.332929	7
0.207670	0.362769	8
0.195391	0.396494	9
0.182832	0.431731	10
0.167394	0.472569	11
0.151255	0.517137	12
0.130013	0.571528	13
0.116553	0.605040	14
0.101544	0.640902	15
0.087099	0.668606	16
0.071027	0.697131	17
0.017217	0.713039	18
-0.027060	0.715328	19
-0.073834	0.691952	20
-0.092993	0.670450	21
-0.099186	0.653403	22
-0.125646	0.636264	23
-0.125950	0.623678	24
-0.152557	0.605890	25
-0.135724	0.604498	26
-0.180704	0.580134	27
-0.160344	0.581655	28
-0.207097	0.555828	29
-0.235798	0.532776	30
-0.243357	0.523735	31
-0.264691	0.509035	32
-0.292689	0.486844	33
-0.312371	0.468325	34
-0.343423	0.444755	35
-0.360533	0.427531	36
-0.390889	0.402760	37
-0.402885	0.388384	38
-0.438240	0.358112	39
-0.445225	0.346496	40
-0.478267	0.314608	41
-0.485795	0.302414	42
-0.517517	0.267324	43
-0.549024	0.221932	44
-0.580044	0.171512	45
-0.602466	0.125681	46
-0.614766	0.097527	47
-0.626973	0.069218	48
-0.639966	0.026427	49
-0.647981	-0.002937	50
-0.655906	-0.032379	51
-0.662862	-0.075614	52
-0.666451	-0.105522	53
-0.670033	-0.135462	54
-0.671829	-0.184834	55
-0.670538	-0.235070	56
-0.665994	-0.284257	57
-0.658386	-0.334216	58
-0.648337	-0.379329	59
-0.635732	-0.424835	60
-0.620252	-0.469516	61
-0.602329	-0.514328	62
-0.583866	-0.553282	63
-0.563591	-0.592383	64
-0.540257	-0.631556	65
-0.515011	-0.670539	66
-0.490505	-0.704378	67
-0.464552	-0.737936	68
-0.437420	-0.768656	69
-0.408929	-0.799057	70
-0.381013	-0.826554	71
-0.352112	-0.854047	72
-0.322396	-0.879360	73
-0.290877	-0.903214	74
-0.267263	-0.923594	75
-0.243902	-0.944345	76
-0.207056	-0.980802	77
