time = 1.15	Re = 0.1
0.152431	0.129724	0
0.189650	0.158633	1
0.220196	0.198688	2
0.245068	0.248724	3
0.254618	0.277994	4
0.263987	0.307499	5
0.270154	0.340875	6
0.275571	0.375016	7
0.277490	0.412219	8
0.277910	0.450669	9
0.274133	0.491627	10
0.267804	0.534064	11
0.256381	0.578166	12
0.240845	0.623610	13
0.218566	0.669245	14
0.189389	0.714713	15
0.151640	0.756038	16
0.105985	0.790833	17
0.058496	0.815273	18
0.013018	0.833317	19
-0.027167	0.846188	20
-0.063661	0.858154	21
-0.093324	0.868845	22
-0.121559	0.881063	23
-0.164158	0.907879	24
-0.193048	0.940118	25
-0.206104	0.981701	26
