time = 6.25	Re = 0.1
0.190678	0.061550	0
0.234329	0.063618	1
0.246903	0.097151	2
0.255555	0.135821	3
0.251052	0.189943	4
0.238146	0.247147	5
0.226983	0.277665	6
0.215593	0.308176	7
0.201690	0.340724	8
0.187732	0.374295	9
0.170966	0.412345	10
0.154298	0.453861	11
0.134468	0.505222	12
0.123536	0.536345	13
0.112504	0.568216	14
0.097321	0.611408	15
0.078110	0.663633	16
0.059413	0.686711	17
0.034502	0.707569	18
0.017155	0.694309	19
-0.041125	0.707173	20
-0.045229	0.698285	21
-0.073422	0.668223	22
-0.086718	0.646897	23
-0.061079	0.665503	24
-0.036105	0.686914	25
-0.067088	0.647383	26
-0.102640	0.622855	27
-0.126196	0.600152	28
-0.136922	0.584491	29
-0.165951	0.561698	30
-0.172950	0.549814	31
-0.196945	0.530351	32
-0.189851	0.528889	33
-0.214999	0.511759	34
-0.240111	0.494636	35
-0.226174	0.497394	36
-0.270378	0.465530	37
-0.229820	0.487417	38
-0.268566	0.460557	39
-0.304982	0.434367	40
-0.263423	0.458381	41
-0.300050	0.431592	42
-0.334435	0.405158	43
-0.367119	0.372930	44
-0.372807	0.364248	45
-0.397195	0.339851	46
-0.425213	0.306849	47
-0.441880	0.282584	48
-0.470936	0.243328	49
-0.483399	0.220225	50
-0.508233	0.178127	51
-0.514861	0.159978	52
-0.540064	0.106135	53
-0.541750	0.093674	54
-0.560573	0.037919	55
-0.562083	0.023122	56
-0.568274	-0.006713	57
-0.574389	-0.036664	58
-0.576742	-0.070089	59
-0.578475	-0.104447	60
-0.577559	-0.141043	61
-0.575427	-0.178981	62
-0.570452	-0.210198	63
-0.565099	-0.241759	64
-0.556064	-0.279570	65
-0.545207	-0.318369	66
-0.524122	-0.370281	67
-0.507375	-0.405494	68
-0.488745	-0.441300	69
-0.458094	-0.487843	70
-0.434789	-0.518838	71
-0.409657	-0.550053	72
-0.387530	-0.573120	73
-0.364951	-0.596253	74
-0.340400	-0.617721	75
-0.315232	-0.639263	76
-0.289177	-0.658074	77
-0.262591	-0.676890	78
-0.234228	-0.693969	79
-0.205170	-0.710936	80
-0.177737	-0.724126	81
-0.150216	-0.737319	82
-0.121070	-0.748823	83
-0.091659	-0.760271	84
-0.061656	-0.769378	85
-0.031377	-0.778399	86
0.000076	-0.785554	87
0.031915	-0.792478	88
0.088889	-0.800464	89
0.148323	-0.805104	90
0.178947	-0.805207	91
0.209669	-0.805244	92
0.240988	-0.803359	93
0.272497	-0.801328	94
0.328755	-0.793824	95
0.385972	-0.782342	96
0.439828	-0.767500	97
0.493880	-0.749504	98
0.544160	-0.729446	99
0.595401	-0.705943	100
0.642697	-0.680497	101
0.690403	-0.651134	102
0.728469	-0.627922	103
0.764704	-0.605712	104
0.793334	-0.589777	105
0.822001	-0.573473	106
