time = 5.6	Re = 0.1
0.187164	0.071287	0
0.230600	0.076842	1
0.242413	0.108695	2
0.251513	0.144127	3
0.248479	0.194465	4
0.238640	0.247965	5
0.229246	0.277268	6
0.219780	0.306584	7
0.207738	0.338179	8
0.195624	0.370424	9
0.180551	0.406880	10
0.165368	0.445881	11
0.147113	0.492680	12
0.127523	0.546955	13
0.114486	0.582050	14
0.100322	0.619618	15
0.078126	0.674094	16
0.034131	0.708895	17
-0.021036	0.710240	18
-0.030676	0.700441	19
-0.073109	0.678192	20
-0.092851	0.653797	21
-0.104722	0.633516	22
-0.127507	0.613762	23
-0.136013	0.598639	24
-0.155899	0.581386	25
-0.152866	0.575391	26
-0.193539	0.549289	27
-0.184588	0.546794	28
-0.222035	0.521667	29
-0.190234	0.534186	30
-0.222836	0.513889	31
-0.254448	0.494049	32
-0.220466	0.508617	33
-0.252356	0.488120	34
-0.283353	0.467866	35
-0.315436	0.440316	36
-0.322017	0.431724	37
-0.346123	0.411910	38
-0.375319	0.384090	39
-0.393943	0.362606	40
-0.425439	0.330507	41
-0.440497	0.310084	42
-0.469378	0.275647	43
-0.478664	0.259106	44
-0.510477	0.215351	45
-0.514507	0.203107	46
-0.541685	0.157182	47
-0.546013	0.143277	48
-0.569165	0.093241	49
-0.578286	0.063536	50
-0.587291	0.033485	51
-0.594606	0.000713	52
-0.601440	-0.032953	53
-0.607159	-0.090932	54
-0.608519	-0.126317	55
-0.608996	-0.162602	56
-0.604022	-0.213629	57
-0.598996	-0.248641	58
-0.592970	-0.284274	59
-0.579474	-0.333024	60
-0.568280	-0.366244	61
-0.556047	-0.399921	62
-0.531590	-0.452474	63
-0.502493	-0.504060	64
-0.469864	-0.552439	65
-0.432775	-0.599579	66
-0.395594	-0.639825	67
-0.354778	-0.678560	68
-0.311180	-0.714196	69
-0.264188	-0.747808	70
-0.220280	-0.774526	71
-0.173591	-0.799702	72
-0.123826	-0.822380	73
-0.071712	-0.842674	74
-0.023618	-0.858082	75
0.026313	-0.871493	76
0.074870	-0.881104	77
0.124904	-0.888792	78
0.172460	-0.893527	79
0.221677	-0.896514	80
0.269248	-0.896658	81
0.318734	-0.894639	82
0.356939	-0.893638	83
0.394487	-0.891833	84
0.451533	-0.893977	85
