Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 1.7100	Mesh (Number of cells): 259
-0.2868969450 	 -0.0839094987 	 -0.0093774818 	 -0.0093774530 	 207
0.2868969450 	 0.0839094987 	 0.0093774519 	 0.0093774234 	 208
0.2812615654 	 -0.0885557221 	 -0.0116864813 	 -0.0116865035 	 209
-0.2812615654 	 0.0885557221 	 0.0116865058 	 0.0116865278 	 210
0.7754891441 	 0.3518925872 	 -0.2795299507 	 -0.2795299407 	 211
-0.7754891441 	 -0.3518925872 	 0.2795299478 	 0.2795299379 	 212
0.7734426907 	 -0.4943691947 	 0.4419060752 	 0.4419060415 	 213
-0.7734426907 	 0.4943691947 	 -0.4419060790 	 -0.4419060453 	 214
-0.3558117428 	 0.4988745246 	 -0.1638995247 	 -0.1638997837 	 215
0.3558117428 	 -0.4988745246 	 0.1638995082 	 0.1638997672 	 216
0.4496884662 	 -0.1941625927 	 0.0302910588 	 0.0302912027 	 217
-0.4496884662 	 0.1941625927 	 -0.0302910402 	 -0.0302911843 	 218
-0.4347899041 	 -0.2597716659 	 0.0483371482 	 0.0483373799 	 219
0.4347899041 	 0.2597716659 	 -0.0483371818 	 -0.0483374134 	 220
0.3914395124 	 -0.0957652833 	 -0.0039999676 	 -0.0039999549 	 221
-0.3914395124 	 0.0957652833 	 0.0039999870 	 0.0039999743 	 222
0.5714636199 	 -0.1994828249 	 0.0737192438 	 0.0737193519 	 223
-0.5714636199 	 0.1994828249 	 -0.0737192353 	 -0.0737193434 	 224
-0.2991200797 	 -0.6369050965 	 0.3169124948 	 0.3169128760 	 225
0.2991200797 	 0.6369050965 	 -0.3169124635 	 -0.3169128449 	 226
-0.3188010880 	 -0.2853823891 	 0.0143229910 	 0.0143231754 	 227
0.3188010880 	 0.2853823891 	 -0.0143230370 	 -0.0143232211 	 228
-0.1692309049 	 0.6787502585 	 -0.3089584586 	 -0.3089589060 	 229
0.1692309049 	 -0.6787502585 	 0.3089584114 	 0.3089588591 	 230
0.1691572246 	 0.6786886166 	 -0.3112612494 	 -0.3112616868 	 231
-0.1691572246 	 -0.6786886166 	 0.3112612489 	 0.3112616863 	 232
-0.2704551690 	 0.4233471451 	 -0.0441755639 	 -0.0441757313 	 233
0.2704551690 	 -0.4233471451 	 0.0441755683 	 0.0441757357 	 234
-0.5469280076 	 -0.0095848688 	 0.0040980982 	 0.0040981453 	 235
0.5469280076 	 0.0095848688 	 -0.0040981010 	 -0.0040981480 	 236
0.8814553432 	 0.2696506817 	 -0.2409423241 	 -0.2409422946 	 237
-0.8814553432 	 -0.2696506817 	 0.2409423230 	 0.2409422936 	 238
0.5656187796 	 0.1170826349 	 -0.0348788333 	 -0.0348789708 	 239
-0.5656187796 	 -0.1170826349 	 0.0348788191 	 0.0348789567 	 240
-0.1541178734 	 0.4366664243 	 0.0061786758 	 0.0061786067 	 241
0.1541178734 	 -0.4366664243 	 -0.0061786765 	 -0.0061786074 	 242
-0.1562988781 	 -0.4356794115 	 -0.0036297530 	 -0.0036296786 	 243
0.1562988781 	 0.4356794115 	 0.0036297414 	 0.0036296671 	 244
-0.6541273870 	 -0.2971307270 	 0.1731502675 	 0.1731503675 	 245
0.6541273870 	 0.2971307270 	 -0.1731502761 	 -0.1731503761 	 246
-0.5330361516 	 -0.3378436845 	 0.1450131803 	 0.1450133804 	 247
0.5330361516 	 0.3378436845 	 -0.1450131970 	 -0.1450133969 	 248
0.6259157954 	 -0.3129548071 	 0.1696141607 	 0.1696142520 	 249
-0.6259157954 	 0.3129548071 	 -0.1696141618 	 -0.1696142531 	 250
-0.4657687583 	 -0.1523635954 	 0.0249520492 	 0.0249522225 	 251
0.4657687583 	 0.1523635954 	 -0.0249520744 	 -0.0249522476 	 252
-0.3900117971 	 -0.0836444221 	 -0.0034558703 	 -0.0034558047 	 253
0.3900117971 	 0.0836444221 	 0.0034558445 	 0.0034557790 	 254
-0.4431523757 	 0.0026236803 	 -0.0005218613 	 -0.0005218305 	 255
0.4431523757 	 -0.0026236803 	 0.0005218572 	 0.0005218264 	 256
0.0000000000 	 0.7336929713 	 -0.2814181596 	 -0.2814186576 	 257
-0.0000000000 	 -0.7336929713 	 0.2814180263 	 0.2814185250 	 258
