time = 0.001	Re = 1	rotation = 0
0.625250	-0.278014	3421	
0.434191	0.034790	1574	
0.474036	-0.631749	3473	
0.434136	-0.625331	4873	
0.715253	0.045298	3918	
0.597601	0.297559	2994	
0.006130	0.940438	5990	
0.663452	-0.414375	4536	
0.201216	0.851204	7285	
0.309058	-0.193873	4612	
0.433463	0.856004	9011	
0.591944	-0.137022	2002	
0.592489	-0.291581	2192	
0.657324	0.303961	7194	
0.821524	-0.195288	4316	
0.038534	0.969225	3850	
0.449018	0.874822	4718	
0.671574	-0.467278	7995	
0.113030	-0.455655	4221	
0.082588	0.530459	1810	
0.020963	-0.725519	8871	
0.261371	0.741904	6323	
0.179277	-0.133622	3915	
0.325285	0.166483	3892	
0.052701	0.192370	3598	
0.212064	0.529777	5952	
0.189860	0.797330	2448	
0.008112	-0.819543	9093	
0.618947	-0.235739	3059	
0.473149	-0.040965	2451	
0.099038	-0.920799	8482	
0.483623	-0.083966	2687	
0.234380	-0.882494	8792	
0.124558	0.713386	3778	
0.399430	-0.237605	6531	
0.661858	0.250055	7300	
0.323715	-0.367884	990	
0.281581	0.427573	1145	
0.561376	-0.201241	3712	
0.889651	0.363348	808	
0.355922	0.696325	9159	
0.771115	0.440284	7321	
0.633029	-0.385881	5203	
0.536828	-0.451387	1774	
0.007740	-0.950119	3142	
0.144314	0.027375	823	
0.222397	-0.261243	7811	
0.055930	0.822339	3872	
0.332617	0.425521	2230	
0.426547	-0.397042	5617	
0.070254	-0.156381	5299	
0.387640	-0.679601	6868	
0.349398	-0.809110	5104	
0.871437	0.334315	5537	
0.193554	0.835991	7123	
0.579592	-0.088783	2828	
0.641859	-0.492592	7343	
0.550343	-0.736744	6385	
0.200544	0.027908	6473	
0.098197	0.703610	6573	
0.395010	-0.534240	6237	
0.585925	0.493087	4662	
0.609146	0.157413	2408	
0.170472	0.372554	3179	
0.328984	0.605056	5063	
0.836194	-0.170276	8948	
0.416481	0.872818	8077	
0.425134	-0.812637	1533	
0.643407	-0.271718	5010	
0.667858	0.143019	3924	
0.405097	0.790286	5659	
0.065453	0.370889	1601	
0.231148	0.077506	5302	
0.773528	0.492395	5666	
0.721396	-0.034938	5447	
0.193434	-0.589061	2918	
0.535344	-0.124907	3801	
0.079424	0.453677	5230	
0.246118	-0.927125	9362	
0.407677	0.755094	3756	
0.431562	-0.432260	3531	
0.223516	-0.950718	4392	
0.008323	0.854797	616	
0.693563	0.409602	4320	
0.596139	0.073875	3158	
0.455779	0.199931	1577	
0.653828	-0.254574	4533	
0.668147	-0.086899	5332	
0.084533	-0.533737	5165	
0.081016	-0.356047	3451	
0.611062	-0.265359	3584	
0.726583	0.355392	5464	
0.144027	-0.664059	8142	
0.063964	-0.471399	7553	
0.347533	-0.823851	1128	
0.602658	0.428149	1647	
0.156906	-0.315882	2015	
0.727576	0.325908	1955	
0.854569	0.108352	5986	
0.024871	-0.885384	8692	
0.080095	0.034194	2503	
0.457337	0.649138	5188	
0.668697	0.091167	2530	
0.589604	0.792371	6891	
0.574921	-0.156937	1378	
0.702666	-0.286288	4488	
0.157022	0.368095	2720	
0.034841	0.770380	8772	
0.844873	0.019411	5525	
0.127932	0.242818	5489	
0.239599	0.261503	3752	
0.477117	0.170710	5311	
0.253028	-0.598233	2357	
0.638377	0.520849	5729	
0.359528	0.417436	3004	
0.587994	0.618599	8813	
0.204665	0.592589	1687	
0.266004	-0.403737	674	
0.189795	0.041560	4092	
0.375478	-0.516176	4117	
0.684891	0.337789	1763	
0.044885	-0.349451	998	
0.496259	-0.656105	2339	
0.084981	-0.094627	1438	
0.312263	0.776919	3922	
0.697201	-0.074009	5626	
0.264770	0.150803	5684	
0.195383	0.482268	6291	
0.748218	-0.006035	2090	
0.087156	-0.227192	5265	
0.729604	0.155691	505	
0.559903	0.128773	7909	
0.050379	-0.791893	6588	
0.614901	0.462653	7671	
0.244960	0.927707	9297	
0.740714	-0.524718	8716	
0.644099	-0.321131	6149	
0.727650	0.168458	557	
0.756156	-0.497829	5944	
0.164558	0.025646	904	
0.863171	-0.305467	9081	
0.243099	0.461888	8737	
0.977525	0.006518	4764	
0.392214	-0.216527	7339	
0.794918	0.411327	7095	
0.891982	0.400964	8128	
0.440192	-0.585849	8051	
0.665472	0.507115	8927	
0.604068	-0.009371	982	
0.118611	0.569343	2135	
0.492299	0.707738	6878	
0.135749	0.930043	7905	
0.490345	-0.855790	4393	
0.280919	0.804880	6468	
0.443855	-0.266352	679	
0.789703	-0.066551	4403	
0.076224	0.657606	9423	
0.790492	0.029195	3947	
0.008956	-0.727295	6104	
0.712172	0.181003	735	
0.699766	-0.278831	4488	
0.629246	-0.130976	1826	
0.413631	-0.170348	6361	
0.031178	-0.878042	7244	
0.849710	0.390202	3592	
0.229648	-0.763977	588	
0.588763	0.795324	6891	
0.920004	-0.268431	392	
0.930931	0.090628	858	
0.573449	-0.643302	2899	
0.115350	-0.511363	6319	
0.123735	-0.553541	6658	
0.540550	0.735970	7828	
0.231362	-0.020011	4729	
0.228125	-0.732331	6072	
0.128397	-0.299478	1291	
0.251845	-0.854744	3955	
0.643981	-0.498220	4741	
0.449801	-0.423849	2922	
0.921092	-0.100503	1910	
0.535707	-0.095075	2483	
0.325718	-0.399947	6764	
0.266187	-0.601207	4607	
0.492322	-0.310217	3469	
0.329733	-0.867916	618	
0.014688	0.823299	9183	
0.414112	0.353675	5095	
0.451800	-0.599177	4119	
0.480558	-0.817025	3129	
0.229647	0.370600	2805	
0.526512	0.099583	6009	
0.905129	0.301550	8540	
0.186240	0.791637	2448	
0.126524	-0.204150	8021	
0.760175	0.125135	4673	
0.729863	-0.615038	5024	
0.412049	-0.003636	9072	
0.393816	0.849286	8423	
0.250942	-0.684484	4449	
0.061236	-0.800056	6588	
0.317950	0.051584	2951	
0.117532	-0.287488	2423	
0.266899	0.614570	5857	
0.164312	0.753515	1409	
0.458382	-0.030397	2807	
0.375633	0.281890	3170	
0.205678	-0.385860	5940	
0.244680	-0.598053	2357	
0.074622	-0.273647	3760	
0.823304	-0.449973	978	
0.369014	0.522505	6611	
0.695771	-0.175829	7025	
0.165107	0.787381	1725	
0.574575	-0.487039	4349	
0.236687	-0.103465	359	
0.402285	-0.862642	4760	
0.496202	-0.346691	3291	
0.180809	-0.667602	1349	
0.239931	-0.559184	2006	
0.710239	0.538558	7645	
0.362800	-0.681576	5695	
0.644400	-0.334983	6149	
0.004436	-0.879334	723	
0.595293	-0.290953	2192	
0.032937	-0.834281	4777	
0.362717	-0.506818	2635	
0.492895	-0.695927	2695	
0.617419	0.478398	7221	
0.601904	0.189793	6239	
0.737436	0.450830	5619	
0.279766	0.594228	6940	
0.248272	0.653854	8187	
0.718627	-0.353988	1623	
0.675029	0.345706	5637	
0.647555	0.345131	5365	
0.577968	0.554178	6882	
0.143131	-0.397525	2419	
0.755553	-0.314914	7689	
0.603892	0.242181	2458	
0.298535	-0.078480	6845	
0.685346	0.546633	5757	
0.646989	-0.229169	3429	
0.032377	0.801984	7126	
0.008580	-0.795229	8502	
0.056883	0.901855	6421	
0.523126	-0.239332	6353	
0.445736	-0.811052	1319	
0.770797	-0.444113	6941	
0.139536	0.402742	2296	
0.388280	0.110970	1754	
0.356703	0.263080	8607	
0.462875	0.292196	1175	
0.608938	-0.598708	8693	
0.337447	-0.393832	4658	
0.229420	-0.885289	8524	
0.948395	-0.048942	5267	
0.034837	0.591056	8235	
0.265221	-0.709394	8179	
0.642912	-0.507489	4422	
0.315828	0.805642	4151	
0.922369	0.274758	8225	
0.097418	-0.478276	8222	
0.178170	0.239929	1374	
0.154271	-0.118459	1157	
0.551896	-0.544811	6413	
0.226690	-0.466335	512	
0.897186	0.128357	7082	
0.125221	-0.590103	1685	
0.936590	-0.254725	4682	
0.350327	-0.060363	1802	
0.393837	-0.323831	9199	
0.367213	0.732550	3729	
0.127580	0.493249	590	
0.242551	0.019798	4568	
0.252771	0.297811	5122	
0.549523	0.285848	1370	
0.569970	-0.453215	3627	
0.220131	-0.693055	2427	
0.760458	0.584677	761	
0.550402	0.064101	4507	
0.360258	-0.848660	7534	
0.205349	-0.150500	6795	
0.652619	0.104639	2530	
0.250848	-0.352146	5269	
0.081607	0.026288	843	
0.220794	-0.535588	9295	
0.525913	-0.003459	3912	
0.927965	0.005971	7597	
0.195428	-0.946039	2019	
0.084018	-0.160369	1383	
0.517414	0.292464	452	
0.471523	0.315927	2689	
-0.000253	-0.970438	4016	
0.802961	0.226601	4586	
0.755494	-0.243949	5426	
0.600872	-0.062261	1731	
0.118118	0.626329	1451	
0.106301	0.928916	355	
0.712687	0.047276	3918	
0.776021	0.593810	8741	
0.781630	0.138631	2875	
0.726765	-0.086428	2221	
0.802702	0.486260	933	
0.039083	-0.139748	922	
0.431315	0.061959	6194	
0.471043	0.395517	3899	
0.541907	0.084139	8133	
0.667258	0.044113	4282	
0.062753	0.622455	5417	
0.287257	0.803014	6468	
0.642761	0.527095	5729	
0.311823	-0.688116	5563	
0.651141	-0.326489	7365	
0.430934	0.698242	4297	
0.022920	0.588589	8331	
0.924304	0.011576	3277	
0.143971	-0.207675	6642	
0.148220	-0.754659	6408	
0.267222	0.541917	1545	
0.529066	0.745452	7572	
0.143965	0.886063	6289	
0.210391	-0.910351	1832	
0.403552	-0.870167	4760	
0.711754	0.138957	5472	
0.151640	0.254531	5751	
0.457860	0.024519	3561	
0.264207	0.859958	5310	
0.373992	0.542891	7994	
0.339279	-0.564084	4829	
0.308833	0.013623	2186	
0.222241	0.459783	6158	
0.075028	0.106556	4142	
0.576288	-0.369235	3432	
0.064521	0.696062	4566	
0.100947	-0.426649	3273	
0.303168	0.289351	6863	
0.749188	0.214499	3041	
0.370110	0.168910	8929	
0.156357	-0.924629	9113	
0.392061	-0.692133	6868	
0.152702	-0.040492	640	
0.176335	-0.600418	9216	
0.575053	-0.086449	2828	
0.718045	-0.074618	2221	
0.307578	0.271428	5336	
0.248117	0.349868	3287	
0.253006	0.438685	8405	
0.387057	0.518593	6953	
0.126653	0.946065	7681	
0.149898	0.398922	2296	
0.344888	-0.626471	2511	
0.113833	-0.933927	2137	
0.627899	0.181368	2129	
0.196274	-0.425913	7600	
0.445984	-0.752855	1936	
0.860155	0.430384	4201	
0.500701	-0.761050	4429	
0.274882	0.840821	6950	
0.773171	0.543341	900	
0.752895	-0.191466	7004	
0.087817	0.861667	6211	
0.694950	0.555789	5757	
0.383211	0.869180	663	
0.469020	-0.568550	8181	
0.514913	0.287479	452	
0.318633	-0.786706	2668	
0.456840	-0.024858	2807	
0.669726	-0.704691	763	
0.680798	-0.316715	7338	
0.844998	-0.088103	416	
0.234233	0.524815	8184	
0.133837	-0.591387	2275	
0.379654	-0.007224	5226	
0.474756	-0.128709	2586	
0.309572	0.913574	1321	
0.666580	0.574591	6718	
0.515327	-0.268222	3747	
0.370760	-0.453604	444	
0.547671	0.707727	5785	
0.039705	0.502557	9364	
0.783553	-0.211336	3660	
0.743572	-0.222170	4194	
0.314858	-0.529350	1841	
0.238700	-0.397518	918	
0.607482	-0.148972	2002	
0.662347	-0.714540	771	
0.343512	0.058277	6049	
0.622104	-0.461421	7453	
0.260263	-0.907493	8224	
0.359994	-0.640548	5197	
0.421156	0.170835	8397	
0.721690	0.552121	5821	
0.453674	-0.206134	2021	
0.384896	-0.863800	3522	
0.163657	0.393491	1707	
0.228125	0.693807	2929	
0.602132	0.505919	4662	
0.226311	0.502536	4593	
0.836137	0.083199	4407	
0.216591	-0.912786	1832	
0.596067	0.081422	3158	
0.085190	0.902120	7729	
0.035067	0.077854	796	
0.945559	-0.077438	8989	
0.111185	0.937265	355	
0.452220	0.630770	3604	
0.681389	-0.189104	7099	
0.241514	-0.499646	6174	
0.371646	0.351139	1750	
0.485503	0.561092	6068	
0.647750	-0.747624	8781	
0.860262	0.235286	7815	
0.950863	0.202654	4864	
0.787434	-0.018027	5566	
0.588619	0.145905	464	
0.049227	-0.229466	4815	
0.421535	-0.741159	6081	
0.040316	-0.990546	4114	
0.356290	-0.515293	2635	
0.611708	-0.262414	3584	
0.764765	-0.505535	5944	
0.122709	-0.786038	7878	
0.494889	0.123636	3037	
0.218885	0.101380	7422	
0.717352	-0.501112	8623	
0.010827	0.662123	8610	
0.843433	-0.245482	6653	
0.317570	0.196068	3909	
0.403355	-0.766669	5535	
0.413169	0.686904	3501	
0.523325	0.216280	4304	
0.359225	-0.648754	5197	
0.570142	0.102985	519	
0.239715	-0.908886	9362	
0.396790	-0.094000	7721	
0.324852	-0.147270	1580	
0.311297	0.050135	2317	
0.040199	0.181898	828	
0.153840	0.952652	9213	
0.038609	-0.460576	8615	
0.662170	0.102489	2530	
0.435887	-0.645762	6090	
0.642298	-0.277900	5691	
0.481225	-0.082308	2687	
0.697603	0.011793	7011	
0.369445	-0.607376	2355	
0.029333	-0.547668	7262	
0.621326	-0.484340	7343	
0.257115	0.547409	8400	
0.655957	-0.201485	5979	
0.705887	-0.441359	4901	
0.299180	-0.199315	4914	
0.423806	0.104151	5153	
0.384092	0.710584	1899	
0.711846	0.535775	7645	
0.578839	0.757807	560	
0.098482	0.559547	964	
0.652773	0.681331	691	
0.879137	-0.071122	6192	
0.630150	-0.087432	3813	
0.611953	0.161425	2408	
0.771392	0.102326	2946	
0.560121	0.182988	7759	
0.218780	0.366760	3509	
0.235919	0.955046	8447	
0.974634	-0.069512	8869	
0.626208	-0.468047	7453	
0.208536	-0.103395	5398	
0.251327	0.704968	5422	
0.058042	-0.421752	1035	
0.176849	-0.803021	4525	
0.510508	0.709088	7363	
0.435243	-0.469830	4021	
0.506115	0.315744	848	
0.061181	-0.317251	1285	
0.389641	0.010556	6958	
0.009088	-0.689267	711	
0.377185	0.023658	4531	
0.606278	-0.711811	8311	
0.223797	0.079547	5302	
0.093801	0.546617	1064	
0.507097	-0.776478	4429	
0.515663	0.509964	1334	
0.116854	-0.287605	2423	
0.081699	-0.697088	1083	
0.051949	-0.547766	2572	
