time = 0.1802	Re = 25	rotation = -0.255976
-0.711274	0.581296	5904	
-0.711142	0.581483	5904	
-0.710723	0.582060	5904	
-0.709992	0.583068	5904	
-0.708924	0.584524	5904	
-0.707498	0.586439	5904	
-0.705729	0.588825	5904	
-0.703536	0.591606	5904	
-0.700930	0.594797	5904	
-0.697958	0.598420	1221	
-0.694499	0.602509	1221	
-0.690493	0.607111	1221	
-0.686054	0.611984	1183	
-0.681215	0.617360	1183	
-0.675990	0.623095	1183	
-0.670145	0.629363	4970	
-0.663865	0.635934	4970	
-0.657165	0.642758	5926	
-0.650000	0.650000	5926	
