time = 0.1852	Re = 25	rotation = -0.266841
-0.714591	0.577236	1221	
-0.714465	0.577417	1183	
-0.714048	0.577998	1183	
-0.713317	0.579018	1183	
-0.712261	0.580475	1183	
-0.710838	0.582407	1183	
-0.709085	0.584798	1183	
-0.706906	0.587590	1183	
-0.704318	0.590793	1183	
-0.701365	0.594429	4970	
-0.697928	0.598532	4970	
-0.693954	0.603143	4970	
-0.689530	0.608049	5926	
-0.684722	0.613446	5926	
-0.679536	0.619196	5926	
-0.673740	0.625473	8255	
-0.667497	0.632069	8255	
-0.660818	0.638937	2059	
-0.653690	0.646207	2059	
