time = 0.052	Re = 40	rotation = 5.07201e-06
-0.055087	0.938402	2672	
0.681652	-0.383773	2358	
0.145689	0.868309	3069	
0.314573	-0.185172	1212	
0.397307	0.874282	3095	
0.597551	-0.111847	2634	
0.604770	-0.265501	2037	
0.643475	0.334180	1453	
0.829818	-0.157127	2489	
-0.008603	0.970073	2693	
0.426309	0.886980	930	
0.692287	-0.435879	2353	
0.129868	-0.451183	347	
0.079473	0.539082	1658	
0.053321	-0.723848	1401	
0.220345	0.765325	229	
0.179118	-0.133949	456	
0.322257	0.175304	1214	
0.197580	0.546654	906	
0.137669	0.818330	3159	
0.045665	-0.818283	406	
0.628807	-0.208472	3002	
0.054909	0.973353	1019	
0.474899	-0.023289	1076	
0.139847	-0.915773	2981	
0.486938	-0.065439	1157	
0.274662	-0.870988	2620	
0.075559	0.748780	2409	
0.408076	-0.222904	2105	
0.023103	-0.250323	2527	
0.650575	0.280166	2598	
0.337574	-0.355353	951	
0.269585	0.441622	1820	
0.569565	-0.177416	2347	
0.548836	-0.817537	2861	
0.875365	0.396338	2827	
0.320757	0.719792	465	
0.749627	0.476603	2471	
0.649837	-0.357002	1591	
0.556344	-0.427138	850	
0.046814	-0.948915	1378	
0.229032	-0.255555	2649	
-0.012799	0.827377	638	
0.318893	0.441830	2031	
0.442774	-0.378985	2134	
0.417973	-0.661362	1562	
0.386193	-0.792155	2385	
0.855533	0.372844	3424	
0.138331	0.853830	3069	
0.583170	-0.064482	2731	
0.663659	-0.462640	2354	
0.583158	-0.711060	2777	
0.048422	0.739837	2989	
0.417875	-0.516560	1115	
0.562969	0.521503	2790	
0.602494	0.183991	1523	
0.165753	0.377708	2124	
0.302573	0.627003	2335	
0.843299	-0.131409	2607	
0.381343	0.888865	3095	
0.461725	-0.792725	282	
0.654953	-0.242901	797	
0.661366	0.172862	2107	
0.362745	0.813539	901	
0.064612	0.369469	1086	
0.231597	0.076903	485	
0.749799	0.528135	1727	
0.722493	-0.002488	761	
0.218326	-0.580324	654	
0.540288	-0.103025	1710	
0.077783	0.456049	3083	
0.279609	-0.918196	3517	
0.367726	0.778930	773	
0.449504	-0.413645	2317	
0.250261	-0.943313	3201	
-0.058834	0.850975	2936	
0.674043	0.442390	2088	
0.593082	0.099275	2341	
0.449172	0.217930	856	
0.664623	-0.225280	3123	
0.671600	-0.057372	1118	
0.105941	-0.529920	1580	
0.091167	-0.353640	1752	
0.622226	-0.238395	1615	
0.709499	0.389486	1788	
0.172989	-0.657125	2910	
0.081576	-0.468687	356	
0.384876	-0.806957	2385	
0.583090	0.456740	2205	
0.165488	-0.311562	1388	
0.711952	0.359853	1498	
0.848855	0.148307	3203	
0.065867	-0.883146	1761	
0.425612	0.674220	902	
0.664474	0.120865	898	
0.581301	-0.132591	2634	
0.715032	-0.254196	2806	
0.153017	0.372137	2124	
-0.038742	0.769801	3135	
0.843172	0.058630	1930	
0.128563	0.241306	2906	
0.236087	0.267205	685	
0.471288	0.189658	1241	
0.278658	-0.586747	2691	
0.613298	0.551756	2917	
0.345336	0.434769	1857	
0.557490	0.647855	2542	
0.184825	0.614239	542	
0.281135	-0.393432	1056	
0.397388	-0.499575	1115	
0.669092	0.369637	1810	
0.054352	-0.348129	1079	
0.525745	-0.632677	2142	
0.268984	0.799070	694	
0.700060	-0.042834	1124	
0.263911	0.154677	3050	
0.185256	0.495027	1703	
0.930826	0.335304	2857	
0.747978	0.027940	1563	
0.087967	-0.226740	3505	
0.722193	0.188904	2343	
0.554880	0.152299	1990	
0.086392	-0.788766	523	
0.593314	0.492104	1608	
0.199570	0.939693	712	
0.763866	-0.490066	3496	
0.657892	-0.292010	940	
0.719648	0.201591	2422	
0.778131	-0.462290	2675	
0.876179	-0.266037	2676	
0.231108	0.475697	1482	
0.976929	0.033944	3412	
0.399852	-0.202497	1748	
0.774841	0.448800	3328	
0.880287	0.425741	2862	
0.465983	-0.565581	1472	
0.640965	0.539178	2375	
0.604393	0.016428	1540	
0.110470	0.586537	3491	
0.456198	0.733916	2121	
0.077932	0.938300	2998	
0.508662	-0.845994	1268	
0.234059	0.825766	716	
0.454107	-0.248706	909	
0.792079	-0.030276	1619	
0.065919	0.690689	482	
0.788548	0.065528	2248	
0.041409	-0.726158	1205	
0.703673	0.213398	2422	
0.711761	-0.246906	2806	
0.634616	-0.103569	617	
0.419752	-0.155687	2680	
0.071950	-0.875550	1761	
0.831643	0.427699	507	
0.264210	-0.752849	3061	
0.929515	-0.234208	362	
0.926209	0.131400	3191	
0.602702	-0.616057	2346	
0.135495	-0.506447	1468	
0.146343	-0.548047	2810	
0.503707	0.762830	3029	
0.231501	-0.020619	451	
0.261043	-0.721332	1461	
0.135252	-0.296528	2963	
0.291480	-0.842446	1188	
0.666055	-0.468121	1757	
0.467468	-0.404393	2317	
0.924800	-0.059459	3075	
0.539511	-0.073262	1485	
0.341260	-0.386886	1066	
0.291977	-0.589136	2691	
0.504960	-0.289486	1393	
0.368234	-0.852994	3425	
-0.054200	0.819581	2625	
0.401718	0.372092	1840	
0.478296	-0.578254	1009	
0.513376	-0.796852	214	
0.222598	0.379478	1889	
0.522927	0.120959	1026	
0.893255	0.336839	2826	
0.134310	0.813142	3159	
0.127079	-0.203848	643	
0.753987	0.159917	1956	
0.753196	-0.586484	536	
0.412605	0.009833	877	
0.349300	0.870117	514	
0.281312	-0.672631	939	
0.097695	-0.796448	523	
0.317637	0.058066	1184	
0.123351	-0.285045	3294	
0.241471	0.636841	2762	
0.114292	0.779766	825	
0.965296	0.171809	3194	
0.459778	-0.013717	1076	
0.367376	0.296566	941	
0.219107	-0.378480	644	
0.270284	-0.586942	2064	
0.078618	-0.272447	3267	
0.842182	-0.413909	3274	
0.348006	0.543245	2265	
0.703106	-0.144529	1659	
0.110736	0.809592	825	
0.595924	-0.460656	1842	
0.237524	-0.102121	3259	
0.435939	-0.845591	262	
0.510480	-0.325421	1790	
0.210061	-0.659000	776	
0.263385	-0.548551	618	
0.683967	0.572583	2596	
0.393228	-0.664509	1562	
0.658848	-0.305795	763	
0.045115	-0.878087	1583	
0.607559	-0.264719	2037	
0.071286	-0.831841	3323	
0.384013	-0.490937	804	
0.524422	-0.672450	2486	
0.594942	0.508077	2032	
0.593882	0.216197	2345	
0.715511	0.485812	2367	
0.255806	0.615656	2762	
0.218712	0.677599	2715	
0.734120	-0.320703	1951	
0.658930	0.377117	1810	
0.631754	0.375157	1542	
0.551424	0.582749	2983	
0.156411	-0.392570	2376	
0.769306	-0.279872	1886	
0.593490	0.269114	2436	
0.300296	-0.072849	247	
0.658532	0.579704	743	
0.656635	-0.200402	3140	
-0.038810	0.801489	631	
0.044754	-0.794043	574	
-0.008021	0.904709	2921	
0.532774	-0.217420	1665	
0.482266	-0.790127	207	
0.790630	-0.407959	1992	
0.135629	0.406886	210	
0.385756	0.123366	1052	
0.349649	0.276204	941	
0.452302	0.312033	1386	
0.635851	-0.569988	2349	
0.352785	-0.380264	1066	
0.269735	-0.873984	305	
0.949938	-0.009297	502	
0.296946	-0.696772	1451	
0.665487	-0.477408	1757	
0.270138	0.827056	805	
0.912265	0.308685	2814	
0.115557	-0.474203	999	
0.177548	0.241255	2937	
0.575973	-0.519217	1713	
0.244889	-0.457086	1612	
0.890421	0.170094	2853	
0.149935	-0.584388	2659	
0.352275	-0.051043	1483	
0.406308	-0.308255	500	
0.328819	0.755950	711	
0.122216	0.503275	197	
0.242658	0.019809	320	
0.247407	0.305429	945	
0.537792	0.310279	2028	
0.589708	-0.427287	1663	
0.250889	-0.682569	813	
0.738536	0.613526	1227	
0.548011	0.086697	1601	
0.398193	-0.831545	248	
0.206306	-0.149181	487	
0.647917	0.133543	898	
0.263035	-0.343305	300	
0.242777	-0.526019	2549	
