time = 10.002	Re = 10	rotation = 3.52112e-11
-0.950608	0.053389	5282	
-0.110537	0.328326	5469	
-0.228146	0.258324	446	
0.706719	0.121758	9004	
-0.252063	0.729277	1945	
-0.944447	-0.117613	5171	
-0.157141	0.199228	1375	
-0.835481	-0.481294	9316	
0.856564	0.021432	9318	
0.472653	-0.843738	5918	
-0.283595	-0.727516	4958	
0.476211	0.244182	2913	
-0.474095	-0.832079	6375	
0.876132	-0.452083	9093	
-0.121028	0.288469	5247	
-0.088657	-0.837158	6436	
-0.169092	0.415842	6880	
-0.739874	-0.623202	7174	
0.299967	-0.724395	5829	
-0.215842	0.390862	6797	
-0.528366	-0.074352	3455	
-0.307290	0.454830	10023	
-0.170637	-0.052932	10754	
-0.210890	0.573760	8515	
0.864286	0.079595	631	
-0.228687	0.299840	9854	
0.575710	0.027290	8072	
0.619208	0.387722	6912	
-0.339147	0.829188	10111	
0.384742	0.814245	6480	
-0.194642	0.223627	5218	
-0.466437	0.232954	6215	
0.862022	-0.471802	9943	
-0.307214	0.822002	7790	
0.478627	0.199174	6913	
-0.356725	-0.703930	5337	
-0.430367	0.416983	7034	
-0.070445	-0.954765	5227	
0.353074	0.589742	9581	
-0.614468	-0.227815	2615	
-0.095847	0.349401	1293	
-0.263437	0.180011	1179	
-0.501122	0.465127	6589	
0.123357	-0.787113	543	
-0.312721	0.589424	6381	
-0.706232	0.250423	10685	
0.275198	0.382904	3272	
-0.509811	-0.803767	553	
0.326578	0.808964	853	
-0.831120	0.051018	2917	
-0.852308	-0.413475	10328	
0.696752	0.052843	8266	
-0.332118	-0.121990	6898	
-0.080906	0.280182	8767	
0.361624	0.254064	7271	
-0.696420	0.589455	8656	
-0.681352	-0.300545	6620	
-0.314335	0.869739	6582	
0.308449	0.234891	7211	
0.471419	0.176942	3827	
-0.210496	0.341175	4506	
-0.370339	-0.044482	8660	
-0.262599	0.857917	8522	
-0.444824	0.421875	7242	
0.661959	0.053223	10339	
-0.269522	0.025907	1538	
-0.506954	-0.619011	678	
0.130298	0.399482	3647	
0.186000	0.490492	3209	
-0.037530	0.290409	8905	
0.149383	0.338393	6624	
-0.052258	0.859426	7534	
-0.828963	0.326953	9116	
-0.163631	0.272792	8554	
-0.287551	-0.764899	1933	
