Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 0.0020	Mesh (Number of cells): 3105
-0.0312060741 	 -0.2616109564 	 0.0001650019 	 0.0000000000 	 157
0.6867828557 	 0.7047644672 	 0.0899788464 	 0.2262353292 	 158
0.4052779588 	 -0.8957088105 	 -0.1162835676 	 -0.2192222048 	 159
0.1911550640 	 0.9240661150 	 0.0226645392 	 0.0006422270 	 160
0.0925069424 	 0.9160210467 	 0.0073122869 	 0.0010987567 	 161
-0.8330955283 	 0.3490160575 	 -0.0001363911 	 -0.0010593643 	 162
0.1641089660 	 0.9143343719 	 0.0204200199 	 0.0060156029 	 163
-0.0347633628 	 -0.2921539914 	 -0.0000028811 	 -0.0000000000 	 164
0.6741249028 	 0.6235312433 	 0.0042387763 	 0.0009480844 	 165
0.8399822769 	 -0.2569111715 	 0.0003379352 	 0.0000000000 	 166
-0.9743743381 	 0.1426524846 	 0.0333953801 	 0.0353134878 	 167
-0.0929148073 	 -0.9363172965 	 -0.0219114127 	 0.0012299124 	 168
-0.2776704278 	 0.0721809622 	 -0.0000000000 	 0.0000000000 	 169
-0.5729049339 	 0.8003879847 	 0.1003985289 	 0.2727866091 	 170
-0.8305495767 	 0.3212517911 	 0.0004883039 	 -0.0000222101 	 171
0.9104930898 	 0.1039241400 	 0.0067642747 	 0.0023342378 	 172
-0.2504957754 	 0.0646180163 	 0.0000000000 	 0.0000000000 	 173
0.5836977789 	 0.6339114930 	 0.0002268635 	 0.0001823142 	 174
0.6687954312 	 0.6533774105 	 0.0280090616 	 -0.0030056593 	 175
-0.2408177743 	 -0.1290887041 	 0.0000000000 	 0.0000000000 	 176
0.4916405890 	 -0.8515464764 	 -0.1112883812 	 -0.2059103720 	 177
-0.8626595462 	 -0.3314078011 	 0.0005719334 	 0.0012058399 	 178
-0.8634578003 	 0.4712304900 	 0.0595810462 	 0.1382201854 	 179
-0.2798667852 	 0.8942637838 	 0.0303323892 	 -0.0009428752 	 180
-0.9413640553 	 0.0325238690 	 -0.0022756942 	 -0.0009757333 	 181
0.8582569582 	 0.3380208254 	 -0.0011212178 	 -0.0036696682 	 182
-0.9228481883 	 0.0089669228 	 -0.0036664906 	 -0.0011225587 	 183
-0.9509032574 	 0.1583643353 	 0.0214436012 	 0.0352023827 	 184
0.3726914894 	 -0.8858197135 	 -0.1640978053 	 -0.1563875719 	 185
0.6074425032 	 -0.6340954956 	 -0.0002506596 	 -0.0000520604 	 186
0.8590786374 	 -0.2328829068 	 0.0020948046 	 0.0008293369 	 187
0.0338573574 	 0.8738863194 	 -0.0002455640 	 -0.0000000000 	 188
-0.8795215626 	 -0.3567845317 	 -0.0271077292 	 -0.0138832010 	 189
0.2558187388 	 0.0595825551 	 -0.0071001750 	 0.0000000000 	 190
0.8433560535 	 -0.3788667570 	 0.0029383638 	 0.0054408538 	 191
0.9291779806 	 0.1276455883 	 0.0021558167 	 0.0166619989 	 192
-0.6226943842 	 0.7433802373 	 0.1770561802 	 0.0371040628 	 193
0.0263624644 	 0.2922064385 	 0.0000822891 	 0.0000000000 	 194
0.1633705208 	 -0.8434384235 	 -0.0001661031 	 -0.0000000000 	 195
0.0508699207 	 0.3043116788 	 0.0000462961 	 0.0000000000 	 196
-0.5812270174 	 0.7713468890 	 0.1525360958 	 0.1227984586 	 197
0.8903955589 	 -0.2365643365 	 -0.0013619082 	 -0.0011835951 	 198
-0.1223468411 	 -0.2231430370 	 0.0000000000 	 0.0000000000 	 199
0.0059634507 	 0.8775607192 	 -0.0001882589 	 0.0000000000 	 200
0.7897910380 	 0.5132162026 	 0.0161956324 	 0.0002696581 	 201
-0.9429205844 	 -0.0170787443 	 0.0027486130 	 -0.0048018142 	 202
0.2439773086 	 0.1405256544 	 0.0009768128 	 0.0000000000 	 203
-0.9257366806 	 -0.0415613564 	 0.0000469948 	 -0.0004320693 	 204
0.0798267882 	 0.9427085298 	 0.0360220550 	 0.0105523350 	 205
-0.8123983088 	 -0.4765094377 	 -0.0073377369 	 0.0007449773 	 206
0.1799455347 	 -0.9116982468 	 -0.0069322074 	 -0.0000343455 	 207
0.8931963598 	 -0.3101057718 	 -0.0081878350 	 -0.0058558666 	 208
0.8846786038 	 -0.2824430304 	 -0.0031560000 	 -0.0003574862 	 209
-0.3203094620 	 0.1327306904 	 0.0000000000 	 0.0000000000 	 210
0.5712356299 	 0.6622891828 	 0.0012432732 	 0.0000441184 	 211
-0.1841738510 	 -0.9233261957 	 -0.0249466881 	 0.0011324331 	 212
0.0012027892 	 0.2524254969 	 -0.0013349312 	 -0.0000000000 	 213
-0.0887250909 	 -0.3015158672 	 -0.0000000000 	 -0.0000000000 	 214
-0.2177836731 	 -0.1404165163 	 0.0000000000 	 0.0000000000 	 215
0.2252427267 	 0.1187008517 	 0.0068798040 	 -0.0000000000 	 216
0.2047435424 	 -0.8989503366 	 -0.0075529819 	 0.0007717906 	 217
