Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 8.0900	Mesh (Number of cells): 691
0.4382211091 	 -0.5308502115 	 0.2445328550 	 0.2445326080 	 167
-0.4382211091 	 0.5308502115 	 -0.2445330511 	 -0.2445328039 	 168
-0.9420855487 	 -0.1331292433 	 0.1419626259 	 0.1419626234 	 169
0.9420855487 	 0.1331292433 	 -0.1419626248 	 -0.1419626223 	 170
0.0813834716 	 0.3419122056 	 0.0017436495 	 0.0017436438 	 171
-0.0813834716 	 -0.3419122056 	 -0.0017436656 	 -0.0017436599 	 172
-0.2415627693 	 0.0694724318 	 0.0090844324 	 0.0090844396 	 173
0.2415627693 	 -0.0694724318 	 -0.0090843858 	 -0.0090843931 	 174
-0.3038494240 	 0.0879660119 	 0.0261870300 	 0.0261869976 	 175
0.3038494240 	 -0.0879660119 	 -0.0261869460 	 -0.0261869136 	 176
-0.7286047222 	 0.4007459260 	 -0.3078913446 	 -0.3078912347 	 177
0.7286047222 	 -0.4007459260 	 0.3078912854 	 0.3078911756 	 178
-0.0750808357 	 0.6477565294 	 -0.0009390735 	 -0.0009390733 	 179
0.0750808357 	 -0.6477565294 	 0.0009390767 	 0.0009390766 	 180
-0.0750808357 	 -0.6477565294 	 0.0021110774 	 0.0021110722 	 181
0.0750808357 	 0.6477565294 	 -0.0021110750 	 -0.0021110697 	 182
-0.6572692588 	 0.4402758727 	 -0.3303607909 	 -0.3303606519 	 183
0.6572692588 	 -0.4402758727 	 0.3303607056 	 0.3303605667 	 184
-0.0258280251 	 -0.7687218258 	 0.6241375667 	 0.6241370702 	 185
0.0258280251 	 0.7687218258 	 -0.6241373449 	 -0.6241368486 	 186
0.3855783737 	 -0.5756376183 	 0.2601482086 	 0.2601479642 	 187
-0.3855783737 	 0.5756376183 	 -0.2601484580 	 -0.2601482132 	 188
0.1425100589 	 0.7264625982 	 -0.4073925625 	 -0.4073921985 	 189
-0.1425100589 	 -0.7264625982 	 0.4073927736 	 0.4073924094 	 190
-0.8742655748 	 -0.1958592468 	 0.1730304538 	 0.1730304291 	 191
0.8742655748 	 0.1958592467 	 -0.1730304490 	 -0.1730304243 	 192
0.3557273469 	 0.2259771683 	 0.0404085883 	 0.0404084413 	 193
-0.3557273469 	 -0.2259771683 	 -0.0404088378 	 -0.0404086904 	 194
-0.3587085096 	 -0.2910738485 	 -0.0220760989 	 -0.0220760573 	 195
0.3587085096 	 0.2910738485 	 0.0220758663 	 0.0220758250 	 196
0.7618893439 	 0.3008100155 	 -0.2472711280 	 -0.2472710679 	 197
-0.7618893439 	 -0.3008100155 	 0.2472711377 	 0.2472710776 	 198
0.2709515789 	 0.0356259309 	 0.0168657283 	 0.0168656400 	 199
-0.2709515789 	 -0.0356259309 	 -0.0168656837 	 -0.0168655954 	 200
0.3811086758 	 0.0825710388 	 0.0368803742 	 0.0368801859 	 201
-0.3811086758 	 -0.0825710388 	 -0.0368803536 	 -0.0368801653 	 202
-0.1520700761 	 -0.8976851850 	 0.9184720202 	 0.9184719211 	 203
0.1520700761 	 0.8976851850 	 -0.9184719366 	 -0.9184718376 	 204
0.2572768102 	 0.1016036291 	 0.0259669711 	 0.0259668334 	 205
-0.2572768102 	 -0.1016036291 	 -0.0259669829 	 -0.0259668451 	 206
-0.1953119062 	 0.5684969310 	 -0.0091414969 	 -0.0091414362 	 207
0.1953119062 	 -0.5684969310 	 0.0091411744 	 0.0091411141 	 208
0.5960973011 	 -0.5520568760 	 0.4341190367 	 0.4341188519 	 209
-0.5960973011 	 0.5520568760 	 -0.4341191659 	 -0.4341189809 	 210
0.1772917178 	 -0.3126722536 	 -0.0197765775 	 -0.0197765662 	 211
-0.1772917178 	 0.3126722536 	 0.0197770309 	 0.0197770190 	 212
0.5003152626 	 -0.5615338609 	 0.3569361338 	 0.3569359001 	 213
-0.5003152626 	 0.5615338609 	 -0.3569363132 	 -0.3569360793 	 214
0.0069872766 	 -0.7586518823 	 0.4980742335 	 0.4980738199 	 215
-0.0069872766 	 0.7586518823 	 -0.4980742525 	 -0.4980738389 	 216
-0.1006644838 	 0.6011573607 	 0.0127506784 	 0.0127506768 	 217
0.1006644838 	 -0.6011573607 	 -0.0127509011 	 -0.0127508993 	 218
0.1127977317 	 0.3962150971 	 0.0159796867 	 0.0159796385 	 219
-0.1127977317 	 -0.3962150971 	 -0.0159797786 	 -0.0159797303 	 220
0.6998519957 	 0.3492461797 	 -0.2611633151 	 -0.2611632027 	 221
-0.6998519958 	 -0.3492461797 	 0.2611633328 	 0.2611632204 	 222
0.4501313912 	 0.0809852120 	 0.0354371651 	 0.0354369707 	 223
-0.4501313912 	 -0.0809852120 	 -0.0354371241 	 -0.0354369297 	 224
0.0942023965 	 0.5983603198 	 -0.0121381506 	 -0.0121381078 	 225
-0.0942023965 	 -0.5983603198 	 0.0121382460 	 0.0121382031 	 226
-0.0792460255 	 -0.9072147290 	 0.9353556781 	 0.9353555212 	 227
0.0792460255 	 0.9072147290 	 -0.9353555598 	 -0.9353554031 	 228
-0.4885965271 	 -0.1459618181 	 -0.0053619767 	 -0.0053619098 	 229
0.4885965270 	 0.1459618181 	 0.0053619920 	 0.0053619251 	 230
0.1552551242 	 -0.5998045793 	 0.0061867992 	 0.0061867754 	 231
-0.1552551242 	 0.5998045793 	 -0.0061872580 	 -0.0061872336 	 232
0.2263319915 	 0.6919006289 	 -0.3787815862 	 -0.3787812361 	 233
-0.2263319915 	 -0.6919006289 	 0.3787818232 	 0.3787814728 	 234
0.9144385319 	 0.0536824661 	 -0.0572561756 	 -0.0572561622 	 235
-0.9144385319 	 -0.0536824661 	 0.0572561795 	 0.0572561660 	 236
0.1045980270 	 0.2875008958 	 0.0191268363 	 0.0191267502 	 237
-0.1045980270 	 -0.2875008958 	 -0.0191273133 	 -0.0191272266 	 238
0.3860380746 	 0.6451333610 	 -0.4064426592 	 -0.4064423244 	 239
-0.3860380746 	 -0.6451333610 	 0.4064427980 	 0.4064424631 	 240
